|dates|KeyaPaha_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|KeyaPaha_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|KeyaPaha_Nebraska_UnitedStates.Male_Total_Population.data|KeyaPaha_Nebraska_UnitedStates.Male_Total_Population.missing|KeyaPaha_Nebraska_UnitedStates.Female_Total_Population.data|KeyaPaha_Nebraska_UnitedStates.Female_Total_Population.missing|KeyaPaha_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|KeyaPaha_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-10-18|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-10-19|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-10-20|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-10-21|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-10-22|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-10-23|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-10-24|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-10-25|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-10-26|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-10-27|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-10-28|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-10-29|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-10-30|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-10-31|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-01|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-02|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-03|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-04|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-05|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-06|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-07|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-08|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-09|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-10|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-11|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-12|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-13|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-14|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-15|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-16|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-17|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-18|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-19|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-20|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-21|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-22|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-23|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-24|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-25|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-26|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-27|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-28|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-29|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-11-30|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-01|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-02|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-03|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-04|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-05|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-06|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-07|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-08|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-09|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-10|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-11|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-12|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-13|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-14|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-15|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-16|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-17|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-18|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-19|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-20|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-21|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-22|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-23|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-24|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-25|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-26|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-27|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-28|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-29|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-30|251.0|0|393.0|0|417.0|0|158.0|0
0|2021-12-31|251.0|0|393.0|0|417.0|0|158.0|0
0|2022-01-01|251.0|0|393.0|0|417.0|0|158.0|0
0|2022-01-02|251.0|0|393.0|0|417.0|0|158.0|0
0|2022-01-03|251.0|0|393.0|0|417.0|0|158.0|0
0|2022-01-04|251.0|0|393.0|0|417.0|0|158.0|0
0|2022-01-05|251.0|0|393.0|0|417.0|0|158.0|0
