|dates|KitCarson_Colorado_UnitedStates.JHU_ConfirmedCases.data|KitCarson_Colorado_UnitedStates.JHU_ConfirmedCases.missing|KitCarson_Colorado_UnitedStates.NYT_ConfirmedCases.data|KitCarson_Colorado_UnitedStates.NYT_ConfirmedCases.missing|KitCarson_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|KitCarson_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|KitCarson_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|KitCarson_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|932.0|0|932.0|0|14.0|0|0.0|100
0|2021-10-18|937.0|0|937.0|0|15.0|0|0.0|100
0|2021-10-19|949.0|0|949.0|0|15.0|0|0.0|100
0|2021-10-20|961.0|0|961.0|0|15.0|0|0.0|100
0|2021-10-21|968.0|0|968.0|0|15.0|0|0.0|100
0|2021-10-22|974.0|0|974.0|0|15.0|0|0.0|100
0|2021-10-23|974.0|0|974.0|0|15.0|0|0.0|100
0|2021-10-24|974.0|0|974.0|0|15.0|0|0.0|100
0|2021-10-25|978.0|0|978.0|0|18.0|0|0.0|100
0|2021-10-26|986.0|0|986.0|0|18.0|0|0.0|100
0|2021-10-27|992.0|0|992.0|0|19.0|0|0.0|100
0|2021-10-28|988.0|0|988.0|0|19.0|0|0.0|100
0|2021-10-29|992.0|0|992.0|0|20.0|0|0.0|100
0|2021-10-30|992.0|0|992.0|0|20.0|0|0.0|100
0|2021-10-31|992.0|0|992.0|0|20.0|0|0.0|100
0|2021-11-01|998.0|0|998.0|0|20.0|0|0.0|100
0|2021-11-02|1003.0|0|1003.0|0|20.0|0|0.0|100
0|2021-11-03|1005.0|0|1005.0|0|20.0|0|0.0|100
0|2021-11-04|1008.0|0|1008.0|0|20.0|0|0.0|100
0|2021-11-05|1014.0|0|1014.0|0|20.0|0|0.0|100
0|2021-11-06|1014.0|0|1014.0|0|20.0|0|0.0|100
0|2021-11-07|1014.0|0|1014.0|0|20.0|0|0.0|100
0|2021-11-08|1018.0|0|1018.0|0|20.0|0|0.0|100
0|2021-11-09|1026.0|0|1026.0|0|20.0|0|0.0|100
0|2021-11-10|1037.0|0|1037.0|0|20.0|0|0.0|100
0|2021-11-11|1048.0|0|1048.0|0|20.0|0|0.0|100
0|2021-11-12|1050.0|0|1050.0|0|20.0|0|0.0|100
0|2021-11-13|1050.0|0|1050.0|0|20.0|0|0.0|100
0|2021-11-14|1050.0|0|1050.0|0|20.0|0|0.0|100
0|2021-11-15|1056.0|0|1056.0|0|20.0|0|0.0|100
0|2021-11-16|1069.0|0|1069.0|0|20.0|0|0.0|100
0|2021-11-17|1077.0|0|1077.0|0|20.0|0|0.0|100
0|2021-11-18|1084.0|0|1084.0|0|20.0|0|0.0|100
0|2021-11-19|1088.0|0|1088.0|0|20.0|0|0.0|100
0|2021-11-20|1088.0|0|1088.0|0|20.0|0|0.0|100
0|2021-11-21|1088.0|0|1088.0|0|20.0|0|0.0|100
0|2021-11-22|1097.0|0|1097.0|0|20.0|0|0.0|100
0|2021-11-23|1105.0|0|1105.0|0|20.0|0|0.0|100
0|2021-11-24|1115.0|0|1115.0|0|21.0|0|0.0|100
0|2021-11-25|1118.0|0|1118.0|0|21.0|0|0.0|100
0|2021-11-26|1118.0|0|1118.0|0|21.0|0|0.0|100
0|2021-11-27|1118.0|0|1118.0|0|21.0|0|0.0|100
0|2021-11-28|1118.0|0|1118.0|0|21.0|0|0.0|100
0|2021-11-29|1120.0|0|1120.0|0|21.0|0|0.0|100
0|2021-11-30|1131.0|0|1131.0|0|21.0|0|0.0|100
0|2021-12-01|1155.0|0|1155.0|0|22.0|0|0.0|100
0|2021-12-02|1158.0|0|1158.0|0|23.0|0|0.0|100
0|2021-12-03|1167.0|0|1163.0|0|23.0|0|0.0|100
0|2021-12-04|1167.0|0|1167.0|0|23.0|0|0.0|100
0|2021-12-05|1167.0|0|1167.0|0|23.0|0|0.0|100
0|2021-12-06|1174.0|0|1174.0|0|23.0|0|0.0|100
0|2021-12-07|1181.0|0|1181.0|0|24.0|0|0.0|100
0|2021-12-08|1190.0|0|1190.0|0|24.0|0|0.0|100
0|2021-12-09|1196.0|0|1196.0|0|24.0|0|0.0|100
0|2021-12-10|1200.0|0|1200.0|0|24.0|0|0.0|100
0|2021-12-11|1200.0|0|1200.0|0|24.0|0|0.0|100
0|2021-12-12|1200.0|0|1200.0|0|24.0|0|0.0|100
0|2021-12-13|1208.0|0|1208.0|0|24.0|0|0.0|100
0|2021-12-14|1208.0|0|1211.0|0|24.0|0|0.0|100
0|2021-12-15|1219.0|0|1219.0|0|24.0|0|0.0|100
0|2021-12-16|1223.0|0|1223.0|0|24.0|0|0.0|100
0|2021-12-17|1227.0|0|1227.0|0|24.0|0|0.0|100
0|2021-12-18|1227.0|0|1227.0|0|24.0|0|0.0|100
0|2021-12-19|1227.0|0|1227.0|0|24.0|0|0.0|100
0|2021-12-20|1235.0|0|1235.0|0|24.0|0|0.0|100
0|2021-12-21|1242.0|0|1242.0|0|25.0|0|0.0|100
0|2021-12-22|1248.0|0|1248.0|0|25.0|0|0.0|100
0|2021-12-23|1252.0|0|1252.0|0|25.0|0|0.0|100
0|2021-12-24|1256.0|0|1256.0|0|25.0|0|0.0|100
0|2021-12-25|1256.0|0|1256.0|0|25.0|0|0.0|100
0|2021-12-26|1256.0|0|1256.0|0|25.0|0|0.0|100
0|2021-12-27|1261.0|0|1261.0|0|25.0|0|0.0|100
0|2021-12-28|1266.0|0|1266.0|0|25.0|0|0.0|100
0|2021-12-29|1267.0|0|1267.0|0|25.0|0|0.0|100
0|2021-12-30|1272.0|0|1272.0|0|25.0|0|0.0|100
0|2021-12-31|1277.0|0|1277.0|0|25.0|0|0.0|100
0|2022-01-01|1277.0|0|1277.0|0|25.0|0|0.0|100
0|2022-01-02|1277.0|0|1277.0|0|25.0|0|0.0|100
0|2022-01-03|1284.0|0|1284.0|0|26.0|0|0.0|100
0|2022-01-04|1294.0|0|1294.0|0|27.0|0|0.0|100
0|2022-01-05|1307.0|0|1307.0|0|27.0|0|0.0|100
0|2022-01-06|1311.0|0|1311.0|0|28.0|0|0.0|100
0|2022-01-07|1316.0|0|1316.0|0|28.0|0|0.0|100
0|2022-01-08|1316.0|0|1316.0|0|28.0|0|0.0|100
0|2022-01-09|1316.0|0|1316.0|0|28.0|0|0.0|100
0|2022-01-10|1333.0|0|1333.0|0|28.0|0|0.0|100
0|2022-01-11|1347.0|0|1347.0|0|28.0|0|0.0|100
0|2022-01-12|1358.0|0|1358.0|0|28.0|0|0.0|100
0|2022-01-13|1358.0|0|1366.0|0|28.0|0|0.0|100
0|2022-01-14|1381.0|0|1374.0|0|28.0|0|0.0|100
0|2022-01-15|1381.0|0|1381.0|0|28.0|0|0.0|100
0|2022-01-16|1381.0|0|1381.0|0|28.0|0|0.0|100
0|2022-01-17|1386.0|0|0.0|100|28.0|0|0.0|100
