|dates|Knox_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Knox_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Knox_Missouri_UnitedStates.Male_Total_Population.data|Knox_Missouri_UnitedStates.Male_Total_Population.missing|Knox_Missouri_UnitedStates.Female_Total_Population.data|Knox_Missouri_UnitedStates.Female_Total_Population.missing|Knox_Missouri_UnitedStates.MaleAndFemale_Under18_Population.data|Knox_Missouri_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-10-18|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-10-19|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-10-20|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-10-21|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-10-22|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-10-23|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-10-24|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-10-25|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-10-26|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-10-27|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-10-28|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-10-29|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-10-30|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-10-31|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-01|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-02|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-03|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-04|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-05|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-06|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-07|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-08|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-09|871.0|0|1974.0|0|1973.0|0|917.0|0
