|dates|Lancaster_Virginia_UnitedStates.JHU_ConfirmedCases.data|Lancaster_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Lancaster_Virginia_UnitedStates.NYT_ConfirmedCases.data|Lancaster_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Lancaster_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Lancaster_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Lancaster_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Lancaster_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1046.0|0|1046.0|0|21.0|0|0.0|100
0|2021-10-18|1050.0|0|1050.0|0|21.0|0|0.0|100
0|2021-10-19|1052.0|0|1052.0|0|21.0|0|0.0|100
0|2021-10-20|1053.0|0|1053.0|0|21.0|0|0.0|100
0|2021-10-21|1053.0|0|1053.0|0|21.0|0|0.0|100
0|2021-10-22|1053.0|0|1053.0|0|21.0|0|0.0|100
0|2021-10-23|1053.0|0|1053.0|0|21.0|0|0.0|100
0|2021-10-24|1053.0|0|1053.0|0|21.0|0|0.0|100
0|2021-10-25|1054.0|0|1054.0|0|21.0|0|0.0|100
0|2021-10-26|1058.0|0|1058.0|0|21.0|0|0.0|100
0|2021-10-27|1058.0|0|1058.0|0|21.0|0|0.0|100
0|2021-10-28|1059.0|0|1059.0|0|22.0|0|0.0|100
0|2021-10-29|1062.0|0|1062.0|0|22.0|0|0.0|100
0|2021-10-30|1062.0|0|1062.0|0|22.0|0|0.0|100
0|2021-10-31|1062.0|0|1062.0|0|22.0|0|0.0|100
0|2021-11-01|1067.0|0|1067.0|0|22.0|0|0.0|100
0|2021-11-02|1069.0|0|1069.0|0|22.0|0|0.0|100
0|2021-11-03|1068.0|0|1068.0|0|22.0|0|0.0|100
0|2021-11-04|1068.0|0|1068.0|0|22.0|0|0.0|100
0|2021-11-05|1067.0|0|1067.0|0|23.0|0|0.0|100
0|2021-11-06|1067.0|0|1067.0|0|23.0|0|0.0|100
0|2021-11-07|1067.0|0|1067.0|0|23.0|0|0.0|100
0|2021-11-08|1072.0|0|1072.0|0|23.0|0|0.0|100
0|2021-11-09|1073.0|0|1073.0|0|23.0|0|0.0|100
0|2021-11-10|1073.0|0|1073.0|0|23.0|0|0.0|100
0|2021-11-11|1074.0|0|1074.0|0|23.0|0|0.0|100
0|2021-11-12|1074.0|0|1074.0|0|23.0|0|0.0|100
0|2021-11-13|1074.0|0|1074.0|0|23.0|0|0.0|100
0|2021-11-14|1074.0|0|1074.0|0|23.0|0|0.0|100
0|2021-11-15|1074.0|0|1074.0|0|23.0|0|0.0|100
0|2021-11-16|1074.0|0|1074.0|0|23.0|0|0.0|100
0|2021-11-17|1074.0|0|1074.0|0|23.0|0|0.0|100
0|2021-11-18|1074.0|0|1074.0|0|23.0|0|0.0|100
0|2021-11-19|1076.0|0|1076.0|0|23.0|0|0.0|100
0|2021-11-20|1076.0|0|1076.0|0|23.0|0|0.0|100
0|2021-11-21|1076.0|0|1076.0|0|23.0|0|0.0|100
0|2021-11-22|1077.0|0|1077.0|0|23.0|0|0.0|100
0|2021-11-23|1078.0|0|1078.0|0|23.0|0|0.0|100
0|2021-11-24|1079.0|0|1079.0|0|23.0|0|0.0|100
0|2021-11-25|1080.0|0|1080.0|0|23.0|0|0.0|100
0|2021-11-26|1084.0|0|1084.0|0|23.0|0|0.0|100
0|2021-11-27|1084.0|0|1084.0|0|23.0|0|0.0|100
0|2021-11-28|1084.0|0|1084.0|0|23.0|0|0.0|100
0|2021-11-29|1085.0|0|1085.0|0|23.0|0|0.0|100
0|2021-11-30|1085.0|0|1085.0|0|23.0|0|0.0|100
