|dates|Lee_Kentucky_UnitedStates.AverageDailyTemperature.data|Lee_Kentucky_UnitedStates.AverageDailyTemperature.missing|Lee_Kentucky_UnitedStates.AverageDewPoint.data|Lee_Kentucky_UnitedStates.AverageDewPoint.missing|Lee_Kentucky_UnitedStates.AverageRelativeHumidity.data|Lee_Kentucky_UnitedStates.AverageRelativeHumidity.missing|Lee_Kentucky_UnitedStates.AverageSurfaceAirPressure.data|Lee_Kentucky_UnitedStates.AverageSurfaceAirPressure.missing
0|2021-10-17|70.0|0|0.0|100|81.0|0|0.0|100
0|2021-10-18|70.0|0|0.0|100|81.0|0|0.0|100
0|2021-10-19|70.0|0|0.0|100|81.0|0|0.0|100
0|2021-10-20|70.0|0|0.0|100|81.0|0|0.0|100
0|2021-10-21|70.0|0|0.0|100|81.0|0|0.0|100
0|2021-10-22|68.5|0|0.0|100|81.33333333333333|0|0.0|100
0|2021-10-23|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-10-24|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-10-25|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-10-26|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-10-27|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-10-28|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-10-29|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-10-30|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-10-31|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-11-01|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-11-02|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-11-03|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-11-04|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-11-05|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-11-06|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-11-07|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-11-08|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-11-09|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-11-10|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-11-11|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-11-12|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-11-13|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-11-14|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-11-15|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-11-16|52.0|0|0.0|100|85.0|0|0.0|100
0|2021-11-17|55.333333333333336|0|0.0|100|84.33333333333333|0|0.0|100
0|2021-11-18|57.0|0|0.0|100|84.0|0|0.0|100
0|2021-11-19|57.0|0|0.0|100|84.0|0|0.0|100
0|2021-11-20|47.083333333333336|0|0.0|100|72.33333333333333|0|0.0|100
