|dates|Lee_Texas_UnitedStates.AverageDailyTemperature.data|Lee_Texas_UnitedStates.AverageDailyTemperature.missing|Lee_Texas_UnitedStates.AverageDewPoint.data|Lee_Texas_UnitedStates.AverageDewPoint.missing|Lee_Texas_UnitedStates.AverageRelativeHumidity.data|Lee_Texas_UnitedStates.AverageRelativeHumidity.missing|Lee_Texas_UnitedStates.AverageSurfaceAirPressure.data|Lee_Texas_UnitedStates.AverageSurfaceAirPressure.missing
0|2021-10-17|59.458333333333336|0|44.239583333333336|0|61.0625|0|29.75208333333332|0
0|2021-10-18|61.223958333333336|0|49.401041666666664|0|69.671875|0|29.60296875000005|0
0|2021-10-19|68.33333333333333|0|58.71875|0|73.49479166666667|0|29.530260416666653|0
0|2021-10-20|70.625|0|64.70833333333333|0|83.40104166666667|0|29.56437499999998|0
0|2021-10-21|72.41145833333333|0|65.58854166666667|0|81.328125|0|29.59328125000003|0
0|2021-10-22|73.80729166666667|0|65.81770833333333|0|78.44270833333333|0|29.52526041666661|0
0|2021-10-23|75.23958333333333|0|69.64583333333333|0|84.42708333333333|0|29.39942708333334|0
0|2021-10-24|74.51041666666667|0|68.63020833333333|0|83.515625|0|29.346875000000022|0
0|2021-10-25|75.71875|0|72.10416666666667|0|88.6875|0|29.43010416666667|0
0|2021-10-26|77.53125|0|72.5625|0|85.76041666666667|0|29.336197916666645|0
0|2021-10-27|70.6875|0|56.197916666666664|0|65.20833333333333|0|29.174114583333367|0
0|2021-10-28|65.6875|0|35.744791666666664|0|35.885416666666664|0|29.375937500000003|0
0|2021-10-29|62.677083333333336|0|30.010416666666668|0|30.4375|0|29.47906249999998|0
0|2021-10-30|59.916666666666664|0|37.583333333333336|0|48.020833333333336|0|29.443854166666693|0
0|2021-10-31|61.625|0|49.895833333333336|0|70.70833333333333|0|29.515729166666677|0
0|2021-11-01|63.34375|0|55.114583333333336|0|77.32291666666667|0|29.640104166666674|0
0|2021-11-02|66.29166666666667|0|60.583333333333336|0|83.33333333333333|0|29.66000000000001|0
