|dates|Lee_Virginia_UnitedStates.JHU_ConfirmedCases.data|Lee_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Lee_Virginia_UnitedStates.NYT_ConfirmedCases.data|Lee_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Lee_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Lee_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Lee_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Lee_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3605.0|0|3605.0|0|57.0|0|0.0|100
0|2021-10-18|3639.0|0|3639.0|0|57.0|0|0.0|100
0|2021-10-19|3657.0|0|3657.0|0|59.0|0|0.0|100
0|2021-10-20|3667.0|0|3667.0|0|59.0|0|0.0|100
0|2021-10-21|3676.0|0|3676.0|0|59.0|0|0.0|100
0|2021-10-22|3684.0|0|3684.0|0|59.0|0|0.0|100
0|2021-10-23|3684.0|0|3684.0|0|59.0|0|0.0|100
0|2021-10-24|3684.0|0|3684.0|0|59.0|0|0.0|100
0|2021-10-25|3700.0|0|3700.0|0|59.0|0|0.0|100
0|2021-10-26|3701.0|0|3701.0|0|59.0|0|0.0|100
0|2021-10-27|3707.0|0|3707.0|0|59.0|0|0.0|100
0|2021-10-28|3714.0|0|3714.0|0|60.0|0|0.0|100
0|2021-10-29|3720.0|0|3720.0|0|60.0|0|0.0|100
0|2021-10-30|3720.0|0|3720.0|0|60.0|0|0.0|100
0|2021-10-31|3720.0|0|3720.0|0|60.0|0|0.0|100
0|2021-11-01|3726.0|0|3726.0|0|60.0|0|0.0|100
0|2021-11-02|3726.0|0|3726.0|0|60.0|0|0.0|100
0|2021-11-03|3728.0|0|3728.0|0|60.0|0|0.0|100
0|2021-11-04|3737.0|0|3737.0|0|60.0|0|0.0|100
0|2021-11-05|3748.0|0|3748.0|0|60.0|0|0.0|100
0|2021-11-06|3748.0|0|3748.0|0|60.0|0|0.0|100
0|2021-11-07|3748.0|0|3748.0|0|60.0|0|0.0|100
0|2021-11-08|3755.0|0|3755.0|0|60.0|0|0.0|100
0|2021-11-09|3756.0|0|3756.0|0|60.0|0|0.0|100
0|2021-11-10|3756.0|0|3766.0|0|60.0|0|0.0|100
0|2021-11-11|3770.0|0|3770.0|0|61.0|0|0.0|100
0|2021-11-12|3782.0|0|3782.0|0|61.0|0|0.0|100
0|2021-11-13|3782.0|0|3782.0|0|61.0|0|0.0|100
0|2021-11-14|3782.0|0|3782.0|0|61.0|0|0.0|100
0|2021-11-15|3792.0|0|3792.0|0|61.0|0|0.0|100
0|2021-11-16|3796.0|0|3796.0|0|61.0|0|0.0|100
0|2021-11-17|3822.0|0|3822.0|0|61.0|0|0.0|100
0|2021-11-18|3833.0|0|3833.0|0|61.0|0|0.0|100
0|2021-11-19|3845.0|0|3845.0|0|61.0|0|0.0|100
0|2021-11-20|3845.0|0|3845.0|0|61.0|0|0.0|100
0|2021-11-21|3845.0|0|3845.0|0|61.0|0|0.0|100
0|2021-11-22|3867.0|0|3867.0|0|62.0|0|0.0|100
0|2021-11-23|3881.0|0|3881.0|0|62.0|0|0.0|100
0|2021-11-24|3891.0|0|3891.0|0|62.0|0|0.0|100
0|2021-11-25|3894.0|0|3894.0|0|62.0|0|0.0|100
0|2021-11-26|3895.0|0|3895.0|0|62.0|0|0.0|100
0|2021-11-27|3895.0|0|3895.0|0|62.0|0|0.0|100
0|2021-11-28|3895.0|0|3895.0|0|62.0|0|0.0|100
0|2021-11-29|3901.0|0|3901.0|0|62.0|0|0.0|100
0|2021-11-30|3914.0|0|3914.0|0|62.0|0|0.0|100
0|2021-12-01|3924.0|0|3924.0|0|62.0|0|0.0|100
0|2021-12-02|3939.0|0|3939.0|0|62.0|0|0.0|100
0|2021-12-03|3945.0|0|3945.0|0|62.0|0|0.0|100
0|2021-12-04|3945.0|0|3945.0|0|62.0|0|0.0|100
0|2021-12-05|3945.0|0|3945.0|0|62.0|0|0.0|100
0|2021-12-06|3952.0|0|3952.0|0|62.0|0|0.0|100
0|2021-12-07|3961.0|0|3961.0|0|62.0|0|0.0|100
0|2021-12-08|3966.0|0|3966.0|0|62.0|0|0.0|100
0|2021-12-09|3971.0|0|3971.0|0|62.0|0|0.0|100
0|2021-12-10|3981.0|0|3981.0|0|62.0|0|0.0|100
0|2021-12-11|3981.0|0|3981.0|0|62.0|0|0.0|100
