|dates|Lewis_NewYork_UnitedStates.JHU_ConfirmedCases.data|Lewis_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Lewis_NewYork_UnitedStates.NYT_ConfirmedCases.data|Lewis_NewYork_UnitedStates.NYT_ConfirmedCases.missing|Lewis_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Lewis_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Lewis_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Lewis_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3550.0|0|3550.0|0|38.0|0|0.0|100
0|2021-10-18|3556.0|0|3556.0|0|38.0|0|0.0|100
0|2021-10-19|3571.0|0|3571.0|0|38.0|0|0.0|100
0|2021-10-20|3586.0|0|3586.0|0|38.0|0|0.0|100
0|2021-10-21|3603.0|0|3603.0|0|38.0|0|0.0|100
0|2021-10-22|3621.0|0|3621.0|0|38.0|0|0.0|100
0|2021-10-23|3636.0|0|3636.0|0|38.0|0|0.0|100
0|2021-10-24|3649.0|0|3649.0|0|38.0|0|0.0|100
0|2021-10-25|3653.0|0|3653.0|0|38.0|0|0.0|100
0|2021-10-26|3664.0|0|3664.0|0|38.0|0|0.0|100
0|2021-10-27|3681.0|0|3681.0|0|38.0|0|0.0|100
0|2021-10-28|3692.0|0|3692.0|0|38.0|0|0.0|100
0|2021-10-29|3704.0|0|3704.0|0|39.0|0|0.0|100
0|2021-10-30|3717.0|0|3717.0|0|39.0|0|0.0|100
0|2021-10-31|3726.0|0|3726.0|0|39.0|0|0.0|100
0|2021-11-01|3732.0|0|3732.0|0|39.0|0|0.0|100
0|2021-11-02|3739.0|0|3739.0|0|39.0|0|0.0|100
0|2021-11-03|3756.0|0|3756.0|0|39.0|0|0.0|100
0|2021-11-04|3769.0|0|3769.0|0|39.0|0|0.0|100
0|2021-11-05|3785.0|0|3785.0|0|39.0|0|0.0|100
0|2021-11-06|3804.0|0|3804.0|0|39.0|0|0.0|100
0|2021-11-07|3810.0|0|3810.0|0|39.0|0|0.0|100
0|2021-11-08|3813.0|0|3813.0|0|39.0|0|0.0|100
0|2021-11-09|3837.0|0|3837.0|0|39.0|0|0.0|100
0|2021-11-10|3847.0|0|3847.0|0|39.0|0|0.0|100
0|2021-11-11|3861.0|0|3861.0|0|39.0|0|0.0|100
0|2021-11-12|3876.0|0|3876.0|0|39.0|0|0.0|100
0|2021-11-13|3896.0|0|3896.0|0|39.0|0|0.0|100
0|2021-11-14|3904.0|0|3904.0|0|39.0|0|0.0|100
0|2021-11-15|3914.0|0|3914.0|0|39.0|0|0.0|100
0|2021-11-16|3941.0|0|3941.0|0|39.0|0|0.0|100
0|2021-11-17|3966.0|0|3966.0|0|39.0|0|0.0|100
0|2021-11-18|3990.0|0|3990.0|0|39.0|0|0.0|100
0|2021-11-19|4015.0|0|4015.0|0|39.0|0|0.0|100
0|2021-11-20|4028.0|0|4028.0|0|39.0|0|0.0|100
0|2021-11-21|4039.0|0|4039.0|0|39.0|0|0.0|100
0|2021-11-22|4045.0|0|4045.0|0|39.0|0|0.0|100
0|2021-11-23|4066.0|0|4066.0|0|39.0|0|0.0|100
0|2021-11-24|4101.0|0|4101.0|0|39.0|0|0.0|100
0|2021-11-25|4125.0|0|4125.0|0|39.0|0|0.0|100
0|2021-11-26|4145.0|0|4145.0|0|39.0|0|0.0|100
0|2021-11-27|4157.0|0|4157.0|0|40.0|0|0.0|100
0|2021-11-28|4169.0|0|4169.0|0|40.0|0|0.0|100
0|2021-11-29|4175.0|0|4175.0|0|40.0|0|0.0|100
0|2021-11-30|4203.0|0|4203.0|0|40.0|0|0.0|100
0|2021-12-01|4240.0|0|4240.0|0|40.0|0|0.0|100
0|2021-12-02|4260.0|0|4260.0|0|40.0|0|0.0|100
0|2021-12-03|4298.0|0|4298.0|0|40.0|0|0.0|100
0|2021-12-04|4316.0|0|4316.0|0|40.0|0|0.0|100
0|2021-12-05|4346.0|0|4346.0|0|40.0|0|0.0|100
0|2021-12-06|4355.0|0|4355.0|0|40.0|0|0.0|100
0|2021-12-07|4369.0|0|4369.0|0|40.0|0|0.0|100
0|2021-12-08|4395.0|0|4395.0|0|40.0|0|0.0|100
0|2021-12-09|4414.0|0|4414.0|0|40.0|0|0.0|100
0|2021-12-10|4429.0|0|4429.0|0|40.0|0|0.0|100
0|2021-12-11|4461.0|0|4461.0|0|40.0|0|0.0|100
0|2021-12-12|4488.0|0|4488.0|0|40.0|0|0.0|100
0|2021-12-13|4505.0|0|4505.0|0|40.0|0|0.0|100
