|dates|Liberty_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Liberty_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Liberty_Montana_UnitedStates.Male_Total_Population.data|Liberty_Montana_UnitedStates.Male_Total_Population.missing|Liberty_Montana_UnitedStates.Female_Total_Population.data|Liberty_Montana_UnitedStates.Female_Total_Population.missing|Liberty_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|Liberty_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-10-18|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-10-19|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-10-20|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-10-21|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-10-22|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-10-23|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-10-24|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-10-25|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-10-26|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-10-27|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-10-28|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-10-29|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-10-30|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-10-31|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-01|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-02|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-03|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-04|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-05|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-06|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-07|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-08|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-09|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-10|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-11|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-12|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-13|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-14|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-15|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-16|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-17|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-18|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-19|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-20|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-21|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-22|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-23|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-24|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-25|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-26|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-27|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-28|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-29|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-11-30|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-01|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-02|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-03|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-04|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-05|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-06|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-07|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-08|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-09|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-10|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-11|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-12|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-13|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-14|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-15|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-16|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-17|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-18|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-19|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-20|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-21|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-22|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-23|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-24|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-25|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-26|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-27|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-28|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-29|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-30|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2021-12-31|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2022-01-01|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2022-01-02|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2022-01-03|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2022-01-04|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2022-01-05|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2022-01-06|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2022-01-07|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2022-01-08|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2022-01-09|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2022-01-10|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2022-01-11|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2022-01-12|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2022-01-13|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2022-01-14|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2022-01-15|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2022-01-16|500.0|0|1172.0|0|1258.0|0|516.0|0
0|2022-01-17|500.0|0|1172.0|0|1258.0|0|516.0|0
