|dates|Lincoln_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Lincoln_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Lincoln_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Lincoln_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Lincoln_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Lincoln_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Lincoln_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Lincoln_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4230.0|0|4230.0|0|80.0|0|0.0|100
0|2021-10-18|4243.0|0|4243.0|0|80.0|0|0.0|100
0|2021-10-19|4264.0|0|4264.0|0|80.0|0|0.0|100
0|2021-10-20|4282.0|0|4282.0|0|86.0|0|0.0|100
0|2021-10-21|4308.0|0|4308.0|0|86.0|0|0.0|100
0|2021-10-22|4324.0|0|4324.0|0|86.0|0|0.0|100
0|2021-10-23|4324.0|0|4324.0|0|86.0|0|0.0|100
0|2021-10-24|4324.0|0|4324.0|0|86.0|0|0.0|100
0|2021-10-25|4339.0|0|4339.0|0|89.0|0|0.0|100
0|2021-10-26|4353.0|0|4353.0|0|89.0|0|0.0|100
0|2021-10-27|4361.0|0|4361.0|0|89.0|0|0.0|100
0|2021-10-28|4368.0|0|4368.0|0|89.0|0|0.0|100
0|2021-10-29|4375.0|0|4375.0|0|89.0|0|0.0|100
0|2021-10-30|4375.0|0|4375.0|0|89.0|0|0.0|100
0|2021-10-31|4375.0|0|4375.0|0|89.0|0|0.0|100
0|2021-11-01|4379.0|0|4379.0|0|89.0|0|0.0|100
0|2021-11-02|4383.0|0|4383.0|0|89.0|0|0.0|100
0|2021-11-03|4384.0|0|4384.0|0|89.0|0|0.0|100
0|2021-11-04|4388.0|0|4388.0|0|90.0|0|0.0|100
0|2021-11-05|4393.0|0|4393.0|0|93.0|0|0.0|100
0|2021-11-06|4393.0|0|4393.0|0|93.0|0|0.0|100
0|2021-11-07|4393.0|0|4393.0|0|93.0|0|0.0|100
0|2021-11-08|4395.0|0|4395.0|0|97.0|0|0.0|100
0|2021-11-09|4405.0|0|4405.0|0|97.0|0|0.0|100
0|2021-11-10|4408.0|0|4408.0|0|98.0|0|0.0|100
0|2021-11-11|4408.0|0|4408.0|0|98.0|0|0.0|100
0|2021-11-12|4408.0|0|4408.0|0|99.0|0|0.0|100
0|2021-11-13|4408.0|0|4408.0|0|99.0|0|0.0|100
0|2021-11-14|4408.0|0|4408.0|0|99.0|0|0.0|100
0|2021-11-15|4421.0|0|4421.0|0|99.0|0|0.0|100
0|2021-11-16|4424.0|0|4424.0|0|99.0|0|0.0|100
0|2021-11-17|4438.0|0|4438.0|0|100.0|0|0.0|100
0|2021-11-18|4441.0|0|4441.0|0|100.0|0|0.0|100
0|2021-11-19|4447.0|0|4447.0|0|101.0|0|0.0|100
0|2021-11-20|4447.0|0|4447.0|0|101.0|0|0.0|100
0|2021-11-21|4447.0|0|4447.0|0|101.0|0|0.0|100
0|2021-11-22|4461.0|0|4461.0|0|102.0|0|0.0|100
0|2021-11-23|4472.0|0|4472.0|0|102.0|0|0.0|100
0|2021-11-24|4480.0|0|4480.0|0|102.0|0|0.0|100
0|2021-11-25|4480.0|0|4480.0|0|102.0|0|0.0|100
0|2021-11-26|4480.0|0|4480.0|0|102.0|0|0.0|100
0|2021-11-27|4480.0|0|4480.0|0|102.0|0|0.0|100
0|2021-11-28|4480.0|0|4480.0|0|102.0|0|0.0|100
0|2021-11-29|4493.0|0|4493.0|0|103.0|0|0.0|100
0|2021-11-30|4495.0|0|4495.0|0|103.0|0|0.0|100
0|2021-12-01|4505.0|0|4505.0|0|103.0|0|0.0|100
0|2021-12-02|4509.0|0|4509.0|0|103.0|0|0.0|100
0|2021-12-03|4516.0|0|4516.0|0|104.0|0|0.0|100
0|2021-12-04|4516.0|0|4516.0|0|104.0|0|0.0|100
0|2021-12-05|4516.0|0|4516.0|0|104.0|0|0.0|100
0|2021-12-06|4528.0|0|4528.0|0|105.0|0|0.0|100
0|2021-12-07|4531.0|0|4531.0|0|105.0|0|0.0|100
0|2021-12-08|4549.0|0|4549.0|0|105.0|0|0.0|100
0|2021-12-09|4562.0|0|4562.0|0|105.0|0|0.0|100
0|2021-12-10|4573.0|0|4573.0|0|105.0|0|0.0|100
0|2021-12-11|4573.0|0|4573.0|0|105.0|0|0.0|100
0|2021-12-12|4573.0|0|4573.0|0|105.0|0|0.0|100
0|2021-12-13|4591.0|0|4591.0|0|105.0|0|0.0|100
0|2021-12-14|4591.0|0|4601.0|0|105.0|0|0.0|100
0|2021-12-15|4610.0|0|4610.0|0|105.0|0|0.0|100
0|2021-12-16|4612.0|0|4612.0|0|105.0|0|0.0|100
0|2021-12-17|4623.0|0|4623.0|0|105.0|0|0.0|100
0|2021-12-18|4623.0|0|4623.0|0|105.0|0|0.0|100
0|2021-12-19|4623.0|0|4623.0|0|105.0|0|0.0|100
0|2021-12-20|4633.0|0|4633.0|0|105.0|0|0.0|100
0|2021-12-21|4638.0|0|4638.0|0|105.0|0|0.0|100
0|2021-12-22|4649.0|0|4649.0|0|105.0|0|0.0|100
0|2021-12-23|4649.0|0|4649.0|0|105.0|0|0.0|100
0|2021-12-24|4649.0|0|4649.0|0|105.0|0|0.0|100
0|2021-12-25|4649.0|0|4649.0|0|105.0|0|0.0|100
0|2021-12-26|4649.0|0|4649.0|0|105.0|0|0.0|100
0|2021-12-27|4675.0|0|4675.0|0|106.0|0|0.0|100
0|2021-12-28|4687.0|0|4687.0|0|106.0|0|0.0|100
0|2021-12-29|4704.0|0|4704.0|0|106.0|0|0.0|100
0|2021-12-30|4704.0|0|4704.0|0|106.0|0|0.0|100
0|2021-12-31|4704.0|0|4704.0|0|106.0|0|0.0|100
