|dates|Lincoln_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Lincoln_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Lincoln_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Lincoln_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Lincoln_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Lincoln_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Lincoln_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Lincoln_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|14677.0|0|14677.0|0|107.0|0|0.0|100
0|2021-10-18|14771.0|0|14771.0|0|107.0|0|0.0|100
0|2021-10-19|14785.0|0|14785.0|0|107.0|0|0.0|100
0|2021-10-20|14804.0|0|14804.0|0|107.0|0|0.0|100
0|2021-10-21|14830.0|0|14830.0|0|107.0|0|0.0|100
0|2021-10-22|14860.0|0|14860.0|0|107.0|0|0.0|100
0|2021-10-23|14860.0|0|14860.0|0|107.0|0|0.0|100
0|2021-10-24|14860.0|0|14860.0|0|107.0|0|0.0|100
0|2021-10-25|14930.0|0|14930.0|0|107.0|0|0.0|100
0|2021-10-26|14934.0|0|14934.0|0|107.0|0|0.0|100
0|2021-10-27|14958.0|0|14958.0|0|107.0|0|0.0|100
0|2021-10-28|14969.0|0|14969.0|0|107.0|0|0.0|100
0|2021-10-29|14999.0|0|14999.0|0|107.0|0|0.0|100
0|2021-10-30|14999.0|0|14999.0|0|107.0|0|0.0|100
0|2021-10-31|14999.0|0|14999.0|0|107.0|0|0.0|100
0|2021-11-01|15063.0|0|15063.0|0|107.0|0|0.0|100
0|2021-11-02|15080.0|0|15080.0|0|107.0|0|0.0|100
0|2021-11-03|15103.0|0|15103.0|0|107.0|0|0.0|100
0|2021-11-04|15128.0|0|15128.0|0|107.0|0|0.0|100
0|2021-11-05|15158.0|0|15158.0|0|107.0|0|0.0|100
0|2021-11-06|15158.0|0|15158.0|0|107.0|0|0.0|100
0|2021-11-07|15158.0|0|15158.0|0|107.0|0|0.0|100
0|2021-11-08|15237.0|0|15237.0|0|107.0|0|0.0|100
0|2021-11-09|15257.0|0|15257.0|0|107.0|0|0.0|100
0|2021-11-10|15257.0|0|15275.0|0|107.0|0|0.0|100
0|2021-11-11|15275.0|0|15275.0|0|107.0|0|0.0|100
0|2021-11-12|15343.0|0|15343.0|0|107.0|0|0.0|100
0|2021-11-13|15343.0|0|15343.0|0|107.0|0|0.0|100
0|2021-11-14|15343.0|0|15343.0|0|107.0|0|0.0|100
0|2021-11-15|15405.0|0|15405.0|0|107.0|0|0.0|100
0|2021-11-16|15421.0|0|15421.0|0|107.0|0|0.0|100
0|2021-11-17|15453.0|0|15453.0|0|107.0|0|0.0|100
0|2021-11-18|15478.0|0|15478.0|0|110.0|0|0.0|100
0|2021-11-19|15520.0|0|15520.0|0|110.0|0|0.0|100
0|2021-11-20|15520.0|0|15520.0|0|110.0|0|0.0|100
0|2021-11-21|15520.0|0|15520.0|0|110.0|0|0.0|100
0|2021-11-22|15597.0|0|15597.0|0|110.0|0|0.0|100
0|2021-11-23|15615.0|0|15615.0|0|110.0|0|0.0|100
0|2021-11-24|15646.0|0|15646.0|0|114.0|0|0.0|100
0|2021-11-25|15646.0|0|15646.0|0|114.0|0|0.0|100
0|2021-11-26|15646.0|0|15646.0|0|114.0|0|0.0|100
0|2021-11-27|15646.0|0|15646.0|0|114.0|0|0.0|100
0|2021-11-28|15646.0|0|15646.0|0|114.0|0|0.0|100
0|2021-11-29|15777.0|0|15777.0|0|118.0|0|0.0|100
0|2021-11-30|15796.0|0|15796.0|0|118.0|0|0.0|100
0|2021-12-01|15845.0|0|15845.0|0|118.0|0|0.0|100
0|2021-12-02|15905.0|0|15905.0|0|118.0|0|0.0|100
0|2021-12-03|15905.0|0|15950.0|0|118.0|0|0.0|100
0|2021-12-04|15950.0|0|15950.0|0|118.0|0|0.0|100
0|2021-12-05|15950.0|0|15950.0|0|118.0|0|0.0|100
0|2021-12-06|16037.0|0|16037.0|0|118.0|0|0.0|100
0|2021-12-07|16067.0|0|16067.0|0|118.0|0|0.0|100
0|2021-12-08|16105.0|0|16105.0|0|118.0|0|0.0|100
0|2021-12-09|16150.0|0|16150.0|0|118.0|0|0.0|100
0|2021-12-10|16195.0|0|16195.0|0|118.0|0|0.0|100
0|2021-12-11|16195.0|0|16195.0|0|118.0|0|0.0|100
0|2021-12-12|16195.0|0|16195.0|0|118.0|0|0.0|100
0|2021-12-13|16287.0|0|16287.0|0|118.0|0|0.0|100
0|2021-12-14|16287.0|0|16319.0|0|118.0|0|0.0|100
0|2021-12-15|16348.0|0|16348.0|0|118.0|0|0.0|100
0|2021-12-16|16388.0|0|16388.0|0|118.0|0|0.0|100
0|2021-12-17|16430.0|0|16430.0|0|119.0|0|0.0|100
0|2021-12-18|16430.0|0|16430.0|0|119.0|0|0.0|100
0|2021-12-19|16430.0|0|16430.0|0|119.0|0|0.0|100
0|2021-12-20|16542.0|0|16542.0|0|119.0|0|0.0|100
0|2021-12-21|16585.0|0|16585.0|0|119.0|0|0.0|100
0|2021-12-22|16630.0|0|16630.0|0|119.0|0|0.0|100
0|2021-12-23|16630.0|0|16630.0|0|119.0|0|0.0|100
0|2021-12-24|16630.0|0|16630.0|0|119.0|0|0.0|100
0|2021-12-25|16630.0|0|16630.0|0|119.0|0|0.0|100
0|2021-12-26|16630.0|0|16630.0|0|119.0|0|0.0|100
0|2021-12-27|16630.0|0|16630.0|0|119.0|0|0.0|100
0|2021-12-28|16861.0|0|16861.0|0|119.0|0|0.0|100
0|2021-12-29|16940.0|0|16940.0|0|119.0|0|0.0|100
0|2021-12-30|17086.0|0|17086.0|0|119.0|0|0.0|100
0|2021-12-31|17086.0|0|17233.0|0|119.0|0|0.0|100
0|2022-01-01|17086.0|0|17233.0|0|119.0|0|0.0|100
0|2022-01-02|17086.0|0|17233.0|0|119.0|0|0.0|100
0|2022-01-03|17564.0|0|17564.0|0|122.0|0|0.0|100
0|2022-01-04|17599.0|0|17599.0|0|122.0|0|0.0|100
0|2022-01-05|17735.0|0|17735.0|0|122.0|0|0.0|100
0|2022-01-06|17852.0|0|17852.0|0|122.0|0|0.0|100
0|2022-01-07|18076.0|0|18076.0|0|122.0|0|0.0|100
0|2022-01-08|18076.0|0|18076.0|0|122.0|0|0.0|100
0|2022-01-09|18076.0|0|18076.0|0|122.0|0|0.0|100
0|2022-01-10|18504.0|0|18504.0|0|122.0|0|0.0|100
0|2022-01-11|18570.0|0|18570.0|0|122.0|0|0.0|100
0|2022-01-12|18684.0|0|18684.0|0|122.0|0|0.0|100
0|2022-01-13|18684.0|0|19001.0|0|122.0|0|0.0|100
0|2022-01-14|19211.0|0|19211.0|0|122.0|0|0.0|100
0|2022-01-15|19211.0|0|19211.0|0|122.0|0|0.0|100
0|2022-01-16|19211.0|0|19211.0|0|122.0|0|0.0|100
0|2022-01-17|19211.0|0|0.0|100|122.0|0|0.0|100
