|dates|Lorain_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Lorain_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Lorain_Ohio_UnitedStates.Male_Total_Population.data|Lorain_Ohio_UnitedStates.Male_Total_Population.missing|Lorain_Ohio_UnitedStates.Female_Total_Population.data|Lorain_Ohio_UnitedStates.Female_Total_Population.missing|Lorain_Ohio_UnitedStates.MaleAndFemale_Under18_Population.data|Lorain_Ohio_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-10-18|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-10-19|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-10-20|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-10-21|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-10-22|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-10-23|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-10-24|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-10-25|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-10-26|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-10-27|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-10-28|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-10-29|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-10-30|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-10-31|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-01|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-02|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-03|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-04|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-05|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-06|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-07|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-08|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-09|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-10|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-11|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-12|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-13|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-14|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-15|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-16|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-17|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-18|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-19|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-20|56629.0|0|152269.0|0|157192.0|0|68166.0|0
0|2021-11-21|56629.0|0|152269.0|0|157192.0|0|68166.0|0
