|dates|Madison_Georgia_UnitedStates.JHU_ConfirmedCases.data|Madison_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Madison_Georgia_UnitedStates.NYT_ConfirmedCases.data|Madison_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Madison_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Madison_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Madison_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Madison_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4910.0|0|4927.0|0|72.0|0|0.0|100
0|2021-10-18|4916.0|0|4933.0|0|74.0|0|0.0|100
0|2021-10-19|4927.0|0|4944.0|0|74.0|0|0.0|100
0|2021-10-20|4931.0|0|4948.0|0|74.0|0|0.0|100
0|2021-10-21|4936.0|0|4953.0|0|74.0|0|0.0|100
0|2021-10-22|4938.0|0|4955.0|0|74.0|0|0.0|100
0|2021-10-23|4938.0|0|4955.0|0|74.0|0|0.0|100
0|2021-10-24|4938.0|0|4955.0|0|74.0|0|0.0|100
0|2021-10-25|4950.0|0|4967.0|0|74.0|0|0.0|100
0|2021-10-26|4952.0|0|4969.0|0|74.0|0|0.0|100
0|2021-10-27|4955.0|0|4972.0|0|74.0|0|0.0|100
0|2021-10-28|4956.0|0|4973.0|0|74.0|0|0.0|100
0|2021-10-29|4961.0|0|4978.0|0|75.0|0|0.0|100
0|2021-10-30|4961.0|0|4978.0|0|75.0|0|0.0|100
0|2021-10-31|4961.0|0|4978.0|0|75.0|0|0.0|100
0|2021-11-01|4973.0|0|4990.0|0|75.0|0|0.0|100
0|2021-11-02|4978.0|0|4995.0|0|76.0|0|0.0|100
0|2021-11-03|4978.0|0|4995.0|0|77.0|0|0.0|100
0|2021-11-04|4985.0|0|5002.0|0|77.0|0|0.0|100
0|2021-11-05|4986.0|0|5003.0|0|78.0|0|0.0|100
0|2021-11-06|4986.0|0|5003.0|0|78.0|0|0.0|100
0|2021-11-07|4986.0|0|5003.0|0|78.0|0|0.0|100
0|2021-11-08|4986.0|0|5003.0|0|78.0|0|0.0|100
0|2021-11-09|4991.0|0|5008.0|0|78.0|0|0.0|100
0|2021-11-10|4991.0|0|5010.0|0|78.0|0|0.0|100
0|2021-11-11|4993.0|0|5010.0|0|79.0|0|0.0|100
0|2021-11-12|4996.0|0|5013.0|0|79.0|0|0.0|100
0|2021-11-13|4996.0|0|5013.0|0|79.0|0|0.0|100
0|2021-11-14|4996.0|0|5013.0|0|79.0|0|0.0|100
0|2021-11-15|5001.0|0|5019.0|0|79.0|0|0.0|100
0|2021-11-16|5002.0|0|5020.0|0|79.0|0|0.0|100
0|2021-11-17|5008.0|0|5026.0|0|80.0|0|0.0|100
0|2021-11-18|5009.0|0|5027.0|0|80.0|0|0.0|100
0|2021-11-19|5011.0|0|5029.0|0|80.0|0|0.0|100
0|2021-11-20|5011.0|0|5029.0|0|80.0|0|0.0|100
0|2021-11-21|5011.0|0|5029.0|0|80.0|0|0.0|100
0|2021-11-22|5014.0|0|5032.0|0|80.0|0|0.0|100
0|2021-11-23|5021.0|0|5039.0|0|80.0|0|0.0|100
0|2021-11-24|5023.0|0|5041.0|0|80.0|0|0.0|100
0|2021-11-25|5023.0|0|5041.0|0|80.0|0|0.0|100
0|2021-11-26|5023.0|0|5041.0|0|80.0|0|0.0|100
0|2021-11-27|5023.0|0|5041.0|0|80.0|0|0.0|100
0|2021-11-28|5023.0|0|5041.0|0|80.0|0|0.0|100
0|2021-11-29|5032.0|0|5050.0|0|80.0|0|0.0|100
0|2021-11-30|5034.0|0|5052.0|0|80.0|0|0.0|100
0|2021-12-01|5038.0|0|5056.0|0|80.0|0|0.0|100
0|2021-12-02|5038.0|0|5068.0|0|80.0|0|0.0|100
0|2021-12-03|5051.0|0|5069.0|0|80.0|0|0.0|100
0|2021-12-04|5051.0|0|5069.0|0|80.0|0|0.0|100
0|2021-12-05|5051.0|0|5069.0|0|80.0|0|0.0|100
0|2021-12-06|5058.0|0|5076.0|0|80.0|0|0.0|100
0|2021-12-07|5058.0|0|5076.0|0|80.0|0|0.0|100
0|2021-12-08|5061.0|0|5079.0|0|81.0|0|0.0|100
0|2021-12-09|5061.0|0|5079.0|0|81.0|0|0.0|100
0|2021-12-10|5065.0|0|5083.0|0|81.0|0|0.0|100
0|2021-12-11|5065.0|0|5083.0|0|81.0|0|0.0|100
0|2021-12-12|5065.0|0|5083.0|0|81.0|0|0.0|100
0|2021-12-13|5069.0|0|5086.0|0|81.0|0|0.0|100
0|2021-12-14|5069.0|0|5088.0|0|81.0|0|0.0|100
0|2021-12-15|5077.0|0|5094.0|0|81.0|0|0.0|100
0|2021-12-16|5084.0|0|5101.0|0|81.0|0|0.0|100
0|2021-12-17|5087.0|0|5104.0|0|81.0|0|0.0|100
0|2021-12-18|5087.0|0|5104.0|0|81.0|0|0.0|100
0|2021-12-19|5087.0|0|5104.0|0|81.0|0|0.0|100
