|dates|Madison_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Madison_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Madison_Nebraska_UnitedStates.NYT_ConfirmedCases.data|Madison_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|Madison_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Madison_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Madison_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Madison_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5548.0|0|5548.0|0|44.0|0|0.0|100
0|2021-10-18|5584.0|0|5584.0|0|44.0|0|0.0|100
0|2021-10-19|5590.0|0|5590.0|0|44.0|0|0.0|100
0|2021-10-20|5610.0|0|5610.0|0|44.0|0|0.0|100
0|2021-10-21|5621.0|0|5621.0|0|44.0|0|0.0|100
0|2021-10-22|5621.0|0|5621.0|0|44.0|0|0.0|100
0|2021-10-23|5621.0|0|5621.0|0|44.0|0|0.0|100
0|2021-10-24|5621.0|0|5621.0|0|44.0|0|0.0|100
0|2021-10-25|5621.0|0|5621.0|0|44.0|0|0.0|100
0|2021-10-26|5621.0|0|5621.0|0|44.0|0|0.0|100
0|2021-10-27|5704.0|0|5704.0|0|44.0|0|0.0|100
0|2021-10-28|5704.0|0|5704.0|0|44.0|0|0.0|100
0|2021-10-29|5704.0|0|5741.0|0|44.0|0|0.0|100
0|2021-10-30|5704.0|0|5741.0|0|44.0|0|0.0|100
0|2021-10-31|5704.0|0|5746.0|0|44.0|0|0.0|100
0|2021-11-01|5704.0|0|5796.0|0|44.0|0|0.0|100
0|2021-11-02|5704.0|0|5796.0|0|44.0|0|0.0|100
0|2021-11-03|5887.0|0|5887.0|0|44.0|0|0.0|100
0|2021-11-04|5887.0|0|5887.0|0|44.0|0|0.0|100
0|2021-11-05|5887.0|0|5887.0|0|44.0|0|0.0|100
0|2021-11-06|5887.0|0|5887.0|0|44.0|0|0.0|100
0|2021-11-07|5887.0|0|5887.0|0|44.0|0|0.0|100
0|2021-11-08|5952.0|0|5952.0|0|44.0|0|0.0|100
0|2021-11-09|5979.0|0|5979.0|0|44.0|0|0.0|100
0|2021-11-10|5979.0|0|6041.0|0|44.0|0|0.0|100
0|2021-11-11|6078.0|0|6078.0|0|44.0|0|0.0|100
0|2021-11-12|6097.0|0|6097.0|0|44.0|0|0.0|100
0|2021-11-13|6097.0|0|6097.0|0|44.0|0|0.0|100
0|2021-11-14|6097.0|0|6097.0|0|44.0|0|0.0|100
0|2021-11-15|6168.0|0|6168.0|0|44.0|0|0.0|100
0|2021-11-16|6225.0|0|6225.0|0|44.0|0|0.0|100
0|2021-11-17|6255.0|0|6255.0|0|44.0|0|0.0|100
0|2021-11-18|6317.0|0|6317.0|0|44.0|0|0.0|100
0|2021-11-19|6348.0|0|6348.0|0|44.0|0|0.0|100
0|2021-11-20|6348.0|0|6348.0|0|44.0|0|0.0|100
0|2021-11-21|6348.0|0|6348.0|0|44.0|0|0.0|100
0|2021-11-22|6395.0|0|6395.0|0|44.0|0|0.0|100
0|2021-11-23|6455.0|0|6455.0|0|44.0|0|0.0|100
0|2021-11-24|6470.0|0|6470.0|0|44.0|0|0.0|100
0|2021-11-25|6470.0|0|6470.0|0|44.0|0|0.0|100
0|2021-11-26|6470.0|0|6470.0|0|44.0|0|0.0|100
0|2021-11-27|6470.0|0|6470.0|0|44.0|0|0.0|100
0|2021-11-28|6470.0|0|6470.0|0|44.0|0|0.0|100
0|2021-11-29|6543.0|0|6543.0|0|44.0|0|0.0|100
0|2021-11-30|6582.0|0|6582.0|0|44.0|0|0.0|100
0|2021-12-01|6610.0|0|6610.0|0|44.0|0|0.0|100
0|2021-12-02|6647.0|0|6647.0|0|44.0|0|0.0|100
0|2021-12-03|6647.0|0|6680.0|0|44.0|0|0.0|100
0|2021-12-04|6680.0|0|6680.0|0|44.0|0|0.0|100
0|2021-12-05|6680.0|0|6680.0|0|44.0|0|0.0|100
0|2021-12-06|6728.0|0|6728.0|0|44.0|0|0.0|100
0|2021-12-07|6753.0|0|6753.0|0|44.0|0|0.0|100
0|2021-12-08|6780.0|0|6780.0|0|44.0|0|0.0|100
0|2021-12-09|6795.0|0|6795.0|0|44.0|0|0.0|100
0|2021-12-10|6818.0|0|6818.0|0|44.0|0|0.0|100
0|2021-12-11|6818.0|0|6818.0|0|44.0|0|0.0|100
0|2021-12-12|6818.0|0|6818.0|0|44.0|0|0.0|100
0|2021-12-13|6843.0|0|6843.0|0|44.0|0|0.0|100
0|2021-12-14|6843.0|0|6852.0|0|44.0|0|0.0|100
0|2021-12-15|6863.0|0|6863.0|0|44.0|0|0.0|100
0|2021-12-16|6881.0|0|6881.0|0|44.0|0|0.0|100
0|2021-12-17|6895.0|0|6895.0|0|44.0|0|0.0|100
0|2021-12-18|6895.0|0|6895.0|0|44.0|0|0.0|100
