|dates|Malheur_Oregon_UnitedStates.JHU_ConfirmedCases.data|Malheur_Oregon_UnitedStates.JHU_ConfirmedCases.missing|Malheur_Oregon_UnitedStates.NYT_ConfirmedCases.data|Malheur_Oregon_UnitedStates.NYT_ConfirmedCases.missing|Malheur_Oregon_UnitedStates.JHU_ConfirmedDeaths.data|Malheur_Oregon_UnitedStates.JHU_ConfirmedDeaths.missing|Malheur_Oregon_UnitedStates.JHU_ConfirmedRecoveries.data|Malheur_Oregon_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5515.0|0|5515.0|0|74.0|0|0.0|100
0|2021-10-18|5527.0|0|5527.0|0|74.0|0|0.0|100
0|2021-10-19|5553.0|0|5553.0|0|76.0|0|0.0|100
0|2021-10-20|5595.0|0|5595.0|0|76.0|0|0.0|100
0|2021-10-21|5617.0|0|5617.0|0|76.0|0|0.0|100
0|2021-10-22|5636.0|0|5636.0|0|77.0|0|0.0|100
0|2021-10-23|5636.0|0|5636.0|0|77.0|0|0.0|100
0|2021-10-24|5636.0|0|5636.0|0|77.0|0|0.0|100
0|2021-10-25|5652.0|0|5652.0|0|78.0|0|0.0|100
0|2021-10-26|5685.0|0|5685.0|0|78.0|0|0.0|100
0|2021-10-27|5700.0|0|5700.0|0|79.0|0|0.0|100
0|2021-10-28|5724.0|0|5724.0|0|80.0|0|0.0|100
0|2021-10-29|5749.0|0|5749.0|0|80.0|0|0.0|100
0|2021-10-30|5749.0|0|5749.0|0|80.0|0|0.0|100
0|2021-10-31|5749.0|0|5749.0|0|80.0|0|0.0|100
0|2021-11-01|5757.0|0|5757.0|0|80.0|0|0.0|100
0|2021-11-02|5779.0|0|5779.0|0|80.0|0|0.0|100
0|2021-11-03|5797.0|0|5797.0|0|82.0|0|0.0|100
0|2021-11-04|5803.0|0|5803.0|0|82.0|0|0.0|100
0|2021-11-05|5814.0|0|5814.0|0|82.0|0|0.0|100
0|2021-11-06|5814.0|0|5814.0|0|82.0|0|0.0|100
0|2021-11-07|5814.0|0|5814.0|0|82.0|0|0.0|100
0|2021-11-08|5821.0|0|5821.0|0|82.0|0|0.0|100
0|2021-11-09|5830.0|0|5830.0|0|83.0|0|0.0|100
0|2021-11-10|5842.0|0|5842.0|0|83.0|0|0.0|100
0|2021-11-11|5842.0|0|5842.0|0|83.0|0|0.0|100
0|2021-11-12|5844.0|0|5844.0|0|84.0|0|0.0|100
0|2021-11-13|5844.0|0|5844.0|0|84.0|0|0.0|100
0|2021-11-14|5844.0|0|5844.0|0|84.0|0|0.0|100
0|2021-11-15|5863.0|0|5863.0|0|84.0|0|0.0|100
0|2021-11-16|5877.0|0|5877.0|0|84.0|0|0.0|100
0|2021-11-17|5883.0|0|5883.0|0|84.0|0|0.0|100
0|2021-11-18|5894.0|0|5894.0|0|84.0|0|0.0|100
0|2021-11-19|5900.0|0|5900.0|0|84.0|0|0.0|100
0|2021-11-20|5900.0|0|5900.0|0|84.0|0|0.0|100
0|2021-11-21|5900.0|0|5900.0|0|84.0|0|0.0|100
0|2021-11-22|5902.0|0|5902.0|0|86.0|0|0.0|100
0|2021-11-23|5908.0|0|5908.0|0|86.0|0|0.0|100
0|2021-11-24|5915.0|0|5915.0|0|86.0|0|0.0|100
0|2021-11-25|5915.0|0|5915.0|0|86.0|0|0.0|100
0|2021-11-26|5915.0|0|5915.0|0|86.0|0|0.0|100
0|2021-11-27|5915.0|0|5915.0|0|86.0|0|0.0|100
0|2021-11-28|5915.0|0|5915.0|0|86.0|0|0.0|100
0|2021-11-29|5920.0|0|5920.0|0|86.0|0|0.0|100
0|2021-11-30|5924.0|0|5924.0|0|87.0|0|0.0|100
0|2021-12-01|5927.0|0|5927.0|0|90.0|0|0.0|100
0|2021-12-02|5930.0|0|5930.0|0|92.0|0|0.0|100
0|2021-12-03|5932.0|0|5932.0|0|92.0|0|0.0|100
0|2021-12-04|5932.0|0|5932.0|0|92.0|0|0.0|100
0|2021-12-05|5932.0|0|5932.0|0|92.0|0|0.0|100
0|2021-12-06|5935.0|0|5935.0|0|92.0|0|0.0|100
0|2021-12-07|5940.0|0|5940.0|0|93.0|0|0.0|100
0|2021-12-08|5946.0|0|5946.0|0|93.0|0|0.0|100
0|2021-12-09|5950.0|0|5950.0|0|93.0|0|0.0|100
0|2021-12-10|5952.0|0|5952.0|0|93.0|0|0.0|100
0|2021-12-11|5952.0|0|5952.0|0|93.0|0|0.0|100
0|2021-12-12|5952.0|0|5952.0|0|93.0|0|0.0|100
0|2021-12-13|5954.0|0|5954.0|0|93.0|0|0.0|100
0|2021-12-14|5954.0|0|5958.0|0|93.0|0|0.0|100
0|2021-12-15|5961.0|0|5961.0|0|94.0|0|0.0|100
0|2021-12-16|5963.0|0|5963.0|0|94.0|0|0.0|100
0|2021-12-17|5965.0|0|5965.0|0|94.0|0|0.0|100
0|2021-12-18|5965.0|0|5965.0|0|94.0|0|0.0|100
0|2021-12-19|5965.0|0|5965.0|0|94.0|0|0.0|100
0|2021-12-20|5967.0|0|5967.0|0|94.0|0|0.0|100
0|2021-12-21|5970.0|0|5970.0|0|94.0|0|0.0|100
0|2021-12-22|5972.0|0|5972.0|0|94.0|0|0.0|100
0|2021-12-23|5979.0|0|5979.0|0|94.0|0|0.0|100
0|2021-12-24|5979.0|0|5979.0|0|94.0|0|0.0|100
0|2021-12-25|5979.0|0|5979.0|0|94.0|0|0.0|100
0|2021-12-26|5979.0|0|5979.0|0|94.0|0|0.0|100
0|2021-12-27|5988.0|0|5988.0|0|94.0|0|0.0|100
0|2021-12-28|5996.0|0|5996.0|0|94.0|0|0.0|100
0|2021-12-29|6016.0|0|6016.0|0|94.0|0|0.0|100
0|2021-12-30|6040.0|0|6040.0|0|94.0|0|0.0|100
0|2021-12-31|6040.0|0|6040.0|0|94.0|0|0.0|100
0|2022-01-01|6040.0|0|6040.0|0|94.0|0|0.0|100
0|2022-01-02|6040.0|0|6040.0|0|94.0|0|0.0|100
0|2022-01-03|6051.0|0|6051.0|0|94.0|0|0.0|100
