|dates|Medina_Texas_UnitedStates.AveragePrecipitationTotal.data|Medina_Texas_UnitedStates.AveragePrecipitationTotal.missing|Medina_Texas_UnitedStates.AveragePrecipitation.data|Medina_Texas_UnitedStates.AveragePrecipitation.missing|Medina_Texas_UnitedStates.AverageWindDirection.data|Medina_Texas_UnitedStates.AverageWindDirection.missing|Medina_Texas_UnitedStates.AverageWindSpeed.data|Medina_Texas_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|94.58333333333333|0|5.958333333333333|0
0|2021-10-18|0.0|0|0.0|0|97.5|0|8.375|0
0|2021-10-19|0.0|0|0.0|0|115.41666666666667|0|9.333333333333334|0
0|2021-10-20|0.0|0|0.0|0|85.03472222222221|0|5.652777777777779|0
0|2021-10-21|0.0|0|0.0|0|99.16666666666667|0|5.041666666666667|0
0|2021-10-22|0.0|0|0.0|0|65.83333333333333|0|4.958333333333333|0
0|2021-10-23|0.0|0|0.0|0|109.3888888888889|0|8.08611111111111|0
0|2021-10-24|0.0|0|0.0|0|139.96527777777777|0|7.059027777777778|0
0|2021-10-25|0.0|0|0.0|0|98.19444444444446|0|5.572916666666667|0
0|2021-10-26|0.0|0|0.0|0|135.48611111111111|0|12.190972222222223|0
0|2021-10-27|0.004583333333333333|0|0.0016944444444444446|0|273.2083333333333|0|14.387500000000001|0
0|2021-10-28|0.0|0|0.0|0|315.4166666666667|0|11.541666666666666|0
0|2021-10-29|0.0|0|0.0|0|308.3333333333333|0|11.208333333333334|0
0|2021-10-30|0.0|0|0.0|0|117.08333333333333|0|4.416666666666667|0
0|2021-10-31|0.0|0|0.0|0|95.41666666666667|0|8.625|0
0|2021-11-01|0.0|0|0.0|0|98.26388888888887|0|8.11111111111111|0
0|2021-11-02|0.0|0|0.0|0|101.875|0|9.118055555555555|0
0|2021-11-03|0.0|0|0.01835290404040404|0|77.47222222222223|0|11.103977272727272|0
0|2021-11-04|0.049999999999999996|0|0.019347222222222224|0|33.61111111111111|0|8.640277777777778|0
0|2021-11-05|0.0020833333333333333|0|0.0|0|81.45833333333333|0|3.875|0
0|2021-11-06|0.0|0|0.0|0|89.58333333333333|0|4.416666666666667|0
0|2021-11-07|0.0|0|0.0|0|100.0|0|6.166666666666667|0
0|2021-11-08|0.0|0|0.0|0|115.83333333333333|0|7.416666666666667|0
0|2021-11-09|0.0|0|0.0|0|110.20833333333333|0|6.166666666666667|0
0|2021-11-10|0.0|0|0.0|0|152.29166666666666|0|7.895833333333333|0
0|2021-11-11|0.0|0|0.0|0|72.32638888888889|0|9.315972222222223|0
0|2021-11-12|0.0|0|0.0|0|118.125|0|6.604166666666667|0
0|2021-11-13|0.0|0|0.0|0|140.41666666666666|0|5.666666666666667|0
0|2021-11-14|0.0|0|0.0|0|105.83333333333333|0|4.458333333333333|0
0|2021-11-15|0.0|0|0.0|0|91.14583333333333|0|4.711805555555555|0
0|2021-11-16|0.0|0|0.0|0|127.21230158730158|0|7.738095238095238|0
0|2021-11-17|0.0|0|0.0|0|100.35416666666667|0|6.841666666666666|0
0|2021-11-18|0.00020833333333333335|0|0.00020833333333333335|0|62.083333333333336|0|13.208333333333334|0
0|2021-11-19|0.0|0|0.0|0|66.66666666666667|0|5.541666666666667|0
0|2021-11-20|0.0|0|0.0|0|99.54861111111113|0|4.947916666666667|0
0|2021-11-21|0.0|0|0.0|0|79.65277777777777|0|8.305555555555555|0
0|2021-11-22|0.0|0|0.0|0|46.25|0|7.958333333333333|0
0|2021-11-23|0.0|0|0.0|0|183.75|0|7.208333333333333|0
0|2021-11-24|0.0|0|0.0|0|130.41666666666666|0|7.284722222222222|0
0|2021-11-25|0.0|0|0.008333333333333335|0|52.51851851851851|0|12.896296296296297|0
0|2021-11-26|0.011250000000000001|0|0.0|0|105.41666666666667|0|4.458333333333333|0
0|2021-11-27|0.028749999999999998|0|0.025902777777777778|0|139.82638888888889|0|3.0875000000000004|0
0|2021-11-28|0.0004166666666666667|0|0.0|0|136.63194444444446|0|6.416666666666667|0
0|2021-11-29|0.0|0|0.0|0|142.5|0|4.625|0
0|2021-11-30|0.0|0|0.0|0|158.75|0|5.875|0
0|2021-12-01|0.0|0|0.0|0|117.33333333333333|0|4.106944444444444|0
0|2021-12-02|0.0|0|0.0|0|141.5625|0|5.229166666666667|0
0|2021-12-03|0.0|0|0.0|0|93.40277777777779|0|4.640277777777778|0
0|2021-12-04|0.0|0|0.0|0|83.60416666666667|0|4.730555555555555|0
0|2021-12-05|0.0|0|0.00048611111111111115|0|136.68055555555551|0|5.5680555555555555|0
0|2021-12-06|0.0008333333333333334|0|0.0|0|86.59722222222223|0|10.35138888888889|0
0|2021-12-07|0.0|0|0.0|0|134.58333333333334|0|4.625|0
0|2021-12-08|0.0|0|0.0|0|151.38888888888889|0|4.930555555555555|0
0|2021-12-09|0.0|0|0.0|0|83.81944444444444|0|3.5277777777777772|0
0|2021-12-10|0.0|0|0.0|0|141.86805555555557|0|5.815277777777777|0
0|2021-12-11|0.0|0|0.0|0|146.25|0|14.458333333333334|0
0|2021-12-12|0.0|0|0.0|0|58.333333333333336|0|5.333333333333333|0
0|2021-12-13|0.0|0|0.0|0|117.5|0|3.7430555555555554|0
