|dates|Meigs_Ohio_UnitedStates.JHU_ConfirmedCases.data|Meigs_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Meigs_Ohio_UnitedStates.NYT_ConfirmedCases.data|Meigs_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Meigs_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Meigs_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Meigs_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Meigs_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2583.0|0|2583.0|0|55.0|0|0.0|100
0|2021-10-18|2592.0|0|2592.0|0|55.0|0|0.0|100
0|2021-10-19|2599.0|0|2599.0|0|55.0|0|0.0|100
0|2021-10-20|2617.0|0|2617.0|0|55.0|0|0.0|100
0|2021-10-21|2633.0|0|2633.0|0|55.0|0|0.0|100
0|2021-10-22|2646.0|0|2646.0|0|55.0|0|0.0|100
0|2021-10-23|2658.0|0|2658.0|0|55.0|0|0.0|100
0|2021-10-24|2668.0|0|2668.0|0|55.0|0|0.0|100
0|2021-10-25|2672.0|0|2672.0|0|55.0|0|0.0|100
0|2021-10-26|2685.0|0|2685.0|0|55.0|0|0.0|100
0|2021-10-27|2693.0|0|2693.0|0|55.0|0|0.0|100
0|2021-10-28|2708.0|0|2708.0|0|55.0|0|0.0|100
0|2021-10-29|2717.0|0|2717.0|0|55.0|0|0.0|100
0|2021-10-30|2725.0|0|2725.0|0|55.0|0|0.0|100
0|2021-10-31|2729.0|0|2729.0|0|55.0|0|0.0|100
0|2021-11-01|2734.0|0|2734.0|0|55.0|0|0.0|100
0|2021-11-02|2749.0|0|2749.0|0|55.0|0|0.0|100
0|2021-11-03|2766.0|0|2766.0|0|55.0|0|0.0|100
0|2021-11-04|2775.0|0|2775.0|0|55.0|0|0.0|100
0|2021-11-05|2788.0|0|2788.0|0|55.0|0|0.0|100
0|2021-11-06|2793.0|0|2793.0|0|55.0|0|0.0|100
0|2021-11-07|2809.0|0|2809.0|0|55.0|0|0.0|100
0|2021-11-08|2812.0|0|2812.0|0|55.0|0|0.0|100
0|2021-11-09|2825.0|0|2825.0|0|57.0|0|0.0|100
0|2021-11-10|2839.0|0|2839.0|0|57.0|0|0.0|100
0|2021-11-11|2857.0|0|2857.0|0|57.0|0|0.0|100
0|2021-11-12|2871.0|0|2871.0|0|57.0|0|0.0|100
0|2021-11-13|2886.0|0|2886.0|0|57.0|0|0.0|100
0|2021-11-14|2892.0|0|2892.0|0|57.0|0|0.0|100
0|2021-11-15|2899.0|0|2899.0|0|57.0|0|0.0|100
0|2021-11-16|2918.0|0|2918.0|0|57.0|0|0.0|100
0|2021-11-17|2928.0|0|2928.0|0|57.0|0|0.0|100
0|2021-11-18|2944.0|0|2944.0|0|57.0|0|0.0|100
0|2021-11-19|2961.0|0|2961.0|0|57.0|0|0.0|100
0|2021-11-20|2972.0|0|2972.0|0|57.0|0|0.0|100
0|2021-11-21|2978.0|0|2978.0|0|57.0|0|0.0|100
0|2021-11-22|2983.0|0|2983.0|0|57.0|0|0.0|100
0|2021-11-23|2990.0|0|2990.0|0|57.0|0|0.0|100
0|2021-11-24|3001.0|0|3001.0|0|57.0|0|0.0|100
