|dates|Mercer_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Mercer_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Mercer_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Mercer_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Mercer_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Mercer_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Mercer_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Mercer_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4370.0|0|4370.0|0|72.0|0|0.0|100
0|2021-10-18|4383.0|0|4383.0|0|72.0|0|0.0|100
0|2021-10-19|4413.0|0|4413.0|0|72.0|0|0.0|100
0|2021-10-20|4428.0|0|4428.0|0|73.0|0|0.0|100
0|2021-10-21|4440.0|0|4440.0|0|74.0|0|0.0|100
0|2021-10-22|4455.0|0|4455.0|0|74.0|0|0.0|100
0|2021-10-23|4455.0|0|4455.0|0|74.0|0|0.0|100
0|2021-10-24|4455.0|0|4455.0|0|74.0|0|0.0|100
0|2021-10-25|4475.0|0|4475.0|0|75.0|0|0.0|100
0|2021-10-26|4485.0|0|4485.0|0|75.0|0|0.0|100
0|2021-10-27|4493.0|0|4493.0|0|75.0|0|0.0|100
0|2021-10-28|4501.0|0|4501.0|0|75.0|0|0.0|100
0|2021-10-29|4507.0|0|4507.0|0|75.0|0|0.0|100
0|2021-10-30|4507.0|0|4507.0|0|75.0|0|0.0|100
0|2021-10-31|4507.0|0|4507.0|0|75.0|0|0.0|100
0|2021-11-01|4513.0|0|4513.0|0|75.0|0|0.0|100
0|2021-11-02|4523.0|0|4523.0|0|75.0|0|0.0|100
0|2021-11-03|4529.0|0|4529.0|0|75.0|0|0.0|100
0|2021-11-04|4530.0|0|4530.0|0|75.0|0|0.0|100
0|2021-11-05|4537.0|0|4537.0|0|75.0|0|0.0|100
0|2021-11-06|4537.0|0|4537.0|0|75.0|0|0.0|100
0|2021-11-07|4537.0|0|4537.0|0|75.0|0|0.0|100
0|2021-11-08|4547.0|0|4547.0|0|75.0|0|0.0|100
0|2021-11-09|4550.0|0|4550.0|0|75.0|0|0.0|100
0|2021-11-10|4550.0|0|4562.0|0|75.0|0|0.0|100
0|2021-11-11|4562.0|0|4562.0|0|75.0|0|0.0|100
0|2021-11-12|4573.0|0|4573.0|0|75.0|0|0.0|100
0|2021-11-13|4573.0|0|4573.0|0|75.0|0|0.0|100
0|2021-11-14|4573.0|0|4573.0|0|75.0|0|0.0|100
0|2021-11-15|4587.0|0|4587.0|0|76.0|0|0.0|100
0|2021-11-16|4605.0|0|4605.0|0|76.0|0|0.0|100
0|2021-11-17|4613.0|0|4613.0|0|76.0|0|0.0|100
0|2021-11-18|4625.0|0|4625.0|0|76.0|0|0.0|100
0|2021-11-19|4627.0|0|4627.0|0|77.0|0|0.0|100
0|2021-11-20|4627.0|0|4627.0|0|77.0|0|0.0|100
0|2021-11-21|4627.0|0|4627.0|0|77.0|0|0.0|100
0|2021-11-22|4651.0|0|4651.0|0|79.0|0|0.0|100
0|2021-11-23|4655.0|0|4655.0|0|80.0|0|0.0|100
0|2021-11-24|4658.0|0|4658.0|0|80.0|0|0.0|100
0|2021-11-25|4658.0|0|4658.0|0|80.0|0|0.0|100
0|2021-11-26|4658.0|0|4658.0|0|80.0|0|0.0|100
0|2021-11-27|4658.0|0|4658.0|0|80.0|0|0.0|100
0|2021-11-28|4658.0|0|4658.0|0|80.0|0|0.0|100
0|2021-11-29|4674.0|0|4674.0|0|84.0|0|0.0|100
0|2021-11-30|4687.0|0|4687.0|0|84.0|0|0.0|100
0|2021-12-01|4700.0|0|4700.0|0|84.0|0|0.0|100
0|2021-12-02|4700.0|0|4710.0|0|84.0|0|0.0|100
0|2021-12-03|4721.0|0|4721.0|0|85.0|0|0.0|100
0|2021-12-04|4721.0|0|4721.0|0|85.0|0|0.0|100
0|2021-12-05|4721.0|0|4721.0|0|85.0|0|0.0|100
0|2021-12-06|4732.0|0|4732.0|0|87.0|0|0.0|100
0|2021-12-07|4751.0|0|4751.0|0|87.0|0|0.0|100
0|2021-12-08|4770.0|0|4770.0|0|87.0|0|0.0|100
0|2021-12-09|4774.0|0|4774.0|0|88.0|0|0.0|100
0|2021-12-10|4786.0|0|4786.0|0|90.0|0|0.0|100
0|2021-12-11|4786.0|0|4786.0|0|90.0|0|0.0|100
0|2021-12-12|4786.0|0|4786.0|0|90.0|0|0.0|100
0|2021-12-13|4794.0|0|4794.0|0|91.0|0|0.0|100
0|2021-12-14|4794.0|0|4814.0|0|91.0|0|0.0|100
0|2021-12-15|4817.0|0|4817.0|0|92.0|0|0.0|100
0|2021-12-16|4830.0|0|4830.0|0|93.0|0|0.0|100
0|2021-12-17|4839.0|0|4839.0|0|93.0|0|0.0|100
0|2021-12-18|4839.0|0|4839.0|0|93.0|0|0.0|100
0|2021-12-19|4839.0|0|4839.0|0|93.0|0|0.0|100
0|2021-12-20|4863.0|0|4863.0|0|93.0|0|0.0|100
0|2021-12-21|4868.0|0|4868.0|0|93.0|0|0.0|100
0|2021-12-22|4876.0|0|4876.0|0|93.0|0|0.0|100
0|2021-12-23|4876.0|0|4876.0|0|93.0|0|0.0|100
0|2021-12-24|4876.0|0|4876.0|0|93.0|0|0.0|100
0|2021-12-25|4876.0|0|4876.0|0|93.0|0|0.0|100
0|2021-12-26|4876.0|0|4876.0|0|93.0|0|0.0|100
0|2021-12-27|4903.0|0|4903.0|0|94.0|0|0.0|100
0|2021-12-28|4918.0|0|4918.0|0|94.0|0|0.0|100
0|2021-12-29|4933.0|0|4933.0|0|94.0|0|0.0|100
0|2021-12-30|4933.0|0|4933.0|0|94.0|0|0.0|100
0|2021-12-31|4933.0|0|4933.0|0|94.0|0|0.0|100
0|2022-01-01|4933.0|0|4933.0|0|94.0|0|0.0|100
0|2022-01-02|4933.0|0|4933.0|0|94.0|0|0.0|100
0|2022-01-03|5033.0|0|5033.0|0|94.0|0|0.0|100
0|2022-01-04|5048.0|0|5048.0|0|94.0|0|0.0|100
0|2022-01-05|5085.0|0|5085.0|0|94.0|0|0.0|100
0|2022-01-06|5129.0|0|5129.0|0|94.0|0|0.0|100
0|2022-01-07|5155.0|0|5155.0|0|94.0|0|0.0|100
0|2022-01-08|5155.0|0|5155.0|0|94.0|0|0.0|100
0|2022-01-09|5155.0|0|5155.0|0|94.0|0|0.0|100
0|2022-01-10|5230.0|0|5230.0|0|94.0|0|0.0|100
0|2022-01-11|5260.0|0|5260.0|0|94.0|0|0.0|100
0|2022-01-12|5328.0|0|5328.0|0|94.0|0|0.0|100
0|2022-01-13|5328.0|0|5367.0|0|94.0|0|0.0|100
0|2022-01-14|5435.0|0|5435.0|0|95.0|0|0.0|100
0|2022-01-15|5435.0|0|5435.0|0|95.0|0|0.0|100
0|2022-01-16|5435.0|0|5435.0|0|95.0|0|0.0|100
0|2022-01-17|5435.0|0|0.0|100|95.0|0|0.0|100
