|dates|Mercer_Ohio_UnitedStates.JHU_ConfirmedCases.data|Mercer_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Mercer_Ohio_UnitedStates.NYT_ConfirmedCases.data|Mercer_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Mercer_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Mercer_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Mercer_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Mercer_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6075.0|0|6075.0|0|95.0|0|0.0|100
0|2021-10-18|6082.0|0|6082.0|0|95.0|0|0.0|100
0|2021-10-19|6105.0|0|6105.0|0|95.0|0|0.0|100
0|2021-10-20|6119.0|0|6119.0|0|95.0|0|0.0|100
0|2021-10-21|6128.0|0|6128.0|0|95.0|0|0.0|100
0|2021-10-22|6145.0|0|6145.0|0|95.0|0|0.0|100
0|2021-10-23|6164.0|0|6164.0|0|95.0|0|0.0|100
0|2021-10-24|6173.0|0|6173.0|0|95.0|0|0.0|100
0|2021-10-25|6178.0|0|6178.0|0|95.0|0|0.0|100
0|2021-10-26|6194.0|0|6194.0|0|95.0|0|0.0|100
0|2021-10-27|6215.0|0|6215.0|0|95.0|0|0.0|100
0|2021-10-28|6229.0|0|6229.0|0|95.0|0|0.0|100
0|2021-10-29|6241.0|0|6241.0|0|95.0|0|0.0|100
0|2021-10-30|6253.0|0|6253.0|0|95.0|0|0.0|100
0|2021-10-31|6256.0|0|6256.0|0|95.0|0|0.0|100
0|2021-11-01|6263.0|0|6263.0|0|95.0|0|0.0|100
0|2021-11-02|6284.0|0|6284.0|0|95.0|0|0.0|100
0|2021-11-03|6301.0|0|6301.0|0|95.0|0|0.0|100
0|2021-11-04|6323.0|0|6323.0|0|95.0|0|0.0|100
0|2021-11-05|6341.0|0|6341.0|0|95.0|0|0.0|100
0|2021-11-06|6359.0|0|6359.0|0|95.0|0|0.0|100
0|2021-11-07|6371.0|0|6371.0|0|95.0|0|0.0|100
0|2021-11-08|6382.0|0|6382.0|0|95.0|0|0.0|100
0|2021-11-09|6409.0|0|6409.0|0|95.0|0|0.0|100
