|dates|Miami_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Miami_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Miami_Indiana_UnitedStates.Male_Total_Population.data|Miami_Indiana_UnitedStates.Male_Total_Population.missing|Miami_Indiana_UnitedStates.Female_Total_Population.data|Miami_Indiana_UnitedStates.Female_Total_Population.missing|Miami_Indiana_UnitedStates.MaleAndFemale_Under18_Population.data|Miami_Indiana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-10-18|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-10-19|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-10-20|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-10-21|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-10-22|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-10-23|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-10-24|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-10-25|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-10-26|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-10-27|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-10-28|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-10-29|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-10-30|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-10-31|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-01|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-02|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-03|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-04|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-05|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-06|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-07|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-08|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-09|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-10|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-11|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-12|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-13|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-14|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-15|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-16|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-17|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-18|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-19|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-20|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-21|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-22|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-23|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-24|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-25|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-26|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-27|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-28|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-29|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-11-30|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-01|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-02|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-03|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-04|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-05|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-06|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-07|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-08|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-09|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-10|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-11|6289.0|0|19133.0|0|16434.0|0|7490.0|0
0|2021-12-12|6289.0|0|19133.0|0|16434.0|0|7490.0|0
