|dates|Miller_Georgia_UnitedStates.JHU_ConfirmedCases.data|Miller_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Miller_Georgia_UnitedStates.NYT_ConfirmedCases.data|Miller_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Miller_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Miller_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Miller_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Miller_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1197.0|0|1209.0|0|20.0|0|0.0|100
0|2021-10-18|1199.0|0|1212.0|0|21.0|0|0.0|100
0|2021-10-19|1199.0|0|1212.0|0|21.0|0|0.0|100
0|2021-10-20|1199.0|0|1212.0|0|21.0|0|0.0|100
0|2021-10-21|1199.0|0|1212.0|0|22.0|0|0.0|100
0|2021-10-22|1201.0|0|1214.0|0|22.0|0|0.0|100
0|2021-10-23|1201.0|0|1214.0|0|22.0|0|0.0|100
0|2021-10-24|1201.0|0|1214.0|0|22.0|0|0.0|100
0|2021-10-25|1204.0|0|1217.0|0|22.0|0|0.0|100
0|2021-10-26|1207.0|0|1220.0|0|22.0|0|0.0|100
0|2021-10-27|1207.0|0|1220.0|0|22.0|0|0.0|100
0|2021-10-28|1207.0|0|1220.0|0|22.0|0|0.0|100
0|2021-10-29|1208.0|0|1221.0|0|22.0|0|0.0|100
0|2021-10-30|1208.0|0|1221.0|0|22.0|0|0.0|100
0|2021-10-31|1208.0|0|1221.0|0|22.0|0|0.0|100
0|2021-11-01|1209.0|0|1222.0|0|22.0|0|0.0|100
0|2021-11-02|1218.0|0|1231.0|0|22.0|0|0.0|100
0|2021-11-03|1218.0|0|1231.0|0|22.0|0|0.0|100
0|2021-11-04|1220.0|0|1233.0|0|22.0|0|0.0|100
0|2021-11-05|1222.0|0|1235.0|0|22.0|0|0.0|100
0|2021-11-06|1222.0|0|1235.0|0|22.0|0|0.0|100
0|2021-11-07|1222.0|0|1235.0|0|22.0|0|0.0|100
0|2021-11-08|1222.0|0|1236.0|0|22.0|0|0.0|100
0|2021-11-09|1229.0|0|1243.0|0|22.0|0|0.0|100
0|2021-11-10|1229.0|0|1245.0|0|22.0|0|0.0|100
0|2021-11-11|1231.0|0|1245.0|0|22.0|0|0.0|100
0|2021-11-12|1232.0|0|1246.0|0|22.0|0|0.0|100
0|2021-11-13|1232.0|0|1246.0|0|22.0|0|0.0|100
0|2021-11-14|1232.0|0|1246.0|0|22.0|0|0.0|100
0|2021-11-15|1233.0|0|1247.0|0|22.0|0|0.0|100
0|2021-11-16|1234.0|0|1248.0|0|22.0|0|0.0|100
0|2021-11-17|1234.0|0|1248.0|0|22.0|0|0.0|100
0|2021-11-18|1234.0|0|1248.0|0|23.0|0|0.0|100
0|2021-11-19|1235.0|0|1249.0|0|23.0|0|0.0|100
0|2021-11-20|1235.0|0|1249.0|0|23.0|0|0.0|100
0|2021-11-21|1235.0|0|1249.0|0|23.0|0|0.0|100
0|2021-11-22|1235.0|0|1250.0|0|23.0|0|0.0|100
0|2021-11-23|1235.0|0|1250.0|0|23.0|0|0.0|100
0|2021-11-24|1237.0|0|1252.0|0|23.0|0|0.0|100
0|2021-11-25|1237.0|0|1252.0|0|23.0|0|0.0|100
0|2021-11-26|1237.0|0|1252.0|0|23.0|0|0.0|100
0|2021-11-27|1237.0|0|1252.0|0|23.0|0|0.0|100
