|dates|Mineral_Colorado_UnitedStates.JHU_ConfirmedCases.data|Mineral_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Mineral_Colorado_UnitedStates.NYT_ConfirmedCases.data|Mineral_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Mineral_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Mineral_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Mineral_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Mineral_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|124.0|0|124.0|0|1.0|0|0.0|100
0|2021-10-18|124.0|0|124.0|0|1.0|0|0.0|100
0|2021-10-19|124.0|0|124.0|0|1.0|0|0.0|100
0|2021-10-20|126.0|0|126.0|0|1.0|0|0.0|100
0|2021-10-21|128.0|0|128.0|0|1.0|0|0.0|100
0|2021-10-22|128.0|0|128.0|0|1.0|0|0.0|100
0|2021-10-23|128.0|0|128.0|0|1.0|0|0.0|100
0|2021-10-24|128.0|0|128.0|0|1.0|0|0.0|100
0|2021-10-25|129.0|0|129.0|0|1.0|0|0.0|100
0|2021-10-26|129.0|0|129.0|0|1.0|0|0.0|100
0|2021-10-27|129.0|0|129.0|0|1.0|0|0.0|100
0|2021-10-28|129.0|0|129.0|0|1.0|0|0.0|100
0|2021-10-29|129.0|0|129.0|0|1.0|0|0.0|100
0|2021-10-30|129.0|0|129.0|0|1.0|0|0.0|100
0|2021-10-31|129.0|0|129.0|0|1.0|0|0.0|100
0|2021-11-01|129.0|0|129.0|0|1.0|0|0.0|100
0|2021-11-02|130.0|0|130.0|0|1.0|0|0.0|100
0|2021-11-03|131.0|0|131.0|0|1.0|0|0.0|100
0|2021-11-04|133.0|0|133.0|0|1.0|0|0.0|100
0|2021-11-05|133.0|0|133.0|0|1.0|0|0.0|100
0|2021-11-06|133.0|0|133.0|0|1.0|0|0.0|100
0|2021-11-07|133.0|0|133.0|0|1.0|0|0.0|100
0|2021-11-08|134.0|0|134.0|0|1.0|0|0.0|100
0|2021-11-09|137.0|0|137.0|0|1.0|0|0.0|100
0|2021-11-10|137.0|0|138.0|0|1.0|0|0.0|100
