|dates|Mono_California_UnitedStates.JHU_ConfirmedCases.data|Mono_California_UnitedStates.JHU_ConfirmedCases.missing|Mono_California_UnitedStates.NYT_ConfirmedCases.data|Mono_California_UnitedStates.NYT_ConfirmedCases.missing|Mono_California_UnitedStates.JHU_ConfirmedDeaths.data|Mono_California_UnitedStates.JHU_ConfirmedDeaths.missing|Mono_California_UnitedStates.JHU_ConfirmedRecoveries.data|Mono_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1656.0|0|1644.0|0|3.0|0|0.0|100
0|2021-10-18|1665.0|0|1656.0|0|3.0|0|0.0|100
0|2021-10-19|1669.0|0|1664.0|0|3.0|0|0.0|100
0|2021-10-20|1671.0|0|1667.0|0|3.0|0|0.0|100
0|2021-10-21|1673.0|0|1670.0|0|3.0|0|0.0|100
0|2021-10-22|1674.0|0|1672.0|0|3.0|0|0.0|100
0|2021-10-23|1674.0|0|1672.0|0|3.0|0|0.0|100
0|2021-10-24|1674.0|0|1672.0|0|3.0|0|0.0|100
0|2021-10-25|1696.0|0|1672.0|0|3.0|0|0.0|100
0|2021-10-26|1699.0|0|1694.0|0|3.0|0|0.0|100
0|2021-10-27|1701.0|0|1697.0|0|3.0|0|0.0|100
0|2021-10-28|1703.0|0|1701.0|0|3.0|0|0.0|100
0|2021-10-29|1703.0|0|1703.0|0|3.0|0|0.0|100
0|2021-10-30|1703.0|0|1703.0|0|3.0|0|0.0|100
0|2021-10-31|1730.0|0|1703.0|0|3.0|0|0.0|100
0|2021-11-01|1733.0|0|1730.0|0|3.0|0|0.0|100
0|2021-11-02|1737.0|0|1733.0|0|3.0|0|0.0|100
0|2021-11-03|1738.0|0|1737.0|0|4.0|0|0.0|100
0|2021-11-04|1744.0|0|1738.0|0|4.0|0|0.0|100
0|2021-11-05|1744.0|0|1744.0|0|4.0|0|0.0|100
0|2021-11-06|1744.0|0|1744.0|0|4.0|0|0.0|100
0|2021-11-07|1744.0|0|1744.0|0|4.0|0|0.0|100
0|2021-11-08|1758.0|0|1758.0|0|4.0|0|0.0|100
0|2021-11-09|1758.0|0|1758.0|0|4.0|0|0.0|100
0|2021-11-10|1757.0|0|1758.0|0|4.0|0|0.0|100
0|2021-11-11|1762.0|0|1762.0|0|4.0|0|0.0|100
0|2021-11-12|1762.0|0|1762.0|0|4.0|0|0.0|100
0|2021-11-13|1769.0|0|1769.0|0|4.0|0|0.0|100
0|2021-11-14|1769.0|0|1769.0|0|4.0|0|0.0|100
0|2021-11-15|1779.0|0|1779.0|0|4.0|0|0.0|100
0|2021-11-16|1782.0|0|1782.0|0|4.0|0|0.0|100
0|2021-11-17|1786.0|0|1786.0|0|4.0|0|0.0|100
0|2021-11-18|1784.0|0|1784.0|0|5.0|0|0.0|100
0|2021-11-19|1786.0|0|1786.0|0|4.0|0|0.0|100
0|2021-11-20|1786.0|0|1786.0|0|4.0|0|0.0|100
0|2021-11-21|1786.0|0|1786.0|0|4.0|0|0.0|100
0|2021-11-22|1818.0|0|1818.0|0|4.0|0|0.0|100
0|2021-11-23|1828.0|0|1828.0|0|4.0|0|0.0|100
0|2021-11-24|1829.0|0|1829.0|0|4.0|0|0.0|100
0|2021-11-25|1829.0|0|1829.0|0|4.0|0|0.0|100
0|2021-11-26|1829.0|0|1829.0|0|4.0|0|0.0|100
0|2021-11-27|1829.0|0|1829.0|0|4.0|0|0.0|100
0|2021-11-28|1829.0|0|1829.0|0|4.0|0|0.0|100
0|2021-11-29|1860.0|0|1860.0|0|4.0|0|0.0|100
0|2021-11-30|1878.0|0|1878.0|0|4.0|0|0.0|100
