|dates|Monroe_Wisconsin_UnitedStates.AveragePrecipitationTotal.data|Monroe_Wisconsin_UnitedStates.AveragePrecipitationTotal.missing|Monroe_Wisconsin_UnitedStates.AveragePrecipitation.data|Monroe_Wisconsin_UnitedStates.AveragePrecipitation.missing|Monroe_Wisconsin_UnitedStates.AverageWindDirection.data|Monroe_Wisconsin_UnitedStates.AverageWindDirection.missing|Monroe_Wisconsin_UnitedStates.AverageWindSpeed.data|Monroe_Wisconsin_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-18|0.0|0|0.0|0|23.333333333333332|0|0.9166666666666666|0
0|2021-10-19|0.0|0|0.0004166666666666667|0|16.666666666666668|0|0.75|0
0|2021-10-20|0.0004166666666666667|0|0.0004166666666666667|0|44.583333333333336|0|3.0260416666666665|0
0|2021-10-21|0.0004166666666666667|0|0.00125|0|197.91666666666666|0|5.515625|0
0|2021-10-22|0.00125|0|0.0|0|11.25|0|0.20833333333333334|0
0|2021-10-23|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-24|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-25|0.0|0|0.0|0|0.8333333333333334|0|0.125|0
0|2021-10-26|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-27|0.0|0|0.0|0|5.416666666666667|0|0.25|0
0|2021-10-28|0.0|0|0.007552083333333334|0|0.0|0|0.0|0
0|2021-10-29|0.01|0|0.0024479166666666664|0|0.0|0|0.0|0
0|2021-10-30|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-31|0.0|0|0.0|0|76.25|0|1.25|0
0|2021-11-01|0.0|0|0.0|0|23.75|0|0.7083333333333334|0
0|2021-11-02|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-11-03|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-11-04|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-11-05|0.0|0|0.0|0|74.01041666666667|0|3.84375|0
0|2021-11-06|0.0|0|0.0|0|7.65625|0|0.3645833333333333|0
0|2021-11-07|0.0|0|0.0|0|51.666666666666664|0|1.4583333333333333|0
0|2021-11-08|0.0|0|0.0|0|83.33333333333333|0|3.0833333333333335|0
0|2021-11-09|0.0|0|0.0|0|0.0|0|0.0|0
