|dates|Montgomery_Indiana_UnitedStates.JHU_ConfirmedCases.data|Montgomery_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Montgomery_Indiana_UnitedStates.NYT_ConfirmedCases.data|Montgomery_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Montgomery_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Montgomery_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Montgomery_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Montgomery_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6184.0|0|6188.0|0|109.0|0|0.0|100
0|2021-10-18|6208.0|0|6212.0|0|109.0|0|0.0|100
0|2021-10-19|6214.0|0|6218.0|0|109.0|0|0.0|100
0|2021-10-20|6229.0|0|6233.0|0|109.0|0|0.0|100
0|2021-10-21|6252.0|0|6256.0|0|110.0|0|0.0|100
0|2021-10-22|6264.0|0|6268.0|0|111.0|0|0.0|100
0|2021-10-23|6264.0|0|6268.0|0|111.0|0|0.0|100
0|2021-10-24|6264.0|0|6268.0|0|111.0|0|0.0|100
0|2021-10-25|6293.0|0|6297.0|0|112.0|0|0.0|100
0|2021-10-26|6304.0|0|6308.0|0|112.0|0|0.0|100
0|2021-10-27|6320.0|0|6324.0|0|113.0|0|0.0|100
0|2021-10-28|6338.0|0|6342.0|0|113.0|0|0.0|100
0|2021-10-29|6353.0|0|6357.0|0|113.0|0|0.0|100
0|2021-10-30|6353.0|0|6357.0|0|113.0|0|0.0|100
0|2021-10-31|6353.0|0|6357.0|0|113.0|0|0.0|100
0|2021-11-01|6377.0|0|6381.0|0|113.0|0|0.0|100
0|2021-11-02|6384.0|0|6388.0|0|114.0|0|0.0|100
0|2021-11-03|6400.0|0|6404.0|0|114.0|0|0.0|100
0|2021-11-04|6414.0|0|6418.0|0|114.0|0|0.0|100
0|2021-11-05|6428.0|0|6432.0|0|114.0|0|0.0|100
0|2021-11-06|6428.0|0|6432.0|0|114.0|0|0.0|100
0|2021-11-07|6428.0|0|6432.0|0|114.0|0|0.0|100
0|2021-11-08|6469.0|0|6473.0|0|114.0|0|0.0|100
0|2021-11-09|6480.0|0|6484.0|0|115.0|0|0.0|100
0|2021-11-10|6480.0|0|6515.0|0|115.0|0|0.0|100
0|2021-11-11|6572.0|0|6576.0|0|115.0|0|0.0|100
0|2021-11-12|6588.0|0|6592.0|0|117.0|0|0.0|100
0|2021-11-13|6588.0|0|6592.0|0|117.0|0|0.0|100
0|2021-11-14|6588.0|0|6592.0|0|117.0|0|0.0|100
0|2021-11-15|6629.0|0|6633.0|0|118.0|0|0.0|100
0|2021-11-16|6637.0|0|6641.0|0|118.0|0|0.0|100
0|2021-11-17|6668.0|0|6672.0|0|119.0|0|0.0|100
0|2021-11-18|6693.0|0|6697.0|0|122.0|0|0.0|100
0|2021-11-19|6717.0|0|6721.0|0|122.0|0|0.0|100
0|2021-11-20|6717.0|0|6721.0|0|122.0|0|0.0|100
0|2021-11-21|6717.0|0|6721.0|0|122.0|0|0.0|100
0|2021-11-22|6781.0|0|6785.0|0|122.0|0|0.0|100
0|2021-11-23|6799.0|0|6803.0|0|122.0|0|0.0|100
0|2021-11-24|6830.0|0|6834.0|0|122.0|0|0.0|100
0|2021-11-25|6830.0|0|6834.0|0|122.0|0|0.0|100
0|2021-11-26|6830.0|0|6834.0|0|122.0|0|0.0|100
0|2021-11-27|6830.0|0|6834.0|0|122.0|0|0.0|100
0|2021-11-28|6830.0|0|6834.0|0|122.0|0|0.0|100
0|2021-11-29|6910.0|0|6914.0|0|123.0|0|0.0|100
0|2021-11-30|6930.0|0|6934.0|0|123.0|0|0.0|100
0|2021-12-01|6986.0|0|6990.0|0|123.0|0|0.0|100
0|2021-12-02|6986.0|0|7056.0|0|123.0|0|0.0|100
0|2021-12-03|7101.0|0|7105.0|0|123.0|0|0.0|100
0|2021-12-04|7101.0|0|7105.0|0|123.0|0|0.0|100
0|2021-12-05|7101.0|0|7105.0|0|123.0|0|0.0|100
0|2021-12-06|7213.0|0|7217.0|0|123.0|0|0.0|100
0|2021-12-07|7239.0|0|7243.0|0|123.0|0|0.0|100
0|2021-12-08|7306.0|0|7310.0|0|123.0|0|0.0|100
0|2021-12-09|7352.0|0|7356.0|0|123.0|0|0.0|100
0|2021-12-10|7397.0|0|7401.0|0|123.0|0|0.0|100
0|2021-12-11|7397.0|0|7401.0|0|123.0|0|0.0|100
0|2021-12-12|7397.0|0|7401.0|0|123.0|0|0.0|100
0|2021-12-13|7472.0|0|7476.0|0|123.0|0|0.0|100
0|2021-12-14|7472.0|0|7496.0|0|123.0|0|0.0|100
0|2021-12-15|7542.0|0|7546.0|0|124.0|0|0.0|100
0|2021-12-16|7585.0|0|7589.0|0|124.0|0|0.0|100
0|2021-12-17|7645.0|0|7649.0|0|125.0|0|0.0|100
0|2021-12-18|7645.0|0|7649.0|0|125.0|0|0.0|100
0|2021-12-19|7645.0|0|7649.0|0|125.0|0|0.0|100
0|2021-12-20|7721.0|0|7725.0|0|126.0|0|0.0|100
0|2021-12-21|7727.0|0|7731.0|0|126.0|0|0.0|100
0|2021-12-22|7764.0|0|7768.0|0|127.0|0|0.0|100
0|2021-12-23|7764.0|0|7768.0|0|127.0|0|0.0|100
0|2021-12-24|7764.0|0|7768.0|0|127.0|0|0.0|100
0|2021-12-25|7764.0|0|7768.0|0|127.0|0|0.0|100
0|2021-12-26|7764.0|0|7768.0|0|127.0|0|0.0|100
0|2021-12-27|7862.0|0|7866.0|0|127.0|0|0.0|100
0|2021-12-28|7876.0|0|7880.0|0|128.0|0|0.0|100
0|2021-12-29|7904.0|0|7908.0|0|131.0|0|0.0|100
0|2021-12-30|7936.0|0|7940.0|0|132.0|0|0.0|100
0|2021-12-31|7936.0|0|7940.0|0|132.0|0|0.0|100
0|2022-01-01|7936.0|0|7940.0|0|132.0|0|0.0|100
0|2022-01-02|7936.0|0|7940.0|0|132.0|0|0.0|100
0|2022-01-03|8073.0|0|8077.0|0|132.0|0|0.0|100
0|2022-01-04|8107.0|0|8111.0|0|132.0|0|0.0|100
0|2022-01-05|8136.0|0|8140.0|0|132.0|0|0.0|100
0|2022-01-06|8173.0|0|8177.0|0|134.0|0|0.0|100
0|2022-01-07|8246.0|0|8250.0|0|138.0|0|0.0|100
0|2022-01-08|8246.0|0|8250.0|0|138.0|0|0.0|100
0|2022-01-09|8246.0|0|8250.0|0|138.0|0|0.0|100
0|2022-01-10|8429.0|0|8433.0|0|139.0|0|0.0|100
0|2022-01-11|8479.0|0|8483.0|0|139.0|0|0.0|100
0|2022-01-12|8551.0|0|8555.0|0|139.0|0|0.0|100
0|2022-01-13|8551.0|0|8645.0|0|139.0|0|0.0|100
0|2022-01-14|8743.0|0|8747.0|0|140.0|0|0.0|100
0|2022-01-15|8743.0|0|8747.0|0|140.0|0|0.0|100
0|2022-01-16|8743.0|0|8747.0|0|140.0|0|0.0|100
0|2022-01-17|9005.0|0|0.0|100|140.0|0|0.0|100
