|dates|Nicholas_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Nicholas_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Nicholas_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Nicholas_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Nicholas_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Nicholas_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Nicholas_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Nicholas_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1132.0|0|1132.0|0|17.0|0|0.0|100
0|2021-10-18|1140.0|0|1140.0|0|17.0|0|0.0|100
0|2021-10-19|1149.0|0|1149.0|0|17.0|0|0.0|100
0|2021-10-20|1167.0|0|1167.0|0|17.0|0|0.0|100
0|2021-10-21|1172.0|0|1172.0|0|17.0|0|0.0|100
0|2021-10-22|1183.0|0|1183.0|0|17.0|0|0.0|100
0|2021-10-23|1183.0|0|1183.0|0|17.0|0|0.0|100
0|2021-10-24|1183.0|0|1183.0|0|17.0|0|0.0|100
0|2021-10-25|1184.0|0|1184.0|0|17.0|0|0.0|100
0|2021-10-26|1184.0|0|1184.0|0|17.0|0|0.0|100
0|2021-10-27|1185.0|0|1185.0|0|17.0|0|0.0|100
0|2021-10-28|1189.0|0|1189.0|0|17.0|0|0.0|100
0|2021-10-29|1192.0|0|1192.0|0|17.0|0|0.0|100
0|2021-10-30|1192.0|0|1192.0|0|17.0|0|0.0|100
0|2021-10-31|1192.0|0|1192.0|0|17.0|0|0.0|100
0|2021-11-01|1194.0|0|1194.0|0|18.0|0|0.0|100
0|2021-11-02|1195.0|0|1195.0|0|18.0|0|0.0|100
0|2021-11-03|1196.0|0|1196.0|0|18.0|0|0.0|100
0|2021-11-04|1202.0|0|1202.0|0|18.0|0|0.0|100
0|2021-11-05|1205.0|0|1205.0|0|19.0|0|0.0|100
0|2021-11-06|1205.0|0|1205.0|0|19.0|0|0.0|100
0|2021-11-07|1205.0|0|1205.0|0|19.0|0|0.0|100
0|2021-11-08|1209.0|0|1209.0|0|19.0|0|0.0|100
0|2021-11-09|1214.0|0|1214.0|0|19.0|0|0.0|100
0|2021-11-10|1214.0|0|1216.0|0|19.0|0|0.0|100
0|2021-11-11|1216.0|0|1216.0|0|19.0|0|0.0|100
0|2021-11-12|1219.0|0|1219.0|0|19.0|0|0.0|100
0|2021-11-13|1219.0|0|1219.0|0|19.0|0|0.0|100
0|2021-11-14|1219.0|0|1219.0|0|19.0|0|0.0|100
0|2021-11-15|1219.0|0|1219.0|0|19.0|0|0.0|100
0|2021-11-16|1223.0|0|1223.0|0|19.0|0|0.0|100
0|2021-11-17|1227.0|0|1227.0|0|20.0|0|0.0|100
0|2021-11-18|1233.0|0|1233.0|0|21.0|0|0.0|100
0|2021-11-19|1239.0|0|1239.0|0|22.0|0|0.0|100
0|2021-11-20|1239.0|0|1239.0|0|22.0|0|0.0|100
0|2021-11-21|1239.0|0|1239.0|0|22.0|0|0.0|100
0|2021-11-22|1242.0|0|1242.0|0|22.0|0|0.0|100
0|2021-11-23|1246.0|0|1246.0|0|22.0|0|0.0|100
0|2021-11-24|1253.0|0|1253.0|0|23.0|0|0.0|100
0|2021-11-25|1253.0|0|1253.0|0|23.0|0|0.0|100
0|2021-11-26|1253.0|0|1253.0|0|23.0|0|0.0|100
0|2021-11-27|1253.0|0|1253.0|0|23.0|0|0.0|100
0|2021-11-28|1253.0|0|1253.0|0|23.0|0|0.0|100
0|2021-11-29|1265.0|0|1265.0|0|24.0|0|0.0|100
0|2021-11-30|1266.0|0|1266.0|0|24.0|0|0.0|100
0|2021-12-01|1268.0|0|1268.0|0|24.0|0|0.0|100
0|2021-12-02|1268.0|0|1272.0|0|24.0|0|0.0|100
0|2021-12-03|1275.0|0|1275.0|0|24.0|0|0.0|100
0|2021-12-04|1275.0|0|1275.0|0|24.0|0|0.0|100
0|2021-12-05|1275.0|0|1275.0|0|24.0|0|0.0|100
0|2021-12-06|1282.0|0|1282.0|0|26.0|0|0.0|100
0|2021-12-07|1284.0|0|1284.0|0|26.0|0|0.0|100
0|2021-12-08|1285.0|0|1285.0|0|26.0|0|0.0|100
0|2021-12-09|1290.0|0|1290.0|0|26.0|0|0.0|100
0|2021-12-10|1294.0|0|1294.0|0|27.0|0|0.0|100
0|2021-12-11|1294.0|0|1294.0|0|27.0|0|0.0|100
0|2021-12-12|1294.0|0|1294.0|0|27.0|0|0.0|100
0|2021-12-13|1298.0|0|1298.0|0|27.0|0|0.0|100
0|2021-12-14|1298.0|0|1304.0|0|27.0|0|0.0|100
0|2021-12-15|1307.0|0|1307.0|0|27.0|0|0.0|100
0|2021-12-16|1312.0|0|1312.0|0|27.0|0|0.0|100
0|2021-12-17|1315.0|0|1315.0|0|27.0|0|0.0|100
0|2021-12-18|1315.0|0|1315.0|0|27.0|0|0.0|100
0|2021-12-19|1315.0|0|1315.0|0|27.0|0|0.0|100
0|2021-12-20|1318.0|0|1318.0|0|27.0|0|0.0|100
0|2021-12-21|1323.0|0|1323.0|0|27.0|0|0.0|100
0|2021-12-22|1326.0|0|1326.0|0|27.0|0|0.0|100
0|2021-12-23|1326.0|0|1326.0|0|27.0|0|0.0|100
0|2021-12-24|1326.0|0|1326.0|0|27.0|0|0.0|100
0|2021-12-25|1326.0|0|1326.0|0|27.0|0|0.0|100
0|2021-12-26|1326.0|0|1326.0|0|27.0|0|0.0|100
0|2021-12-27|1336.0|0|1336.0|0|28.0|0|0.0|100
0|2021-12-28|1340.0|0|1340.0|0|29.0|0|0.0|100
0|2021-12-29|1342.0|0|1342.0|0|29.0|0|0.0|100
0|2021-12-30|1342.0|0|1342.0|0|29.0|0|0.0|100
0|2021-12-31|1342.0|0|1342.0|0|29.0|0|0.0|100
0|2022-01-01|1342.0|0|1342.0|0|29.0|0|0.0|100
0|2022-01-02|1342.0|0|1342.0|0|29.0|0|0.0|100
0|2022-01-03|1370.0|0|1370.0|0|29.0|0|0.0|100
0|2022-01-04|1375.0|0|1375.0|0|29.0|0|0.0|100
0|2022-01-05|1386.0|0|1386.0|0|29.0|0|0.0|100
0|2022-01-06|1393.0|0|1393.0|0|29.0|0|0.0|100
0|2022-01-07|1403.0|0|1403.0|0|29.0|0|0.0|100
0|2022-01-08|1403.0|0|1403.0|0|29.0|0|0.0|100
0|2022-01-09|1403.0|0|1403.0|0|29.0|0|0.0|100
0|2022-01-10|1424.0|0|1424.0|0|29.0|0|0.0|100
0|2022-01-11|1434.0|0|1434.0|0|29.0|0|0.0|100
0|2022-01-12|1447.0|0|1447.0|0|29.0|0|0.0|100
0|2022-01-13|1447.0|0|1453.0|0|29.0|0|0.0|100
0|2022-01-14|1463.0|0|1463.0|0|29.0|0|0.0|100
0|2022-01-15|1463.0|0|1463.0|0|29.0|0|0.0|100
0|2022-01-16|1463.0|0|1463.0|0|29.0|0|0.0|100
0|2022-01-17|1463.0|0|0.0|100|29.0|0|0.0|100
