|dates|Nome_Alaska_UnitedStates.AveragePrecipitationTotal.data|Nome_Alaska_UnitedStates.AveragePrecipitationTotal.missing|Nome_Alaska_UnitedStates.AveragePrecipitation.data|Nome_Alaska_UnitedStates.AveragePrecipitation.missing|Nome_Alaska_UnitedStates.AverageWindDirection.data|Nome_Alaska_UnitedStates.AverageWindDirection.missing|Nome_Alaska_UnitedStates.AverageWindSpeed.data|Nome_Alaska_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|193.75|0|11.5625|0
0|2021-10-18|0.0|0|0.0|0|170.625|0|7.333333333333333|0
0|2021-10-19|0.0|0|0.0|0|107.27083333333333|0|14.300694444444444|0
0|2021-10-20|0.0|0|0.0|0|121.77083333333333|0|10.329861111111112|0
0|2021-10-21|0.0|0|0.0|0|100.68055555555556|0|6.675000000000001|0
0|2021-10-22|0.0|0|0.0|0|240.83333333333334|0|9.791666666666666|0
0|2021-10-23|0.0|0|0.0|0|338.75|0|11.208333333333334|0
0|2021-10-24|0.0|0|0.0|0|101.84027777777779|0|3.0138888888888893|0
0|2021-10-25|0.0|0|0.0|0|244.0972222222222|0|4.076388888888889|0
0|2021-10-26|0.0|0|0.0|0|106.66666666666667|0|2.5|0
0|2021-10-27|0.0|0|0.0|0|297.5|0|7.541666666666667|0
0|2021-10-28|0.0|0|0.0|0|215.83333333333334|0|5.375|0
0|2021-10-29|0.0|0|0.0|0|148.6689814814815|0|5.656828703703703|0
0|2021-10-30|0.0|0|0.0|0|312.9166666666667|0|10.625|0
0|2021-10-31|0.0|0|0.0|0|323.3333333333333|0|9.458333333333334|0
0|2021-11-01|0.0|0|0.0|0|127.08333333333333|0|10.854166666666666|0
0|2021-11-02|0.0|0|0.0|0|128.73015873015873|0|14.692460317460316|0
0|2021-11-03|0.0|0|0.0|0|175.0|0|5.083333333333333|0
0|2021-11-04|0.0|0|0.0|0|249.58333333333334|0|6.520833333333333|0
0|2021-11-05|0.0|0|0.0|0|332.97222222222223|0|8.986507936507936|0
0|2021-11-06|0.0|0|0.0|0|332.5|0|9.995833333333334|0
0|2021-11-07|0.0|0|0.0|0|205.83333333333334|0|6.25|0
0|2021-11-08|0.0|0|0.0|0|240.41666666666666|0|9.458333333333334|0
0|2021-11-09|0.0|0|0.0|0|199.58333333333334|0|8.458333333333334|0
0|2021-11-10|0.0|0|0.0|0|245.20833333333334|0|10.0|0
0|2021-11-11|0.0|0|0.0|0|246.45833333333334|0|8.604166666666666|0
0|2021-11-12|0.0|0|0.0|0|241.5277777777778|0|6.625|0
0|2021-11-13|0.0|0|0.0|0|114.65277777777777|0|3.420138888888889|0
0|2021-11-14|0.0|0|0.0|0|276.31944444444446|0|6.916666666666667|0
0|2021-11-15|0.0|0|0.0|0|289.7916666666667|0|7.6875|0
0|2021-11-16|0.0|0|0.0|0|264.1666666666667|0|8.416666666666666|0
0|2021-11-17|0.0|0|0.0|0|290.8333333333333|0|8.583333333333334|0
0|2021-11-18|0.0|0|0.0|0|284.1666666666667|0|11.708333333333334|0
0|2021-11-19|0.0|0|0.0|0|311.0416666666667|0|10.583333333333334|0
0|2021-11-20|0.0|0|0.0|0|232.70833333333334|0|10.041666666666666|0
0|2021-11-21|0.0|0|0.0|0|351.0416666666667|0|11.979166666666666|0
0|2021-11-22|0.0|0|0.0|0|350.4166666666667|0|13.333333333333334|0
0|2021-11-23|0.0|0|0.0|0|347.7083333333333|0|11.3125|0
0|2021-11-24|0.0|0|0.0|0|345.8333333333333|0|10.375|0
0|2021-11-25|0.0|0|0.0|0|265.4166666666667|0|9.583333333333334|0
0|2021-11-26|0.0|0|0.0|0|212.5|0|8.666666666666666|0
0|2021-11-27|0.0|0|0.0|0|297.9166666666667|0|11.458333333333334|0
0|2021-11-28|0.0|0|0.0|0|184.16666666666666|0|8.791666666666666|0
0|2021-11-29|0.0|0|0.0|0|305.4166666666667|0|13.104166666666666|0
0|2021-11-30|0.0|0|0.0|0|345.0|0|12.354166666666666|0
0|2021-12-01|0.0|0|0.0|0|345.4166666666667|0|9.541666666666666|0
0|2021-12-02|0.0|0|0.0|0|133.125|0|4.819444444444445|0
0|2021-12-03|0.0|0|0.0|0|118.68750000000001|0|15.30972222222222|0
0|2021-12-04|0.0|0|0.0|0|112.15277777777777|0|9.872916666666665|0
0|2021-12-05|0.0|0|0.0|0|151.59623015873015|0|32.40644841269842|0
0|2021-12-06|0.0|0|0.0|0|216.70833333333334|0|12.900694444444442|0
0|2021-12-07|0.0|0|0.0|0|270.27777777777777|0|9.194444444444445|0
0|2021-12-08|0.0|0|0.0|0|213.4027777777778|0|10.847222222222221|0
0|2021-12-09|0.0|0|0.0|0|336.59722222222223|0|12.5625|0
0|2021-12-10|0.0|0|0.0|0|336.0416666666667|0|22.875|0
0|2021-12-11|0.0|0|0.0|0|332.4732142857143|0|22.181051587301585|0
0|2021-12-12|0.0|0|0.0|0|342.5|0|15.25|0
0|2021-12-13|0.0|0|0.0|0|283.75|0|10.666666666666666|0
0|2021-12-14|0.0|0|0.0|0|170.41666666666666|0|9.666666666666666|0
0|2021-12-15|0.0|0|0.0|0|104.83333333333331|0|13.78888888888889|0
0|2021-12-16|0.0|0|0.0|0|127.1765873015873|0|14.7843253968254|0
0|2021-12-17|0.0|0|0.0|0|167.84722222222223|0|13.485416666666666|0
0|2021-12-18|0.0|0|0.0|0|162.61111111111111|0|6.647916666666667|0
0|2021-12-19|0.0|0|0.0030555555555555557|0|185.11805555555554|0|19.292361111111113|0
0|2021-12-20|0.0025|0|0.0|0|259.80555555555554|0|14.30347222222222|0
0|2021-12-21|0.0|0|0.0|0|240.55555555555557|0|6.930555555555556|0
0|2021-12-22|0.0|0|0.0|0|195.55059523809527|0|8.15843253968254|0
0|2021-12-23|0.0|0|0.0|0|290.4166666666667|0|10.104166666666666|0
0|2021-12-24|0.0|0|0.0|0|118.87500000000001|0|5.678472222222222|0
0|2021-12-25|0.0|0|0.0|0|124.09722222222221|0|7.458333333333333|0
0|2021-12-26|0.0|0|0.0|0|254.89880952380952|0|15.134523809523811|0
0|2021-12-27|0.0|0|0.0|0|266.57638888888886|0|10.002777777777778|0
0|2021-12-28|0.0|0|0.0|0|138.67113095238093|0|18.043700396825397|0
0|2021-12-29|0.0|0|0.0|0|270.8333333333333|0|12.208333333333334|0
0|2021-12-30|0.0|0|0.0|0|337.2916666666667|0|12.354166666666666|0
0|2021-12-31|0.0|0|0.0|0|320.0|0|14.708333333333334|0
0|2022-01-01|0.0|0|0.0|0|300.4166666666667|0|12.791666666666666|0
0|2022-01-02|0.0|0|0.0|0|204.79166666666666|0|8.0625|0
0|2022-01-03|0.0|0|0.0|0|240.83333333333334|0|10.1875|0
0|2022-01-04|0.0|0|0.0|0|144.16666666666666|0|12.0|0
0|2022-01-05|0.0|0|0.0|0|225.41666666666666|0|9.916666666666666|0
0|2022-01-06|0.0|0|0.0|0|226.66666666666666|0|9.625|0
0|2022-01-07|0.0|0|0.0|0|210.83333333333334|0|11.208333333333334|0
0|2022-01-08|0.0|0|0.0|0|71.45833333333333|0|11.354166666666666|0
0|2022-01-09|0.0|0|0.0|0|43.541666666666664|0|20.5|0
0|2022-01-10|0.0|0|0.0|0|220.625|0|10.791666666666666|0
0|2022-01-11|0.0|0|0.0|0|279.375|0|13.041666666666666|0
0|2022-01-12|0.0|0|0.0|0|346.6666666666667|0|16.25|0
0|2022-01-13|0.0|0|0.0|0|287.7083333333333|0|15.104166666666666|0
0|2022-01-14|0.0|0|0.0|0|330.8333333333333|0|13.625|0
0|2022-01-15|0.0|0|0.0|0|337.1924603174603|0|10.134424603174603|0
0|2022-01-16|0.0|0|0.0|0|348.88888888888886|0|9.868055555555555|0
0|2022-01-17|0.0|25|0.0|25|342.4166666666667|0|14.291666666666666|0
