|dates|Oceana_Michigan_UnitedStates.JHU_ConfirmedCases.data|Oceana_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Oceana_Michigan_UnitedStates.NYT_ConfirmedCases.data|Oceana_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Oceana_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Oceana_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Oceana_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Oceana_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3566.0|0|3566.0|0|69.0|0|0.0|100
0|2021-10-18|3584.0|0|3584.0|0|69.0|0|0.0|100
0|2021-10-19|3584.0|0|3584.0|0|69.0|0|0.0|100
0|2021-10-20|3605.0|0|3605.0|0|69.0|0|0.0|100
0|2021-10-21|3605.0|0|3605.0|0|69.0|0|0.0|100
0|2021-10-22|3638.0|0|3638.0|0|70.0|0|0.0|100
0|2021-10-23|3638.0|0|3638.0|0|70.0|0|0.0|100
0|2021-10-24|3638.0|0|3638.0|0|70.0|0|0.0|100
0|2021-10-25|3668.0|0|3668.0|0|70.0|0|0.0|100
0|2021-10-26|3668.0|0|3668.0|0|70.0|0|0.0|100
0|2021-10-27|3703.0|0|3703.0|0|70.0|0|0.0|100
0|2021-10-28|3703.0|0|3703.0|0|70.0|0|0.0|100
0|2021-10-29|3739.0|0|3739.0|0|70.0|0|0.0|100
0|2021-10-30|3739.0|0|3739.0|0|70.0|0|0.0|100
0|2021-10-31|3739.0|0|3739.0|0|70.0|0|0.0|100
0|2021-11-01|3774.0|0|3774.0|0|70.0|0|0.0|100
0|2021-11-02|3774.0|0|3774.0|0|70.0|0|0.0|100
0|2021-11-03|3815.0|0|3815.0|0|71.0|0|0.0|100
0|2021-11-04|3815.0|0|3815.0|0|71.0|0|0.0|100
0|2021-11-05|3848.0|0|3848.0|0|71.0|0|0.0|100
0|2021-11-06|3848.0|0|3848.0|0|71.0|0|0.0|100
0|2021-11-07|3848.0|0|3848.0|0|71.0|0|0.0|100
0|2021-11-08|3893.0|0|3893.0|0|71.0|0|0.0|100
0|2021-11-09|3893.0|0|3893.0|0|71.0|0|0.0|100
0|2021-11-10|3893.0|0|3917.0|0|71.0|0|0.0|100
0|2021-11-11|3917.0|0|3917.0|0|71.0|0|0.0|100
0|2021-11-12|3979.0|0|3979.0|0|71.0|0|0.0|100
0|2021-11-13|3979.0|0|3979.0|0|71.0|0|0.0|100
0|2021-11-14|3979.0|0|3979.0|0|71.0|0|0.0|100
0|2021-11-15|4061.0|0|4061.0|0|71.0|0|0.0|100
0|2021-11-16|4061.0|0|4061.0|0|71.0|0|0.0|100
0|2021-11-17|4124.0|0|4124.0|0|72.0|0|0.0|100
0|2021-11-18|4124.0|0|4124.0|0|72.0|0|0.0|100
0|2021-11-19|4187.0|0|4187.0|0|72.0|0|0.0|100
0|2021-11-20|4187.0|0|4187.0|0|72.0|0|0.0|100
0|2021-11-21|4187.0|0|4187.0|0|72.0|0|0.0|100
0|2021-11-22|4264.0|0|4264.0|0|72.0|0|0.0|100
0|2021-11-23|4264.0|0|4264.0|0|72.0|0|0.0|100
0|2021-11-24|4337.0|0|4337.0|0|75.0|0|0.0|100
0|2021-11-25|4337.0|0|4337.0|0|75.0|0|0.0|100
0|2021-11-26|4337.0|0|4337.0|0|75.0|0|0.0|100
0|2021-11-27|4337.0|0|4337.0|0|75.0|0|0.0|100
0|2021-11-28|4337.0|0|4337.0|0|75.0|0|0.0|100
0|2021-11-29|4435.0|0|4435.0|0|75.0|0|0.0|100
0|2021-11-30|4435.0|0|4435.0|0|75.0|0|0.0|100
0|2021-12-01|4502.0|0|4502.0|0|75.0|0|0.0|100
0|2021-12-02|4502.0|0|4502.0|0|75.0|0|0.0|100
