|dates|Oconee_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Oconee_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Oconee_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Oconee_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Oconee_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Oconee_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Oconee_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Oconee_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|15221.0|0|15221.0|0|202.0|0|0.0|100
0|2021-10-18|15307.0|0|15307.0|0|205.0|0|0.0|100
0|2021-10-19|15319.0|0|15319.0|0|205.0|0|0.0|100
0|2021-10-20|15328.0|0|15328.0|0|208.0|0|0.0|100
0|2021-10-21|15354.0|0|15354.0|0|208.0|0|0.0|100
0|2021-10-22|15386.0|0|15386.0|0|209.0|0|0.0|100
0|2021-10-23|15386.0|0|15386.0|0|209.0|0|0.0|100
0|2021-10-24|15386.0|0|15386.0|0|209.0|0|0.0|100
0|2021-10-25|15442.0|0|15442.0|0|210.0|0|0.0|100
0|2021-10-26|15458.0|0|15458.0|0|210.0|0|0.0|100
0|2021-10-27|15472.0|0|15472.0|0|212.0|0|0.0|100
0|2021-10-28|15484.0|0|15484.0|0|215.0|0|0.0|100
0|2021-10-29|15505.0|0|15505.0|0|216.0|0|0.0|100
0|2021-10-30|15505.0|0|15505.0|0|216.0|0|0.0|100
0|2021-10-31|15505.0|0|15505.0|0|216.0|0|0.0|100
0|2021-11-01|15562.0|0|15562.0|0|218.0|0|0.0|100
0|2021-11-02|15569.0|0|15569.0|0|218.0|0|0.0|100
0|2021-11-03|15575.0|0|15575.0|0|221.0|0|0.0|100
0|2021-11-04|15596.0|0|15596.0|0|224.0|0|0.0|100
0|2021-11-05|15618.0|0|15618.0|0|224.0|0|0.0|100
0|2021-11-06|15618.0|0|15618.0|0|224.0|0|0.0|100
0|2021-11-07|15618.0|0|15618.0|0|224.0|0|0.0|100
0|2021-11-08|15672.0|0|15672.0|0|231.0|0|0.0|100
0|2021-11-09|15678.0|0|15678.0|0|231.0|0|0.0|100
0|2021-11-10|15685.0|0|15685.0|0|231.0|0|0.0|100
0|2021-11-11|15685.0|0|15685.0|0|231.0|0|0.0|100
0|2021-11-12|15724.0|0|15724.0|0|235.0|0|0.0|100
0|2021-11-13|15724.0|0|15724.0|0|235.0|0|0.0|100
0|2021-11-14|15724.0|0|15724.0|0|235.0|0|0.0|100
0|2021-11-15|15784.0|0|15784.0|0|235.0|0|0.0|100
0|2021-11-16|15797.0|0|15797.0|0|235.0|0|0.0|100
0|2021-11-17|15813.0|0|15813.0|0|239.0|0|0.0|100
0|2021-11-18|15837.0|0|15837.0|0|239.0|0|0.0|100
0|2021-11-19|15861.0|0|15861.0|0|239.0|0|0.0|100
0|2021-11-20|15861.0|0|15861.0|0|239.0|0|0.0|100
0|2021-11-21|15861.0|0|15861.0|0|239.0|0|0.0|100
0|2021-11-22|15910.0|0|15910.0|0|238.0|0|0.0|100
0|2021-11-23|15926.0|0|15926.0|0|239.0|0|0.0|100
0|2021-11-24|15935.0|0|15935.0|0|239.0|0|0.0|100
0|2021-11-25|15935.0|0|15935.0|0|239.0|0|0.0|100
0|2021-11-26|15947.0|0|15946.0|0|239.0|0|0.0|100
0|2021-11-27|15947.0|0|15946.0|0|239.0|0|0.0|100
0|2021-11-28|15947.0|0|15946.0|0|239.0|0|0.0|100
0|2021-11-29|15980.0|0|15980.0|0|238.0|0|0.0|100
0|2021-11-30|15995.0|0|15995.0|0|238.0|0|0.0|100
0|2021-12-01|16015.0|0|16015.0|0|239.0|0|0.0|100
0|2021-12-02|16043.0|0|16043.0|0|241.0|0|0.0|100
0|2021-12-03|16068.0|0|16068.0|0|241.0|0|0.0|100
0|2021-12-04|16068.0|0|16068.0|0|241.0|0|0.0|100
0|2021-12-05|16068.0|0|16068.0|0|241.0|0|0.0|100
0|2021-12-06|16126.0|0|16126.0|0|246.0|0|0.0|100
0|2021-12-07|16140.0|0|16140.0|0|247.0|0|0.0|100
0|2021-12-08|16165.0|0|16165.0|0|248.0|0|0.0|100
0|2021-12-09|16187.0|0|16187.0|0|249.0|0|0.0|100
0|2021-12-10|16229.0|0|16229.0|0|249.0|0|0.0|100
0|2021-12-11|16229.0|0|16229.0|0|249.0|0|0.0|100
0|2021-12-12|16229.0|0|16229.0|0|249.0|0|0.0|100
0|2021-12-13|16333.0|0|16333.0|0|251.0|0|0.0|100
0|2021-12-14|16333.0|0|16350.0|0|251.0|0|0.0|100
0|2021-12-15|16375.0|0|16375.0|0|252.0|0|0.0|100
0|2021-12-16|16412.0|0|16412.0|0|252.0|0|0.0|100
0|2021-12-17|16412.0|0|16452.0|0|252.0|0|0.0|100
0|2021-12-18|16452.0|0|16452.0|0|252.0|0|0.0|100
0|2021-12-19|16452.0|0|16452.0|0|252.0|0|0.0|100
0|2021-12-20|16538.0|0|16538.0|0|254.0|0|0.0|100
0|2021-12-21|16557.0|0|16557.0|0|256.0|0|0.0|100
0|2021-12-22|16577.0|0|16577.0|0|256.0|0|0.0|100
0|2021-12-23|16607.0|0|16607.0|0|257.0|0|0.0|100
0|2021-12-24|16607.0|0|16607.0|0|257.0|0|0.0|100
0|2021-12-25|16607.0|0|16607.0|0|257.0|0|0.0|100
0|2021-12-26|16607.0|0|16607.0|0|257.0|0|0.0|100
0|2021-12-27|16607.0|0|16607.0|0|257.0|0|0.0|100
0|2021-12-28|16607.0|0|16607.0|0|257.0|0|0.0|100
0|2021-12-29|16804.0|0|16804.0|0|259.0|0|0.0|100
0|2021-12-30|16863.0|0|16863.0|0|261.0|0|0.0|100
0|2021-12-31|16954.0|0|16954.0|0|263.0|0|0.0|100
0|2022-01-01|16954.0|0|16954.0|0|263.0|0|0.0|100
0|2022-01-02|16954.0|0|16954.0|0|263.0|0|0.0|100
0|2022-01-03|16954.0|0|16954.0|0|263.0|0|0.0|100
0|2022-01-04|17385.0|0|17385.0|0|263.0|0|0.0|100
0|2022-01-05|17451.0|0|17451.0|0|269.0|0|0.0|100
0|2022-01-06|17658.0|0|17658.0|0|269.0|0|0.0|100
0|2022-01-07|17892.0|0|17892.0|0|269.0|0|0.0|100
0|2022-01-08|17892.0|0|17892.0|0|269.0|0|0.0|100
0|2022-01-09|17892.0|0|17892.0|0|269.0|0|0.0|100
0|2022-01-10|18464.0|0|18464.0|0|269.0|0|0.0|100
0|2022-01-11|18553.0|0|18553.0|0|269.0|0|0.0|100
0|2022-01-12|18620.0|0|18620.0|0|271.0|0|0.0|100
0|2022-01-13|18620.0|0|18856.0|0|271.0|0|0.0|100
0|2022-01-14|19100.0|0|19100.0|0|273.0|0|0.0|100
0|2022-01-15|19100.0|0|19100.0|0|273.0|0|0.0|100
0|2022-01-16|19100.0|0|19100.0|0|273.0|0|0.0|100
0|2022-01-17|19100.0|0|0.0|100|273.0|0|0.0|100
