|dates|Okeechobee_Florida_UnitedStates.JHU_ConfirmedCases.data|Okeechobee_Florida_UnitedStates.JHU_ConfirmedCases.missing|Okeechobee_Florida_UnitedStates.NYT_ConfirmedCases.data|Okeechobee_Florida_UnitedStates.NYT_ConfirmedCases.missing|Okeechobee_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Okeechobee_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Okeechobee_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Okeechobee_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7424.0|0|7370.0|0|89.0|0|0.0|100
0|2021-10-18|7424.0|0|7370.0|0|89.0|0|0.0|100
0|2021-10-19|7424.0|0|7370.0|0|89.0|0|0.0|100
0|2021-10-20|7424.0|0|7370.0|0|89.0|0|0.0|100
0|2021-10-21|7424.0|0|7370.0|0|89.0|0|0.0|100
0|2021-10-22|7436.0|0|7382.0|0|89.0|0|0.0|100
0|2021-10-23|7436.0|0|7382.0|0|89.0|0|0.0|100
0|2021-10-24|7436.0|0|7382.0|0|89.0|0|0.0|100
0|2021-10-25|7436.0|0|7382.0|0|89.0|0|0.0|100
0|2021-10-26|7436.0|0|7382.0|0|89.0|0|0.0|100
0|2021-10-27|7436.0|0|7382.0|0|89.0|0|0.0|100
0|2021-10-28|7436.0|0|7382.0|0|89.0|0|0.0|100
0|2021-10-29|7438.0|0|7384.0|0|89.0|0|0.0|100
0|2021-10-30|7438.0|0|7384.0|0|89.0|0|0.0|100
0|2021-10-31|7438.0|0|7384.0|0|89.0|0|0.0|100
0|2021-11-01|7438.0|0|7384.0|0|89.0|0|0.0|100
0|2021-11-02|7438.0|0|7384.0|0|89.0|0|0.0|100
0|2021-11-03|7438.0|0|7384.0|0|89.0|0|0.0|100
0|2021-11-04|7438.0|0|7384.0|0|89.0|0|0.0|100
0|2021-11-05|7444.0|0|7390.0|0|89.0|0|0.0|100
0|2021-11-06|7444.0|0|7390.0|0|89.0|0|0.0|100
0|2021-11-07|7444.0|0|7390.0|0|89.0|0|0.0|100
0|2021-11-08|7444.0|0|7390.0|0|89.0|0|0.0|100
0|2021-11-09|7444.0|0|7390.0|0|89.0|0|0.0|100
0|2021-11-10|7444.0|0|7390.0|0|89.0|0|0.0|100
0|2021-11-11|7444.0|0|7390.0|0|89.0|0|0.0|100
0|2021-11-12|7453.0|0|7399.0|0|89.0|0|0.0|100
0|2021-11-13|7453.0|0|7399.0|0|89.0|0|0.0|100
0|2021-11-14|7453.0|0|7399.0|0|89.0|0|0.0|100
0|2021-11-15|7453.0|0|7399.0|0|89.0|0|0.0|100
0|2021-11-16|7453.0|0|7399.0|0|89.0|0|0.0|100
0|2021-11-17|7453.0|0|7399.0|0|89.0|0|0.0|100
0|2021-11-18|7453.0|0|7399.0|0|89.0|0|0.0|100
0|2021-11-19|7468.0|0|7414.0|0|89.0|0|0.0|100
0|2021-11-20|7468.0|0|7414.0|0|89.0|0|0.0|100
0|2021-11-21|7468.0|0|7414.0|0|89.0|0|0.0|100
0|2021-11-22|7468.0|0|7414.0|0|89.0|0|0.0|100
0|2021-11-23|7468.0|0|7414.0|0|89.0|0|0.0|100
0|2021-11-24|7468.0|0|7414.0|0|89.0|0|0.0|100
0|2021-11-25|7468.0|0|7414.0|0|89.0|0|0.0|100
0|2021-11-26|7468.0|0|7414.0|0|89.0|0|0.0|100
0|2021-11-27|7468.0|0|7414.0|0|89.0|0|0.0|100
0|2021-11-28|7468.0|0|7414.0|0|89.0|0|0.0|100
0|2021-11-29|7468.0|0|7414.0|0|89.0|0|0.0|100
0|2021-11-30|7467.0|0|7413.0|0|89.0|0|0.0|100
0|2021-12-01|7467.0|0|7413.0|0|89.0|0|0.0|100
0|2021-12-02|7467.0|0|7413.0|0|89.0|0|0.0|100
0|2021-12-03|7473.0|0|7419.0|0|89.0|0|0.0|100
0|2021-12-04|7473.0|0|7419.0|0|89.0|0|0.0|100
0|2021-12-05|7473.0|0|7419.0|0|89.0|0|0.0|100
0|2021-12-06|7473.0|0|7419.0|0|89.0|0|0.0|100
0|2021-12-07|7473.0|0|7419.0|0|89.0|0|0.0|100
0|2021-12-08|7473.0|0|7419.0|0|89.0|0|0.0|100
0|2021-12-09|7473.0|0|7419.0|0|89.0|0|0.0|100
0|2021-12-10|7491.0|0|7437.0|0|89.0|0|0.0|100
0|2021-12-11|7491.0|0|7437.0|0|89.0|0|0.0|100
0|2021-12-12|7491.0|0|7437.0|0|89.0|0|0.0|100
0|2021-12-13|7491.0|0|7437.0|0|89.0|0|0.0|100
0|2021-12-14|7491.0|0|7437.0|0|89.0|0|0.0|100
0|2021-12-15|7491.0|0|7437.0|0|89.0|0|0.0|100
0|2021-12-16|7491.0|0|7437.0|0|89.0|0|0.0|100
0|2021-12-17|7497.0|0|7443.0|0|89.0|0|0.0|100
0|2021-12-18|7497.0|0|7443.0|0|89.0|0|0.0|100
0|2021-12-19|7497.0|0|7443.0|0|89.0|0|0.0|100
0|2021-12-20|7497.0|0|7443.0|0|89.0|0|0.0|100
0|2021-12-21|7497.0|0|7443.0|0|89.0|0|0.0|100
0|2021-12-22|7497.0|0|7443.0|0|89.0|0|0.0|100
0|2021-12-23|7497.0|0|7443.0|0|89.0|0|0.0|100
0|2021-12-24|7497.0|0|7481.0|0|89.0|0|0.0|100
0|2021-12-25|7535.0|0|7481.0|0|89.0|0|0.0|100
0|2021-12-26|7535.0|0|7481.0|0|89.0|0|0.0|100
0|2021-12-27|7535.0|0|7481.0|0|89.0|0|0.0|100
0|2021-12-28|7535.0|0|7481.0|0|89.0|0|0.0|100
0|2021-12-29|7535.0|0|7481.0|0|89.0|0|0.0|100
0|2021-12-30|7535.0|0|7481.0|0|89.0|0|0.0|100
0|2021-12-31|7739.0|0|7685.0|0|89.0|0|0.0|100
0|2022-01-01|7739.0|0|7685.0|0|89.0|0|0.0|100
0|2022-01-02|7739.0|0|7685.0|0|89.0|0|0.0|100
0|2022-01-03|7739.0|0|7685.0|0|89.0|0|0.0|100
0|2022-01-04|7739.0|0|7685.0|0|89.0|0|0.0|100
0|2022-01-05|7739.0|0|7685.0|0|89.0|0|0.0|100
0|2022-01-06|7739.0|0|7685.0|0|89.0|0|0.0|100
0|2022-01-07|8335.0|0|8281.0|0|89.0|0|0.0|100
0|2022-01-08|8335.0|0|8281.0|0|89.0|0|0.0|100
0|2022-01-09|8335.0|0|8281.0|0|89.0|0|0.0|100
0|2022-01-10|8335.0|0|8281.0|0|89.0|0|0.0|100
0|2022-01-11|8335.0|0|8281.0|0|89.0|0|0.0|100
0|2022-01-12|8335.0|0|8281.0|0|163.0|0|0.0|100
0|2022-01-13|8335.0|0|8281.0|0|163.0|0|0.0|100
0|2022-01-14|8335.0|0|9112.0|0|163.0|0|0.0|100
0|2022-01-15|9166.0|0|9112.0|0|163.0|0|0.0|100
0|2022-01-16|9166.0|0|9112.0|0|163.0|0|0.0|100
