|dates|Osborne_Kansas_UnitedStates.JHU_ConfirmedCases.data|Osborne_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Osborne_Kansas_UnitedStates.NYT_ConfirmedCases.data|Osborne_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Osborne_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Osborne_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Osborne_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Osborne_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|399.0|0|399.0|0|14.0|0|0.0|100
0|2021-10-18|401.0|0|401.0|0|14.0|0|0.0|100
0|2021-10-19|401.0|0|401.0|0|14.0|0|0.0|100
0|2021-10-20|407.0|0|407.0|0|14.0|0|0.0|100
0|2021-10-21|407.0|0|407.0|0|14.0|0|0.0|100
0|2021-10-22|411.0|0|411.0|0|14.0|0|0.0|100
0|2021-10-23|411.0|0|411.0|0|14.0|0|0.0|100
0|2021-10-24|411.0|0|411.0|0|14.0|0|0.0|100
0|2021-10-25|414.0|0|414.0|0|14.0|0|0.0|100
0|2021-10-26|414.0|0|414.0|0|14.0|0|0.0|100
0|2021-10-27|415.0|0|415.0|0|14.0|0|0.0|100
0|2021-10-28|415.0|0|415.0|0|14.0|0|0.0|100
0|2021-10-29|416.0|0|416.0|0|14.0|0|0.0|100
0|2021-10-30|416.0|0|416.0|0|14.0|0|0.0|100
0|2021-10-31|416.0|0|416.0|0|14.0|0|0.0|100
0|2021-11-01|418.0|0|418.0|0|14.0|0|0.0|100
0|2021-11-02|418.0|0|418.0|0|14.0|0|0.0|100
0|2021-11-03|435.0|0|435.0|0|14.0|0|0.0|100
0|2021-11-04|435.0|0|435.0|0|14.0|0|0.0|100
0|2021-11-05|442.0|0|442.0|0|14.0|0|0.0|100
0|2021-11-06|442.0|0|442.0|0|14.0|0|0.0|100
0|2021-11-07|442.0|0|442.0|0|14.0|0|0.0|100
0|2021-11-08|447.0|0|447.0|0|15.0|0|0.0|100
0|2021-11-09|447.0|0|447.0|0|15.0|0|0.0|100
0|2021-11-10|447.0|0|454.0|0|15.0|0|0.0|100
0|2021-11-11|454.0|0|454.0|0|15.0|0|0.0|100
0|2021-11-12|463.0|0|463.0|0|15.0|0|0.0|100
0|2021-11-13|463.0|0|463.0|0|15.0|0|0.0|100
0|2021-11-14|463.0|0|463.0|0|15.0|0|0.0|100
0|2021-11-15|465.0|0|465.0|0|15.0|0|0.0|100
0|2021-11-16|465.0|0|465.0|0|15.0|0|0.0|100
0|2021-11-17|479.0|0|479.0|0|15.0|0|0.0|100
0|2021-11-18|479.0|0|479.0|0|15.0|0|0.0|100
0|2021-11-19|483.0|0|483.0|0|15.0|0|0.0|100
0|2021-11-20|483.0|0|483.0|0|15.0|0|0.0|100
0|2021-11-21|483.0|0|483.0|0|15.0|0|0.0|100
0|2021-11-22|490.0|0|490.0|0|15.0|0|0.0|100
0|2021-11-23|490.0|0|490.0|0|15.0|0|0.0|100
0|2021-11-24|490.0|0|495.0|0|15.0|0|0.0|100
0|2021-11-25|495.0|0|495.0|0|15.0|0|0.0|100
0|2021-11-26|495.0|0|495.0|0|15.0|0|0.0|100
0|2021-11-27|495.0|0|495.0|0|15.0|0|0.0|100
0|2021-11-28|495.0|0|495.0|0|15.0|0|0.0|100
0|2021-11-29|498.0|0|498.0|0|15.0|0|0.0|100
0|2021-11-30|498.0|0|498.0|0|15.0|0|0.0|100
0|2021-12-01|513.0|0|513.0|0|15.0|0|0.0|100
0|2021-12-02|513.0|0|513.0|0|15.0|0|0.0|100
0|2021-12-03|513.0|0|520.0|0|15.0|0|0.0|100
0|2021-12-04|520.0|0|520.0|0|15.0|0|0.0|100
0|2021-12-05|520.0|0|520.0|0|15.0|0|0.0|100
0|2021-12-06|522.0|0|522.0|0|15.0|0|0.0|100
0|2021-12-07|522.0|0|522.0|0|15.0|0|0.0|100
0|2021-12-08|534.0|0|534.0|0|15.0|0|0.0|100
0|2021-12-09|534.0|0|534.0|0|15.0|0|0.0|100
0|2021-12-10|542.0|0|542.0|0|15.0|0|0.0|100
0|2021-12-11|542.0|0|542.0|0|15.0|0|0.0|100
0|2021-12-12|542.0|0|542.0|0|15.0|0|0.0|100
0|2021-12-13|547.0|0|547.0|0|15.0|0|0.0|100
0|2021-12-14|547.0|0|547.0|0|15.0|0|0.0|100
0|2021-12-15|553.0|0|553.0|0|15.0|0|0.0|100
0|2021-12-16|553.0|0|553.0|0|15.0|0|0.0|100
0|2021-12-17|555.0|0|555.0|0|15.0|0|0.0|100
0|2021-12-18|555.0|0|555.0|0|15.0|0|0.0|100
0|2021-12-19|555.0|0|555.0|0|15.0|0|0.0|100
0|2021-12-20|557.0|0|557.0|0|15.0|0|0.0|100
0|2021-12-21|557.0|0|557.0|0|15.0|0|0.0|100
0|2021-12-22|562.0|0|562.0|0|15.0|0|0.0|100
0|2021-12-23|562.0|0|562.0|0|15.0|0|0.0|100
0|2021-12-24|562.0|0|562.0|0|15.0|0|0.0|100
0|2021-12-25|562.0|0|562.0|0|15.0|0|0.0|100
0|2021-12-26|562.0|0|562.0|0|15.0|0|0.0|100
0|2021-12-27|573.0|0|573.0|0|15.0|0|0.0|100
0|2021-12-28|573.0|0|573.0|0|15.0|0|0.0|100
0|2021-12-29|580.0|0|580.0|0|15.0|0|0.0|100
0|2021-12-30|580.0|0|580.0|0|15.0|0|0.0|100
0|2021-12-31|580.0|0|580.0|0|15.0|0|0.0|100
0|2022-01-01|580.0|0|580.0|0|15.0|0|0.0|100
0|2022-01-02|580.0|0|580.0|0|15.0|0|0.0|100
0|2022-01-03|598.0|0|598.0|0|15.0|0|0.0|100
0|2022-01-04|598.0|0|598.0|0|15.0|0|0.0|100
0|2022-01-05|610.0|0|610.0|0|15.0|0|0.0|100
0|2022-01-06|610.0|0|610.0|0|15.0|0|0.0|100
0|2022-01-07|615.0|0|615.0|0|15.0|0|0.0|100
0|2022-01-08|615.0|0|615.0|0|15.0|0|0.0|100
0|2022-01-09|615.0|0|615.0|0|15.0|0|0.0|100
0|2022-01-10|618.0|0|618.0|0|15.0|0|0.0|100
0|2022-01-11|618.0|0|618.0|0|15.0|0|0.0|100
0|2022-01-12|618.0|0|624.0|0|15.0|0|0.0|100
0|2022-01-13|618.0|0|630.0|0|15.0|0|0.0|100
0|2022-01-14|649.0|0|649.0|0|15.0|0|0.0|100
0|2022-01-15|649.0|0|649.0|0|15.0|0|0.0|100
0|2022-01-16|649.0|0|649.0|0|15.0|0|0.0|100
0|2022-01-17|649.0|0|0.0|100|15.0|0|0.0|100
