|dates|Ottawa_Michigan_UnitedStates.AverageDailyTemperature.data|Ottawa_Michigan_UnitedStates.AverageDailyTemperature.missing|Ottawa_Michigan_UnitedStates.AverageDewPoint.data|Ottawa_Michigan_UnitedStates.AverageDewPoint.missing|Ottawa_Michigan_UnitedStates.AverageRelativeHumidity.data|Ottawa_Michigan_UnitedStates.AverageRelativeHumidity.missing|Ottawa_Michigan_UnitedStates.AverageSurfaceAirPressure.data|Ottawa_Michigan_UnitedStates.AverageSurfaceAirPressure.missing
0|2021-10-17|59.041666666666664|0|39.25|0|48.375|0|29.31041666666668|0
0|2021-10-18|56.291666666666664|0|45.125|0|69.16666666666667|0|29.364166666666666|0
0|2021-10-19|57.625|0|49.0|0|74.16666666666667|0|29.35083333333334|0
0|2021-10-20|58.34722222222222|0|51.513888888888886|0|78.68055555555556|0|29.28611111111111|0
0|2021-10-21|55.49652777777778|0|50.482638888888886|0|83.33680555555556|0|29.114895833333335|0
0|2021-10-22|46.8125|0|39.49305555555556|0|76.0625|0|29.289999999999996|0
0|2021-10-23|44.82470238095238|0|41.285714285714285|0|87.90744047619047|0|29.267708333333317|0
0|2021-10-24|41.74444444444445|0|38.45357142857143|0|88.74761904761904|0|29.25075992063492|0
0|2021-10-25|46.54861111111111|0|41.824305555555554|0|84.12222222222222|0|29.1441875|0
0|2021-10-26|45.0|0|37.666666666666664|0|76.75|0|29.32916666666667|0
0|2021-10-27|43.770833333333336|0|39.0625|0|84.40972222222223|0|29.276250000000005|0
0|2021-10-28|50.125|0|47.708333333333336|0|91.58333333333333|0|29.084166666666672|0
0|2021-10-29|52.729166666666664|0|50.666666666666664|0|92.60763888888887|0|28.89295138888889|0
0|2021-10-30|51.72222222222223|0|46.729166666666664|0|83.1875|0|28.92375000000001|0
0|2021-10-31|47.54414682539683|0|40.10168650793651|0|77.5|0|29.12277777777778|0
0|2021-11-01|45.083333333333336|0|27.875|0|51.166666666666664|0|29.447916666666675|0
0|2021-11-02|41.791666666666664|0|26.25|0|54.458333333333336|0|29.514999999999997|0
0|2021-11-03|38.21875|0|29.604166666666668|0|73.36458333333333|0|29.59468750000001|0
0|2021-11-04|40.708333333333336|0|30.375|0|68.25|0|29.561249999999987|0
0|2021-11-05|44.145833333333336|0|33.020833333333336|0|65.41666666666667|0|29.568333333333324|0
0|2021-11-06|43.541666666666664|0|33.416666666666664|0|68.83333333333333|0|29.44458333333333|0
0|2021-11-07|49.583333333333336|0|42.083333333333336|0|76.29166666666667|0|29.375000000000004|0
0|2021-11-08|50.0625|0|43.54861111111111|0|79.14583333333333|0|29.357499999999998|0
0|2021-11-09|49.368055555555564|0|38.86805555555556|0|70.29861111111111|0|29.42486111111111|0
0|2021-11-10|42.75|0|29.291666666666668|0|63.458333333333336|0|29.39125|0
0|2021-11-11|51.34375|0|42.75|0|73.21875|0|28.94916666666668|0
0|2021-11-12|39.35555555555556|0|33.43402777777778|0|80.3125|0|28.962215277777776|0
0|2021-11-13|39.291666666666664|0|31.541666666666668|0|74.78472222222223|0|29.09527777777777|0
0|2021-11-14|36.25347222222222|0|32.88263888888889|0|87.77708333333332|0|28.982249999999997|0
0|2021-11-15|36.916666666666664|0|26.916666666666668|0|67.875|0|29.297361111111112|0
0|2021-11-16|38.99305555555556|0|32.49305555555556|0|78.1875|0|29.29076388888889|0
0|2021-11-17|52.487500000000004|0|46.71805555555556|0|81.40694444444443|0|29.078319444444443|0
0|2021-11-18|36.885416666666664|0|25.309027777777782|0|63.02430555555555|0|29.346909722222225|0
0|2021-11-19|36.291666666666664|0|24.916666666666668|0|63.833333333333336|0|29.646666666666675|0
0|2021-11-20|38.25|0|28.8125|0|68.97916666666667|0|29.439583333333328|0
0|2021-11-21|40.958333333333336|0|32.395833333333336|0|72.97916666666667|0|29.252916666666668|0
0|2021-11-22|33.375|0|18.097222222222225|0|53.861111111111114|0|29.370972222222218|0
0|2021-11-23|32.791666666666664|0|19.458333333333332|0|59.333333333333336|0|29.40958333333333|0
0|2021-11-24|44.833333333333336|0|29.458333333333332|0|55.375|0|29.239583333333343|0
0|2021-11-25|41.11944444444444|0|36.68680555555556|0|84.42152777777777|0|29.259111111111114|0
0|2021-11-26|29.416666666666668|0|20.691666666666666|0|70.21388888888889|0|29.379576388888896|0
0|2021-11-27|30.020833333333332|0|23.753472222222218|0|78.08333333333333|0|29.14812500000001|0
0|2021-11-28|35.5|0|27.135416666666668|0|72.4375|0|29.192083333333333|0
0|2021-11-29|33.708333333333336|0|27.3125|0|79.09722222222221|0|29.240347222222223|0
0|2021-11-30|36.833333333333336|0|30.416666666666668|0|78.41666666666667|0|29.200625000000002|0
0|2021-12-01|40.020833333333336|0|34.8125|0|81.83333333333333|0|29.16541666666667|0
0|2021-12-02|47.166666666666664|0|35.0|0|63.291666666666664|0|29.03791666666666|0
0|2021-12-03|36.95138888888889|0|34.145833333333336|0|90.0486111111111|0|29.327833333333334|0
0|2021-12-04|39.1875|0|23.791666666666668|0|55.270833333333336|0|29.45958333333333|0
0|2021-12-05|35.08541666666667|0|27.40833333333333|0|75.17083333333333|0|29.189541666666667|0
0|2021-12-06|33.11736111111111|0|23.850694444444443|0|69.2701388888889|0|29.08834722222222|0
0|2021-12-07|21.990277777777777|0|12.987499999999999|0|68.76388888888889|0|29.42842361111111|0
0|2021-12-08|25.53125|0|20.07777777777778|0|80.01458333333333|0|29.232208333333332|0
0|2021-12-09|33.041666666666664|0|25.354166666666668|0|73.5625|0|29.12340277777778|0
0|2021-12-10|40.4375|0|35.02777777777778|0|81.44444444444444|0|29.044375|0
0|2021-12-11|43.95138888888889|0|36.38888888888889|0|75.61111111111111|0|28.78430555555556|0
0|2021-12-12|42.125|0|29.583333333333332|0|61.375|0|29.305000000000007|0
0|2021-12-13|40.333333333333336|0|32.208333333333336|0|73.45833333333333|0|29.44083333333334|0
0|2021-12-14|39.625|0|32.208333333333336|0|76.375|0|29.58833333333334|0
0|2021-12-15|55.6|0|51.00277777777777|0|84.93333333333334|0|29.175472222222222|0
0|2021-12-16|47.326388888888886|0|36.895833333333336|0|67.18055555555556|0|29.027013888888888|0
0|2021-12-17|35.041666666666664|0|23.916666666666668|0|64.125|0|29.442916666666665|0
0|2021-12-18|32.56944444444444|0|26.46875|0|78.67013888888889|0|29.34215277777778|0
0|2021-12-19|32.625|0|25.0|0|73.66666666666667|0|29.533541666666675|0
0|2021-12-20|35.458333333333336|0|27.833333333333332|0|74.08333333333333|0|29.37416666666667|0
0|2021-12-21|32.861111111111114|0|24.319444444444446|0|71.29861111111111|0|29.128194444444446|0
0|2021-12-22|24.944444444444443|0|16.118055555555557|0|69.3263888888889|0|29.23222222222223|0
0|2021-12-23|32.854166666666664|0|23.125|0|68.16666666666667|0|29.13937499999999|0
0|2021-12-24|43.322916666666664|0|40.90277777777778|0|91.76041666666667|0|28.895937500000002|0
0|2021-12-25|42.56944444444444|0|38.625|0|86.20833333333333|0|28.93388888888889|0
0|2021-12-26|31.458333333333332|0|24.5|0|76.20833333333333|0|29.323333333333338|0
0|2021-12-27|35.50843253968254|0|31.697420634920633|0|86.71626984126983|0|28.987728174603177|0
0|2021-12-28|32.33194444444444|0|26.741666666666664|0|80.52569444444444|0|29.050666666666675|0
0|2021-12-29|33.09444444444444|0|27.127777777777776|0|79.6138888888889|0|29.122250000000008|0
0|2021-12-30|29.88888888888889|0|25.614583333333332|0|84.44444444444444|0|29.1521875|0
0|2021-12-31|36.708333333333336|0|31.666666666666668|0|82.43055555555556|0|29.0126388888889|0
0|2022-01-01|32.763888888888886|0|30.280555555555555|0|90.98333333333333|0|28.999499999999994|0
0|2022-01-02|21.10625|0|12.816666666666668|0|71.00069444444445|0|29.369229166666667|0
0|2022-01-03|22.75|0|14.013888888888891|0|69.5|0|29.520625|0
0|2022-01-04|27.75|0|18.458333333333332|0|69.08333333333333|0|29.225000000000005|0
0|2022-01-05|26.95138888888889|0|21.689880952380957|0|81.08630952380952|0|28.856500992063488|0
0|2022-01-06|22.37013888888889|0|16.93125|0|79.70843253968253|0|29.18671031746032|0
0|2022-01-07|17.35833333333333|0|12.221527777777778|0|80.8673611111111|0|29.456888888888894|0
0|2022-01-08|20.25|0|13.333333333333334|0|75.41666666666667|0|29.41354166666667|0
0|2022-01-09|26.506944444444443|0|18.47222222222222|0|72.1875|0|29.43416666666666|0
0|2022-01-10|14.402777777777779|0|6.201388888888888|0|70.23611111111111|0|29.67378472222222|0
0|2022-01-11|20.083333333333332|0|10.416666666666666|0|66.88541666666667|0|29.51510416666667|0
0|2022-01-12|36.70138888888889|0|31.253472222222225|0|81.05208333333333|0|29.204826388888893|0
0|2022-01-13|33.40277777777778|0|28.319444444444443|0|81.6875|0|29.198055555555555|0
0|2022-01-14|23.8125|0|17.194444444444446|0|75.74305555555556|0|29.45437500000001|0
0|2022-01-15|13.5625|0|5.166666666666667|0|69.35416666666667|0|29.62666666666667|0
