|dates|Overton_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Overton_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Overton_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Overton_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Overton_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Overton_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Overton_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Overton_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4730.0|0|4730.0|0|79.0|0|0.0|100
0|2021-10-18|4748.0|0|4748.0|0|79.0|0|0.0|100
0|2021-10-19|4753.0|0|4753.0|0|79.0|0|0.0|100
0|2021-10-20|4763.0|0|4763.0|0|79.0|0|0.0|100
0|2021-10-21|4768.0|0|4768.0|0|80.0|0|0.0|100
0|2021-10-22|4769.0|0|4769.0|0|81.0|0|0.0|100
0|2021-10-23|4769.0|0|4769.0|0|81.0|0|0.0|100
0|2021-10-24|4769.0|0|4769.0|0|81.0|0|0.0|100
0|2021-10-25|4769.0|0|4769.0|0|81.0|0|0.0|100
0|2021-10-26|4781.0|0|4781.0|0|82.0|0|0.0|100
0|2021-10-27|4782.0|0|4782.0|0|82.0|0|0.0|100
0|2021-10-28|4786.0|0|4786.0|0|82.0|0|0.0|100
0|2021-10-29|4791.0|0|4791.0|0|82.0|0|0.0|100
0|2021-10-30|4791.0|0|4791.0|0|82.0|0|0.0|100
0|2021-10-31|4791.0|0|4791.0|0|82.0|0|0.0|100
0|2021-11-01|4791.0|0|4791.0|0|82.0|0|0.0|100
0|2021-11-02|4797.0|0|4797.0|0|82.0|0|0.0|100
0|2021-11-03|4802.0|0|4802.0|0|82.0|0|0.0|100
0|2021-11-04|4803.0|0|4803.0|0|82.0|0|0.0|100
0|2021-11-05|4804.0|0|4804.0|0|83.0|0|0.0|100
0|2021-11-06|4804.0|0|4804.0|0|83.0|0|0.0|100
0|2021-11-07|4804.0|0|4804.0|0|83.0|0|0.0|100
0|2021-11-08|4804.0|0|4804.0|0|83.0|0|0.0|100
0|2021-11-09|4824.0|0|4824.0|0|83.0|0|0.0|100
0|2021-11-10|4845.0|0|4845.0|0|83.0|0|0.0|100
0|2021-11-11|4845.0|0|4845.0|0|83.0|0|0.0|100
0|2021-11-12|4851.0|0|4851.0|0|83.0|0|0.0|100
0|2021-11-13|4851.0|0|4851.0|0|83.0|0|0.0|100
0|2021-11-14|4851.0|0|4851.0|0|83.0|0|0.0|100
0|2021-11-15|4858.0|0|4858.0|0|83.0|0|0.0|100
0|2021-11-16|4872.0|0|4872.0|0|83.0|0|0.0|100
