|dates|Petroleum_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Petroleum_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Petroleum_Montana_UnitedStates.Male_Total_Population.data|Petroleum_Montana_UnitedStates.Male_Total_Population.missing|Petroleum_Montana_UnitedStates.Female_Total_Population.data|Petroleum_Montana_UnitedStates.Female_Total_Population.missing|Petroleum_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|Petroleum_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-10-18|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-10-19|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-10-20|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-10-21|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-10-22|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-10-23|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-10-24|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-10-25|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-10-26|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-10-27|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-10-28|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-10-29|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-10-30|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-10-31|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-01|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-02|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-03|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-04|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-05|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-06|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-07|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-08|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-09|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-10|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-11|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-12|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-13|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-14|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-15|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-16|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-17|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-18|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-19|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-20|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-21|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-22|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-23|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-24|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-25|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-26|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-27|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-28|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-29|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-11-30|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-12-01|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-12-02|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-12-03|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-12-04|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-12-05|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-12-06|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-12-07|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-12-08|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-12-09|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-12-10|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-12-11|128.0|0|279.0|0|234.0|0|92.0|0
0|2021-12-12|128.0|0|279.0|0|234.0|0|92.0|0
