|dates|Pocahontas_Iowa_UnitedStates.JHU_ConfirmedCases.data|Pocahontas_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Pocahontas_Iowa_UnitedStates.NYT_ConfirmedCases.data|Pocahontas_Iowa_UnitedStates.NYT_ConfirmedCases.missing|Pocahontas_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Pocahontas_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Pocahontas_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Pocahontas_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1093.0|0|1093.0|0|23.0|0|0.0|100
0|2021-10-18|1093.0|0|1093.0|0|23.0|0|0.0|100
0|2021-10-19|1093.0|0|1093.0|0|23.0|0|0.0|100
0|2021-10-20|1114.0|0|1114.0|0|23.0|0|0.0|100
0|2021-10-21|1114.0|0|1114.0|0|23.0|0|0.0|100
0|2021-10-22|1114.0|0|1114.0|0|23.0|0|0.0|100
0|2021-10-23|1114.0|0|1114.0|0|23.0|0|0.0|100
0|2021-10-24|1114.0|0|1114.0|0|23.0|0|0.0|100
0|2021-10-25|1114.0|0|1114.0|0|23.0|0|0.0|100
0|2021-10-26|1114.0|0|1114.0|0|23.0|0|0.0|100
0|2021-10-27|1129.0|0|1130.0|0|24.0|0|0.0|100
0|2021-10-28|1129.0|0|1130.0|0|24.0|0|0.0|100
0|2021-10-29|1129.0|0|1130.0|0|24.0|0|0.0|100
0|2021-10-30|1129.0|0|1130.0|0|24.0|0|0.0|100
0|2021-10-31|1129.0|0|1130.0|0|24.0|0|0.0|100
0|2021-11-01|1129.0|0|1130.0|0|24.0|0|0.0|100
0|2021-11-02|1144.0|0|1130.0|0|24.0|0|0.0|100
0|2021-11-03|1144.0|0|1144.0|0|24.0|0|0.0|100
0|2021-11-04|1144.0|0|1144.0|0|24.0|0|0.0|100
0|2021-11-05|1144.0|0|1144.0|0|24.0|0|0.0|100
0|2021-11-06|1144.0|0|1144.0|0|24.0|0|0.0|100
0|2021-11-07|1144.0|0|1144.0|0|24.0|0|0.0|100
0|2021-11-08|1144.0|0|1144.0|0|24.0|0|0.0|100
0|2021-11-09|1144.0|0|1144.0|0|24.0|0|0.0|100
0|2021-11-10|1168.0|0|1170.0|0|24.0|0|0.0|100
0|2021-11-11|1168.0|0|1170.0|0|24.0|0|0.0|100
0|2021-11-12|1168.0|0|1170.0|0|24.0|0|0.0|100
0|2021-11-13|1168.0|0|1170.0|0|24.0|0|0.0|100
0|2021-11-14|1168.0|0|1170.0|0|24.0|0|0.0|100
0|2021-11-15|1168.0|0|1170.0|0|24.0|0|0.0|100
0|2021-11-16|1168.0|0|1170.0|0|24.0|0|0.0|100
0|2021-11-17|1184.0|0|1186.0|0|24.0|0|0.0|100
0|2021-11-18|1184.0|0|1186.0|0|24.0|0|0.0|100
0|2021-11-19|1184.0|0|1186.0|0|24.0|0|0.0|100
0|2021-11-20|1184.0|0|1186.0|0|24.0|0|0.0|100
0|2021-11-21|1184.0|0|1186.0|0|24.0|0|0.0|100
0|2021-11-22|1184.0|0|1186.0|0|24.0|0|0.0|100
0|2021-11-23|1184.0|0|1186.0|0|24.0|0|0.0|100
0|2021-11-24|1207.0|0|1209.0|0|24.0|0|0.0|100
0|2021-11-25|1207.0|0|1209.0|0|24.0|0|0.0|100
0|2021-11-26|1207.0|0|1209.0|0|24.0|0|0.0|100
0|2021-11-27|1207.0|0|1209.0|0|24.0|0|0.0|100
0|2021-11-28|1207.0|0|1209.0|0|24.0|0|0.0|100
0|2021-11-29|1207.0|0|1209.0|0|24.0|0|0.0|100
0|2021-11-30|1207.0|0|1209.0|0|24.0|0|0.0|100
0|2021-12-01|1221.0|0|1224.0|0|25.0|0|0.0|100
0|2021-12-02|1221.0|0|1224.0|0|25.0|0|0.0|100
0|2021-12-03|1221.0|0|1224.0|0|25.0|0|0.0|100
0|2021-12-04|1221.0|0|1224.0|0|25.0|0|0.0|100
0|2021-12-05|1221.0|0|1224.0|0|25.0|0|0.0|100
0|2021-12-06|1221.0|0|1224.0|0|25.0|0|0.0|100
0|2021-12-07|1221.0|0|1224.0|0|25.0|0|0.0|100
0|2021-12-08|1232.0|0|1233.0|0|25.0|0|0.0|100
0|2021-12-09|1232.0|0|1233.0|0|25.0|0|0.0|100
0|2021-12-10|1243.0|0|1233.0|0|25.0|0|0.0|100
0|2021-12-11|1243.0|0|1233.0|0|25.0|0|0.0|100
0|2021-12-12|1243.0|0|1233.0|0|25.0|0|0.0|100
0|2021-12-13|1243.0|0|1233.0|0|25.0|0|0.0|100
0|2021-12-14|1243.0|0|1233.0|0|25.0|0|0.0|100
0|2021-12-15|1259.0|0|1260.0|0|25.0|0|0.0|100
0|2021-12-16|1259.0|0|1260.0|0|25.0|0|0.0|100
0|2021-12-17|1259.0|0|1260.0|0|25.0|0|0.0|100
0|2021-12-18|1259.0|0|1260.0|0|25.0|0|0.0|100
0|2021-12-19|1259.0|0|1260.0|0|25.0|0|0.0|100
0|2021-12-20|1259.0|0|1260.0|0|25.0|0|0.0|100
0|2021-12-21|1259.0|0|1260.0|0|25.0|0|0.0|100
0|2021-12-22|1278.0|0|1278.0|0|25.0|0|0.0|100
0|2021-12-23|1278.0|0|1278.0|0|25.0|0|0.0|100
0|2021-12-24|1278.0|0|1278.0|0|25.0|0|0.0|100
0|2021-12-25|1278.0|0|1278.0|0|25.0|0|0.0|100
0|2021-12-26|1278.0|0|1278.0|0|25.0|0|0.0|100
0|2021-12-27|1278.0|0|1278.0|0|25.0|0|0.0|100
0|2021-12-28|1278.0|0|1278.0|0|25.0|0|0.0|100
