|dates|PresqueIsle_Michigan_UnitedStates.JHU_ConfirmedCases.data|PresqueIsle_Michigan_UnitedStates.JHU_ConfirmedCases.missing|PresqueIsle_Michigan_UnitedStates.NYT_ConfirmedCases.data|PresqueIsle_Michigan_UnitedStates.NYT_ConfirmedCases.missing|PresqueIsle_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|PresqueIsle_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|PresqueIsle_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|PresqueIsle_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1311.0|0|1311.0|0|36.0|0|0.0|100
0|2021-10-18|1328.0|0|1328.0|0|36.0|0|0.0|100
0|2021-10-19|1328.0|0|1328.0|0|36.0|0|0.0|100
0|2021-10-20|1339.0|0|1339.0|0|36.0|0|0.0|100
0|2021-10-21|1339.0|0|1339.0|0|36.0|0|0.0|100
0|2021-10-22|1347.0|0|1347.0|0|37.0|0|0.0|100
0|2021-10-23|1347.0|0|1347.0|0|37.0|0|0.0|100
0|2021-10-24|1347.0|0|1347.0|0|37.0|0|0.0|100
0|2021-10-25|1353.0|0|1353.0|0|38.0|0|0.0|100
0|2021-10-26|1353.0|0|1353.0|0|38.0|0|0.0|100
0|2021-10-27|1373.0|0|1373.0|0|39.0|0|0.0|100
0|2021-10-28|1373.0|0|1373.0|0|39.0|0|0.0|100
0|2021-10-29|1388.0|0|1388.0|0|39.0|0|0.0|100
0|2021-10-30|1388.0|0|1388.0|0|39.0|0|0.0|100
0|2021-10-31|1388.0|0|1388.0|0|39.0|0|0.0|100
0|2021-11-01|1400.0|0|1400.0|0|39.0|0|0.0|100
0|2021-11-02|1400.0|0|1400.0|0|39.0|0|0.0|100
0|2021-11-03|1410.0|0|1410.0|0|39.0|0|0.0|100
0|2021-11-04|1410.0|0|1410.0|0|39.0|0|0.0|100
0|2021-11-05|1431.0|0|1431.0|0|39.0|0|0.0|100
0|2021-11-06|1431.0|0|1431.0|0|39.0|0|0.0|100
0|2021-11-07|1431.0|0|1431.0|0|39.0|0|0.0|100
0|2021-11-08|1450.0|0|1450.0|0|39.0|0|0.0|100
0|2021-11-09|1450.0|0|1450.0|0|39.0|0|0.0|100
0|2021-11-10|1450.0|0|1468.0|0|39.0|0|0.0|100
0|2021-11-11|1468.0|0|1468.0|0|41.0|0|0.0|100
0|2021-11-12|1494.0|0|1494.0|0|41.0|0|0.0|100
0|2021-11-13|1494.0|0|1494.0|0|41.0|0|0.0|100
0|2021-11-14|1494.0|0|1494.0|0|41.0|0|0.0|100
0|2021-11-15|1518.0|0|1518.0|0|41.0|0|0.0|100
0|2021-11-16|1518.0|0|1518.0|0|41.0|0|0.0|100
0|2021-11-17|1539.0|0|1539.0|0|43.0|0|0.0|100
0|2021-11-18|1539.0|0|1539.0|0|43.0|0|0.0|100
0|2021-11-19|1562.0|0|1562.0|0|43.0|0|0.0|100
0|2021-11-20|1562.0|0|1562.0|0|43.0|0|0.0|100
0|2021-11-21|1562.0|0|1562.0|0|43.0|0|0.0|100
0|2021-11-22|1577.0|0|1577.0|0|43.0|0|0.0|100
0|2021-11-23|1577.0|0|1577.0|0|43.0|0|0.0|100
0|2021-11-24|1585.0|0|1585.0|0|45.0|0|0.0|100
0|2021-11-25|1585.0|0|1585.0|0|45.0|0|0.0|100
0|2021-11-26|1585.0|0|1585.0|0|45.0|0|0.0|100
0|2021-11-27|1585.0|0|1585.0|0|45.0|0|0.0|100
0|2021-11-28|1585.0|0|1585.0|0|45.0|0|0.0|100
0|2021-11-29|1602.0|0|1602.0|0|46.0|0|0.0|100
0|2021-11-30|1602.0|0|1602.0|0|46.0|0|0.0|100
0|2021-12-01|1613.0|0|1613.0|0|46.0|0|0.0|100
0|2021-12-02|1613.0|0|1613.0|0|46.0|0|0.0|100
0|2021-12-03|1634.0|0|1634.0|0|48.0|0|0.0|100
0|2021-12-04|1634.0|0|1634.0|0|48.0|0|0.0|100
0|2021-12-05|1634.0|0|1634.0|0|48.0|0|0.0|100
0|2021-12-06|1651.0|0|1651.0|0|48.0|0|0.0|100
0|2021-12-07|1651.0|0|1651.0|0|48.0|0|0.0|100
0|2021-12-08|1657.0|0|1657.0|0|49.0|0|0.0|100
0|2021-12-09|1657.0|0|1657.0|0|49.0|0|0.0|100
0|2021-12-10|1674.0|0|1674.0|0|50.0|0|0.0|100
0|2021-12-11|1674.0|0|1674.0|0|50.0|0|0.0|100
0|2021-12-12|1674.0|0|1674.0|0|50.0|0|0.0|100
0|2021-12-13|1682.0|0|1682.0|0|50.0|0|0.0|100
0|2021-12-14|1682.0|0|1682.0|0|50.0|0|0.0|100
0|2021-12-15|1696.0|0|1696.0|0|50.0|0|0.0|100
0|2021-12-16|1696.0|0|1696.0|0|50.0|0|0.0|100
0|2021-12-17|1704.0|0|1704.0|0|50.0|0|0.0|100
0|2021-12-18|1704.0|0|1704.0|0|50.0|0|0.0|100
0|2021-12-19|1704.0|0|1704.0|0|50.0|0|0.0|100
0|2021-12-20|1716.0|0|1716.0|0|50.0|0|0.0|100
0|2021-12-21|1716.0|0|1716.0|0|50.0|0|0.0|100
0|2021-12-22|1718.0|0|1718.0|0|50.0|0|0.0|100
0|2021-12-23|1718.0|0|1718.0|0|50.0|0|0.0|100
0|2021-12-24|1718.0|0|1718.0|0|50.0|0|0.0|100
0|2021-12-25|1718.0|0|1718.0|0|50.0|0|0.0|100
0|2021-12-26|1718.0|0|1718.0|0|50.0|0|0.0|100
0|2021-12-27|1732.0|0|1732.0|0|50.0|0|0.0|100
0|2021-12-28|1732.0|0|1732.0|0|50.0|0|0.0|100
0|2021-12-29|1738.0|0|1738.0|0|51.0|0|0.0|100
0|2021-12-30|1738.0|0|1738.0|0|51.0|0|0.0|100
0|2021-12-31|1738.0|0|1738.0|0|51.0|0|0.0|100
0|2022-01-01|1738.0|0|1738.0|0|51.0|0|0.0|100
0|2022-01-02|1738.0|0|1738.0|0|51.0|0|0.0|100
0|2022-01-03|1765.0|0|1765.0|0|51.0|0|0.0|100
0|2022-01-04|1765.0|0|1765.0|0|51.0|0|0.0|100
0|2022-01-05|1780.0|0|1780.0|0|52.0|0|0.0|100
0|2022-01-06|1780.0|0|1780.0|0|52.0|0|0.0|100
0|2022-01-07|1796.0|0|1796.0|0|52.0|0|0.0|100
0|2022-01-08|1796.0|0|1796.0|0|52.0|0|0.0|100
0|2022-01-09|1796.0|0|1796.0|0|52.0|0|0.0|100
0|2022-01-10|1813.0|0|1813.0|0|52.0|0|0.0|100
0|2022-01-11|1813.0|0|1813.0|0|52.0|0|0.0|100
0|2022-01-12|1826.0|0|1826.0|0|52.0|0|0.0|100
0|2022-01-13|1826.0|0|1826.0|0|52.0|0|0.0|100
0|2022-01-14|1836.0|0|1836.0|0|52.0|0|0.0|100
0|2022-01-15|1836.0|0|1836.0|0|52.0|0|0.0|100
0|2022-01-16|1836.0|0|1836.0|0|52.0|0|0.0|100
0|2022-01-17|1836.0|0|0.0|100|52.0|0|0.0|100
