|dates|PrinceWilliam_Virginia_UnitedStates.AverageDailyTemperature.data|PrinceWilliam_Virginia_UnitedStates.AverageDailyTemperature.missing|PrinceWilliam_Virginia_UnitedStates.AverageDewPoint.data|PrinceWilliam_Virginia_UnitedStates.AverageDewPoint.missing|PrinceWilliam_Virginia_UnitedStates.AverageRelativeHumidity.data|PrinceWilliam_Virginia_UnitedStates.AverageRelativeHumidity.missing|PrinceWilliam_Virginia_UnitedStates.AverageSurfaceAirPressure.data|PrinceWilliam_Virginia_UnitedStates.AverageSurfaceAirPressure.missing
0|2021-10-17|54.0|0|41.833333333333336|0|66.5625|0|29.770625|0
0|2021-10-18|52.666666666666664|0|40.083333333333336|0|68.39583333333333|0|29.808750000000003|0
0|2021-10-19|53.104166666666664|0|43.291666666666664|0|74.77083333333333|0|29.924583333333327|0
0|2021-10-20|57.666666666666664|0|47.6875|0|75.20833333333333|0|29.931458333333328|0
0|2021-10-21|59.95138888888889|0|50.3125|0|74.08333333333333|0|29.7823611111111|0
0|2021-10-22|61.666666666666664|0|50.541666666666664|0|68.54166666666667|0|27.249583333333334|0
0|2021-10-23|56.583333333333336|0|48.25|0|75.91666666666667|0|29.793333333333337|0
0|2021-10-24|59.416666666666664|0|52.0|0|77.91666666666667|0|29.90208333333334|0
0|2021-10-25|65.03888888888889|0|58.82152777777778|0|81.91388888888889|0|29.64634722222222|0
0|2021-10-26|57.93194444444445|0|48.125|0|71.51666666666667|0|29.413736111111117|0
0|2021-10-27|59.25|0|47.416666666666664|0|65.5625|0|29.586249999999996|0
0|2021-10-28|56.13194444444445|0|49.8125|0|80.48611111111111|0|29.690902777777776|0
0|2021-10-29|57.987500000000004|0|56.12291666666667|0|93.70347222222222|0|29.366888888888877|0
0|2021-10-30|56.506944444444436|0|52.21527777777778|0|86.0625|0|29.344513888888887|0
0|2021-10-31|55.830555555555556|0|49.50833333333333|0|81.49444444444445|0|29.530680555555552|0
0|2021-11-01|52.854166666666664|0|41.0|0|67.64583333333333|0|29.931874999999994|0
0|2021-11-02|45.069444444444436|0|42.97569444444445|0|92.1875|0|30.044791666666665|0
0|2021-11-03|40.20034722222222|0|31.871180555555554|0|77.09375|0|30.11078819444444|0
0|2021-11-04|39.645833333333336|0|31.916666666666668|0|77.5625|0|30.107291666666658|0
0|2021-11-05|37.791666666666664|0|27.166666666666668|0|70.625|0|30.154999999999998|0
0|2021-11-06|40.166666666666664|0|29.666666666666668|0|70.08333333333333|0|30.13666666666667|0
0|2021-11-07|41.916666666666664|0|32.958333333333336|0|73.83333333333333|0|28.729583333333334|0
0|2021-11-08|46.833333333333336|0|36.708333333333336|0|73.25|0|29.980833333333333|0
0|2021-11-09|49.75|0|39.041666666666664|0|74.125|0|28.688333333333336|0
0|2021-11-10|54.166666666666664|0|45.166666666666664|0|76.16666666666667|0|29.928750000000004|0
0|2021-11-11|55.11111111111111|0|49.416666666666664|0|81.97222222222221|0|29.927916666666672|0
0|2021-11-12|55.61111111111111|0|48.854166666666664|0|81.10416666666667|0|29.731111111111115|0
0|2021-11-13|41.80555555555556|0|33.166666666666664|0|74.44444444444444|0|29.687916666666666|0
0|2021-11-14|37.25|0|28.625|0|73.54166666666667|0|29.72875|0
0|2021-11-15|41.25|0|27.291666666666668|0|59.541666666666664|0|29.799166666666668|0
0|2021-11-16|38.895833333333336|0|30.75|0|75.29166666666667|0|29.999166666666657|0
0|2021-11-17|46.291666666666664|0|39.125|0|78.29166666666667|0|29.98833333333333|0
0|2021-11-18|56.72222222222222|0|44.29861111111111|0|66.97222222222221|0|29.853541666666672|0
0|2021-11-19|40.333333333333336|0|22.875|0|51.75|0|30.19208333333334|0
0|2021-11-20|33.125|0|25.375|0|75.70833333333333|0|30.294166666666673|0
0|2021-11-21|41.416666666666664|0|31.416666666666668|0|70.1875|0|29.993750000000006|0
0|2021-11-22|44.083333333333336|0|32.708333333333336|0|68.58333333333333|0|29.74833333333334|0
0|2021-11-23|32.916666666666664|0|18.375|0|58.541666666666664|0|29.965000000000003|0
0|2021-11-24|31.5625|0|21.229166666666668|0|70.5|0|30.153750000000002|0
0|2021-11-25|41.375|0|29.291666666666668|0|66.58333333333333|0|29.839583333333334|0
0|2021-11-26|40.56944444444444|0|27.194444444444443|0|61.694444444444436|0|29.676944444444445|0
0|2021-11-27|37.583333333333336|0|20.5|0|50.916666666666664|0|29.800833333333333|0
