|dates|Putnam_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Putnam_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Putnam_WestVirginia_UnitedStates.NYT_ConfirmedCases.data|Putnam_WestVirginia_UnitedStates.NYT_ConfirmedCases.missing|Putnam_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Putnam_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Putnam_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Putnam_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8492.0|0|8492.0|0|116.0|0|0.0|100
0|2021-10-18|8519.0|0|8519.0|0|117.0|0|0.0|100
0|2021-10-19|8546.0|0|8546.0|0|119.0|0|0.0|100
0|2021-10-20|8568.0|0|8568.0|0|119.0|0|0.0|100
0|2021-10-21|8600.0|0|8600.0|0|119.0|0|0.0|100
0|2021-10-22|8634.0|0|8634.0|0|121.0|0|0.0|100
0|2021-10-23|8651.0|0|8651.0|0|121.0|0|0.0|100
0|2021-10-24|8667.0|0|8667.0|0|121.0|0|0.0|100
0|2021-10-25|8709.0|0|8709.0|0|123.0|0|0.0|100
0|2021-10-26|8747.0|0|8747.0|0|123.0|0|0.0|100
0|2021-10-27|8793.0|0|8793.0|0|123.0|0|0.0|100
0|2021-10-28|8828.0|0|8828.0|0|124.0|0|0.0|100
0|2021-10-29|8862.0|0|8862.0|0|124.0|0|0.0|100
0|2021-10-30|8903.0|0|8903.0|0|124.0|0|0.0|100
0|2021-10-31|8922.0|0|8922.0|0|124.0|0|0.0|100
0|2021-11-01|8941.0|0|8941.0|0|125.0|0|0.0|100
0|2021-11-02|8964.0|0|8964.0|0|125.0|0|0.0|100
0|2021-11-03|9002.0|0|9002.0|0|125.0|0|0.0|100
0|2021-11-04|9028.0|0|9028.0|0|125.0|0|0.0|100
0|2021-11-05|9057.0|0|9057.0|0|125.0|0|0.0|100
0|2021-11-06|9091.0|0|9091.0|0|125.0|0|0.0|100
0|2021-11-07|9113.0|0|9113.0|0|125.0|0|0.0|100
0|2021-11-08|9131.0|0|9131.0|0|125.0|0|0.0|100
0|2021-11-09|9146.0|0|9146.0|0|125.0|0|0.0|100
0|2021-11-10|9191.0|0|9191.0|0|125.0|0|0.0|100
0|2021-11-11|9242.0|0|9242.0|0|125.0|0|0.0|100
0|2021-11-12|9273.0|0|9273.0|0|125.0|0|0.0|100
0|2021-11-13|9309.0|0|9309.0|0|125.0|0|0.0|100
0|2021-11-14|9325.0|0|9325.0|0|125.0|0|0.0|100
0|2021-11-15|9340.0|0|9340.0|0|128.0|0|0.0|100
0|2021-11-16|9352.0|0|9352.0|0|128.0|0|0.0|100
0|2021-11-17|9395.0|0|9395.0|0|129.0|0|0.0|100
0|2021-11-18|9435.0|0|9435.0|0|132.0|0|0.0|100
0|2021-11-19|9463.0|0|9463.0|0|132.0|0|0.0|100
0|2021-11-20|9496.0|0|9496.0|0|132.0|0|0.0|100
0|2021-11-21|9524.0|0|9524.0|0|132.0|0|0.0|100
0|2021-11-22|9537.0|0|9537.0|0|132.0|0|0.0|100
0|2021-11-23|9589.0|0|9589.0|0|134.0|0|0.0|100
0|2021-11-24|9613.0|0|9613.0|0|136.0|0|0.0|100
0|2021-11-25|9613.0|0|9613.0|0|136.0|0|0.0|100
0|2021-11-26|9613.0|0|9613.0|0|136.0|0|0.0|100
0|2021-11-27|9613.0|0|9613.0|0|136.0|0|0.0|100
0|2021-11-28|9613.0|0|9613.0|0|136.0|0|0.0|100
0|2021-11-29|9699.0|0|9699.0|0|136.0|0|0.0|100
0|2021-11-30|9725.0|0|9725.0|0|138.0|0|0.0|100
0|2021-12-01|9755.0|0|9755.0|0|140.0|0|0.0|100
0|2021-12-02|9790.0|0|9790.0|0|141.0|0|0.0|100
0|2021-12-03|9808.0|0|9808.0|0|141.0|0|0.0|100
0|2021-12-04|9837.0|0|9837.0|0|141.0|0|0.0|100
0|2021-12-05|9868.0|0|9868.0|0|141.0|0|0.0|100
0|2021-12-06|9888.0|0|9888.0|0|142.0|0|0.0|100
0|2021-12-07|9903.0|0|9903.0|0|143.0|0|0.0|100
0|2021-12-08|9930.0|0|9930.0|0|143.0|0|0.0|100
0|2021-12-09|9958.0|0|9958.0|0|143.0|0|0.0|100
0|2021-12-10|10005.0|0|10005.0|0|144.0|0|0.0|100
0|2021-12-11|10047.0|0|10047.0|0|144.0|0|0.0|100
0|2021-12-12|10074.0|0|10074.0|0|144.0|0|0.0|100
0|2021-12-13|10094.0|0|10094.0|0|144.0|0|0.0|100
0|2021-12-14|10094.0|0|10124.0|0|144.0|0|0.0|100
0|2021-12-15|10145.0|0|10145.0|0|144.0|0|0.0|100
0|2021-12-16|10172.0|0|10172.0|0|144.0|0|0.0|100
0|2021-12-17|10202.0|0|10202.0|0|144.0|0|0.0|100
0|2021-12-18|10239.0|0|10239.0|0|144.0|0|0.0|100
0|2021-12-19|10263.0|0|10263.0|0|144.0|0|0.0|100
0|2021-12-20|10289.0|0|10289.0|0|144.0|0|0.0|100
0|2021-12-21|10308.0|0|10308.0|0|145.0|0|0.0|100
0|2021-12-22|10338.0|0|10338.0|0|145.0|0|0.0|100
0|2021-12-23|10401.0|0|10401.0|0|146.0|0|0.0|100
0|2021-12-24|10401.0|0|10401.0|0|146.0|0|0.0|100
0|2021-12-25|10401.0|0|10401.0|0|146.0|0|0.0|100
0|2021-12-26|10401.0|0|10401.0|0|146.0|0|0.0|100
0|2021-12-27|10523.0|0|10523.0|0|146.0|0|0.0|100
0|2021-12-28|10549.0|0|10549.0|0|146.0|0|0.0|100
0|2021-12-29|10623.0|0|10623.0|0|146.0|0|0.0|100
0|2021-12-30|10690.0|0|10690.0|0|147.0|0|0.0|100
0|2021-12-31|10690.0|0|10690.0|0|147.0|0|0.0|100
0|2022-01-01|10690.0|0|10690.0|0|147.0|0|0.0|100
0|2022-01-02|10690.0|0|10690.0|0|147.0|0|0.0|100
0|2022-01-03|10972.0|0|10972.0|0|147.0|0|0.0|100
0|2022-01-04|11030.0|0|11030.0|0|147.0|0|0.0|100
0|2022-01-05|11121.0|0|11121.0|0|147.0|0|0.0|100
0|2022-01-06|11264.0|0|11264.0|0|147.0|0|0.0|100
0|2022-01-07|11455.0|0|11455.0|0|147.0|0|0.0|100
0|2022-01-08|11603.0|0|11603.0|0|147.0|0|0.0|100
0|2022-01-09|11654.0|0|11654.0|0|147.0|0|0.0|100
0|2022-01-10|11718.0|0|11718.0|0|147.0|0|0.0|100
0|2022-01-11|11786.0|0|11786.0|0|147.0|0|0.0|100
0|2022-01-12|11943.0|0|11943.0|0|148.0|0|0.0|100
0|2022-01-13|11943.0|0|12264.0|0|148.0|0|0.0|100
0|2022-01-14|11943.0|0|12419.0|0|148.0|0|0.0|100
0|2022-01-15|12663.0|0|12663.0|0|148.0|0|0.0|100
0|2022-01-16|12782.0|0|12782.0|0|148.0|0|0.0|100
0|2022-01-17|12887.0|0|0.0|100|148.0|0|0.0|100
