|dates|Rains_Texas_UnitedStates.JHU_ConfirmedCases.data|Rains_Texas_UnitedStates.JHU_ConfirmedCases.missing|Rains_Texas_UnitedStates.NYT_ConfirmedCases.data|Rains_Texas_UnitedStates.NYT_ConfirmedCases.missing|Rains_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Rains_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Rains_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Rains_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1500.0|0|1500.0|0|39.0|0|0.0|100
0|2021-10-18|1500.0|0|1500.0|0|39.0|0|0.0|100
0|2021-10-19|1504.0|0|1504.0|0|40.0|0|0.0|100
0|2021-10-20|1504.0|0|1504.0|0|42.0|0|0.0|100
0|2021-10-21|1504.0|0|1504.0|0|42.0|0|0.0|100
0|2021-10-22|1504.0|0|1504.0|0|43.0|0|0.0|100
0|2021-10-23|1504.0|0|1504.0|0|44.0|0|0.0|100
0|2021-10-24|1507.0|0|1507.0|0|44.0|0|0.0|100
0|2021-10-25|1507.0|0|1507.0|0|44.0|0|0.0|100
0|2021-10-26|1512.0|0|1512.0|0|45.0|0|0.0|100
0|2021-10-27|1512.0|0|1512.0|0|45.0|0|0.0|100
0|2021-10-28|1512.0|0|1512.0|0|46.0|0|0.0|100
0|2021-10-29|1515.0|0|1515.0|0|46.0|0|0.0|100
0|2021-10-30|1515.0|0|1515.0|0|46.0|0|0.0|100
0|2021-10-31|1515.0|0|1515.0|0|46.0|0|0.0|100
0|2021-11-01|1515.0|0|1515.0|0|46.0|0|0.0|100
0|2021-11-02|1521.0|0|1521.0|0|47.0|0|0.0|100
0|2021-11-03|1521.0|0|1521.0|0|47.0|0|0.0|100
0|2021-11-04|1521.0|0|1521.0|0|47.0|0|0.0|100
0|2021-11-05|1524.0|0|1524.0|0|47.0|0|0.0|100
0|2021-11-06|1524.0|0|1524.0|0|47.0|0|0.0|100
0|2021-11-07|1524.0|0|1524.0|0|47.0|0|0.0|100
0|2021-11-08|1524.0|0|1524.0|0|47.0|0|0.0|100
0|2021-11-09|1528.0|0|1528.0|0|47.0|0|0.0|100
0|2021-11-10|1528.0|0|1528.0|0|47.0|0|0.0|100
0|2021-11-11|1528.0|0|1528.0|0|47.0|0|0.0|100
0|2021-11-12|1528.0|0|1528.0|0|47.0|0|0.0|100
0|2021-11-13|1528.0|0|1528.0|0|47.0|0|0.0|100
0|2021-11-14|1528.0|0|1528.0|0|47.0|0|0.0|100
0|2021-11-15|1528.0|0|1528.0|0|47.0|0|0.0|100
0|2021-11-16|1531.0|0|1531.0|0|47.0|0|0.0|100
0|2021-11-17|1531.0|0|1531.0|0|47.0|0|0.0|100
0|2021-11-18|1531.0|0|1531.0|0|48.0|0|0.0|100
0|2021-11-19|1531.0|0|1531.0|0|48.0|0|0.0|100
0|2021-11-20|1531.0|0|1531.0|0|48.0|0|0.0|100
0|2021-11-21|1531.0|0|1531.0|0|48.0|0|0.0|100
0|2021-11-22|1531.0|0|1531.0|0|48.0|0|0.0|100
0|2021-11-23|1532.0|0|1532.0|0|48.0|0|0.0|100
0|2021-11-24|1532.0|0|1532.0|0|48.0|0|0.0|100
0|2021-11-25|1532.0|0|1532.0|0|48.0|0|0.0|100
0|2021-11-26|1532.0|0|1532.0|0|48.0|0|0.0|100
0|2021-11-27|1532.0|0|1532.0|0|48.0|0|0.0|100
0|2021-11-28|1532.0|0|1532.0|0|48.0|0|0.0|100
0|2021-11-29|1534.0|0|1534.0|0|48.0|0|0.0|100
0|2021-11-30|1535.0|0|1535.0|0|48.0|0|0.0|100
0|2021-12-01|1535.0|0|1535.0|0|48.0|0|0.0|100
0|2021-12-02|1535.0|0|1535.0|0|48.0|0|0.0|100
0|2021-12-03|1536.0|0|1536.0|0|48.0|0|0.0|100
0|2021-12-04|1537.0|0|1537.0|0|48.0|0|0.0|100
0|2021-12-05|1537.0|0|1537.0|0|48.0|0|0.0|100
0|2021-12-06|1539.0|0|1539.0|0|49.0|0|0.0|100
0|2021-12-07|1539.0|0|1539.0|0|49.0|0|0.0|100
0|2021-12-08|1539.0|0|1539.0|0|49.0|0|0.0|100
0|2021-12-09|1539.0|0|1539.0|0|49.0|0|0.0|100
0|2021-12-10|1542.0|0|1542.0|0|49.0|0|0.0|100
0|2021-12-11|1542.0|0|1542.0|0|49.0|0|0.0|100
0|2021-12-12|1542.0|0|1542.0|0|49.0|0|0.0|100
0|2021-12-13|1545.0|0|1545.0|0|49.0|0|0.0|100
0|2021-12-14|1545.0|0|1546.0|0|49.0|0|0.0|100
0|2021-12-15|1546.0|0|1546.0|0|49.0|0|0.0|100
0|2021-12-16|1546.0|0|1546.0|0|49.0|0|0.0|100
0|2021-12-17|1546.0|0|1546.0|0|49.0|0|0.0|100
0|2021-12-18|1546.0|0|1546.0|0|49.0|0|0.0|100
0|2021-12-19|1546.0|0|1546.0|0|49.0|0|0.0|100
0|2021-12-20|1546.0|0|1546.0|0|49.0|0|0.0|100
0|2021-12-21|1672.0|0|1672.0|0|49.0|0|0.0|100
0|2021-12-22|1672.0|0|1672.0|0|49.0|0|0.0|100
0|2021-12-23|1672.0|0|1672.0|0|49.0|0|0.0|100
0|2021-12-24|1672.0|0|1672.0|0|49.0|0|0.0|100
0|2021-12-25|1672.0|0|1672.0|0|49.0|0|0.0|100
0|2021-12-26|1672.0|0|1672.0|0|49.0|0|0.0|100
0|2021-12-27|1674.0|0|1674.0|0|49.0|0|0.0|100
0|2021-12-28|1675.0|0|1675.0|0|49.0|0|0.0|100
0|2021-12-29|1675.0|0|1675.0|0|49.0|0|0.0|100
0|2021-12-30|1677.0|0|1677.0|0|49.0|0|0.0|100
0|2021-12-31|1677.0|0|1677.0|0|49.0|0|0.0|100
0|2022-01-01|1677.0|0|1677.0|0|49.0|0|0.0|100
0|2022-01-02|1677.0|0|1677.0|0|49.0|0|0.0|100
0|2022-01-03|1705.0|0|1705.0|0|49.0|0|0.0|100
0|2022-01-04|1716.0|0|1716.0|0|49.0|0|0.0|100
