|dates|Ransom_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Ransom_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Ransom_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|Ransom_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|Ransom_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Ransom_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Ransom_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Ransom_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|913.0|0|913.0|0|19.0|0|0.0|100
0|2021-10-18|913.0|0|913.0|0|19.0|0|0.0|100
0|2021-10-19|916.0|0|916.0|0|19.0|0|0.0|100
0|2021-10-20|915.0|0|915.0|0|19.0|0|0.0|100
0|2021-10-21|916.0|0|916.0|0|19.0|0|0.0|100
0|2021-10-22|916.0|0|916.0|0|19.0|0|0.0|100
0|2021-10-23|919.0|0|919.0|0|19.0|0|0.0|100
0|2021-10-24|919.0|0|919.0|0|19.0|0|0.0|100
0|2021-10-25|919.0|0|919.0|0|19.0|0|0.0|100
0|2021-10-26|920.0|0|920.0|0|19.0|0|0.0|100
0|2021-10-27|923.0|0|923.0|0|19.0|0|0.0|100
0|2021-10-28|923.0|0|923.0|0|20.0|0|0.0|100
0|2021-10-29|925.0|0|925.0|0|20.0|0|0.0|100
0|2021-10-30|925.0|0|925.0|0|20.0|0|0.0|100
0|2021-10-31|926.0|0|926.0|0|20.0|0|0.0|100
0|2021-11-01|926.0|0|926.0|0|20.0|0|0.0|100
0|2021-11-02|927.0|0|927.0|0|20.0|0|0.0|100
0|2021-11-03|930.0|0|930.0|0|20.0|0|0.0|100
0|2021-11-04|931.0|0|931.0|0|20.0|0|0.0|100
0|2021-11-05|934.0|0|934.0|0|20.0|0|0.0|100
0|2021-11-06|934.0|0|934.0|0|20.0|0|0.0|100
0|2021-11-07|936.0|0|936.0|0|20.0|0|0.0|100
0|2021-11-08|938.0|0|938.0|0|20.0|0|0.0|100
0|2021-11-09|939.0|0|939.0|0|20.0|0|0.0|100
0|2021-11-10|939.0|0|939.0|0|20.0|0|0.0|100
0|2021-11-11|939.0|0|939.0|0|20.0|0|0.0|100
0|2021-11-12|940.0|0|940.0|0|20.0|0|0.0|100
0|2021-11-13|942.0|0|942.0|0|20.0|0|0.0|100
0|2021-11-14|942.0|0|942.0|0|20.0|0|0.0|100
0|2021-11-15|943.0|0|943.0|0|20.0|0|0.0|100
0|2021-11-16|953.0|0|953.0|0|20.0|0|0.0|100
0|2021-11-17|955.0|0|955.0|0|20.0|0|0.0|100
0|2021-11-18|955.0|0|955.0|0|20.0|0|0.0|100
0|2021-11-19|955.0|0|955.0|0|20.0|0|0.0|100
0|2021-11-20|959.0|0|959.0|0|20.0|0|0.0|100
0|2021-11-21|959.0|0|959.0|0|20.0|0|0.0|100
0|2021-11-22|959.0|0|959.0|0|20.0|0|0.0|100
0|2021-11-23|965.0|0|965.0|0|20.0|0|0.0|100
0|2021-11-24|968.0|0|968.0|0|20.0|0|0.0|100
0|2021-11-25|976.0|0|976.0|0|21.0|0|0.0|100
0|2021-11-26|979.0|0|979.0|0|21.0|0|0.0|100
0|2021-11-27|981.0|0|981.0|0|21.0|0|0.0|100
0|2021-11-28|982.0|0|982.0|0|21.0|0|0.0|100
0|2021-11-29|984.0|0|984.0|0|21.0|0|0.0|100
0|2021-11-30|1003.0|0|1003.0|0|21.0|0|0.0|100
0|2021-12-01|1010.0|0|1010.0|0|21.0|0|0.0|100
0|2021-12-02|1016.0|0|1016.0|0|21.0|0|0.0|100
0|2021-12-03|1016.0|0|1017.0|0|21.0|0|0.0|100
0|2021-12-04|1021.0|0|1021.0|0|21.0|0|0.0|100
0|2021-12-05|1021.0|0|1021.0|0|21.0|0|0.0|100
0|2021-12-06|1022.0|0|1022.0|0|21.0|0|0.0|100
0|2021-12-07|1027.0|0|1027.0|0|21.0|0|0.0|100
0|2021-12-08|1034.0|0|1034.0|0|22.0|0|0.0|100
0|2021-12-09|1036.0|0|1036.0|0|22.0|0|0.0|100
0|2021-12-10|1040.0|0|1040.0|0|22.0|0|0.0|100
0|2021-12-11|1042.0|0|1042.0|0|23.0|0|0.0|100
0|2021-12-12|1044.0|0|1044.0|0|23.0|0|0.0|100
0|2021-12-13|1047.0|0|1047.0|0|23.0|0|0.0|100
0|2021-12-14|1047.0|0|1053.0|0|23.0|0|0.0|100
0|2021-12-15|1054.0|0|1054.0|0|23.0|0|0.0|100
0|2021-12-16|1058.0|0|1058.0|0|23.0|0|0.0|100
0|2021-12-17|1062.0|0|1062.0|0|23.0|0|0.0|100
0|2021-12-18|1062.0|0|1062.0|0|23.0|0|0.0|100
0|2021-12-19|1063.0|0|1063.0|0|23.0|0|0.0|100
0|2021-12-20|1063.0|0|1063.0|0|23.0|0|0.0|100
0|2021-12-21|1065.0|0|1065.0|0|23.0|0|0.0|100
0|2021-12-22|1068.0|0|1068.0|0|23.0|0|0.0|100
0|2021-12-23|1072.0|0|1072.0|0|23.0|0|0.0|100
0|2021-12-24|1074.0|0|1074.0|0|23.0|0|0.0|100
0|2021-12-25|1078.0|0|1078.0|0|23.0|0|0.0|100
0|2021-12-26|1078.0|0|1078.0|0|23.0|0|0.0|100
0|2021-12-27|1078.0|0|1078.0|0|23.0|0|0.0|100
0|2021-12-28|1078.0|0|1078.0|0|23.0|0|0.0|100
0|2021-12-29|1082.0|0|1082.0|0|23.0|0|0.0|100
0|2021-12-30|1090.0|0|1090.0|0|23.0|0|0.0|100
0|2021-12-31|1089.0|0|1089.0|0|23.0|0|0.0|100
0|2022-01-01|1090.0|0|1090.0|0|23.0|0|0.0|100
0|2022-01-02|1090.0|0|1090.0|0|23.0|0|0.0|100
0|2022-01-03|1090.0|0|1090.0|0|23.0|0|0.0|100
0|2022-01-04|1094.0|0|1094.0|0|23.0|0|0.0|100
0|2022-01-05|1101.0|0|1101.0|0|23.0|0|0.0|100
0|2022-01-06|1104.0|0|1104.0|0|23.0|0|0.0|100
0|2022-01-07|1111.0|0|1111.0|0|23.0|0|0.0|100
0|2022-01-08|1114.0|0|1114.0|0|23.0|0|0.0|100
0|2022-01-09|1117.0|0|1117.0|0|23.0|0|0.0|100
0|2022-01-10|1119.0|0|1119.0|0|23.0|0|0.0|100
0|2022-01-11|1128.0|0|1128.0|0|23.0|0|0.0|100
0|2022-01-12|1140.0|0|1140.0|0|23.0|0|0.0|100
0|2022-01-13|1140.0|0|1151.0|0|23.0|0|0.0|100
0|2022-01-14|1159.0|0|1159.0|0|23.0|0|0.0|100
0|2022-01-15|1173.0|0|1173.0|0|23.0|0|0.0|100
