|dates|RoanokeCity_Virginia_UnitedStates.BLS_EmployedPopulation.data|RoanokeCity_Virginia_UnitedStates.BLS_EmployedPopulation.missing|RoanokeCity_Virginia_UnitedStates.BLS_UnemployedPopulation.data|RoanokeCity_Virginia_UnitedStates.BLS_UnemployedPopulation.missing|RoanokeCity_Virginia_UnitedStates.BLS_UnemploymentRate.data|RoanokeCity_Virginia_UnitedStates.BLS_UnemploymentRate.missing|RoanokeCity_Virginia_UnitedStates.BLS_LaborForcePopulation.data|RoanokeCity_Virginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-10-18|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-10-19|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-10-20|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-10-21|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-10-22|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-10-23|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-10-24|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-10-25|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-10-26|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-10-27|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-10-28|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-10-29|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-10-30|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-10-31|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-01|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-02|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-03|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-04|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-05|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-06|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-07|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-08|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-09|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-10|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-11|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-12|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-13|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-14|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-15|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-16|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-17|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-18|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-19|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-20|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-21|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-22|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-23|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-24|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-25|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-26|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-27|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-28|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-29|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-11-30|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-12-01|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-12-02|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-12-03|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-12-04|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-12-05|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-12-06|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-12-07|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-12-08|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-12-09|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-12-10|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-12-11|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-12-12|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-12-13|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-12-14|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-12-15|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-12-16|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-12-17|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
0|2021-12-18|45660.0|0|2399.0|0|4.9917809359329155|0|48059.0|0
