|dates|Rock_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Rock_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Rock_Nebraska_UnitedStates.Male_Total_Population.data|Rock_Nebraska_UnitedStates.Male_Total_Population.missing|Rock_Nebraska_UnitedStates.Female_Total_Population.data|Rock_Nebraska_UnitedStates.Female_Total_Population.missing|Rock_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Rock_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-10-18|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-10-19|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-10-20|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-10-21|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-10-22|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-10-23|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-10-24|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-10-25|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-10-26|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-10-27|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-10-28|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-10-29|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-10-30|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-10-31|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-01|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-02|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-03|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-04|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-05|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-06|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-07|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-08|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-09|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-10|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-11|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-12|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-13|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-14|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-15|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-16|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-17|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-18|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-19|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-20|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-21|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-22|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-23|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-24|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-25|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-26|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-27|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-28|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-29|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-11-30|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-12-01|363.0|0|685.0|0|675.0|0|271.0|0
0|2021-12-02|363.0|0|685.0|0|675.0|0|271.0|0
