|dates|Rockland_NewYork_UnitedStates.JHU_ConfirmedCases.data|Rockland_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Rockland_NewYork_UnitedStates.NYT_ConfirmedCases.data|Rockland_NewYork_UnitedStates.NYT_ConfirmedCases.missing|Rockland_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Rockland_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Rockland_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Rockland_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|52859.0|0|52859.0|0|779.0|0|0.0|100
0|2021-10-18|52918.0|0|52918.0|0|779.0|0|0.0|100
0|2021-10-19|52979.0|0|52979.0|0|779.0|0|0.0|100
0|2021-10-20|53047.0|0|53047.0|0|779.0|0|0.0|100
0|2021-10-21|53112.0|0|53112.0|0|779.0|0|0.0|100
0|2021-10-22|53178.0|0|53178.0|0|779.0|0|0.0|100
0|2021-10-23|53233.0|0|53233.0|0|779.0|0|0.0|100
0|2021-10-24|53278.0|0|53278.0|0|779.0|0|0.0|100
0|2021-10-25|53317.0|0|53317.0|0|779.0|0|0.0|100
0|2021-10-26|53368.0|0|53368.0|0|779.0|0|0.0|100
0|2021-10-27|53426.0|0|53426.0|0|779.0|0|0.0|100
0|2021-10-28|53518.0|0|53518.0|0|779.0|0|0.0|100
0|2021-10-29|53571.0|0|53571.0|0|780.0|0|0.0|100
0|2021-10-30|53632.0|0|53632.0|0|780.0|0|0.0|100
0|2021-10-31|53682.0|0|53682.0|0|780.0|0|0.0|100
0|2021-11-01|53682.0|0|53719.0|0|780.0|0|0.0|100
0|2021-11-02|53765.0|0|53765.0|0|780.0|0|0.0|100
0|2021-11-03|53822.0|0|53822.0|0|780.0|0|0.0|100
0|2021-11-04|53878.0|0|53878.0|0|780.0|0|0.0|100
0|2021-11-05|53959.0|0|53959.0|0|780.0|0|0.0|100
0|2021-11-06|54014.0|0|54014.0|0|780.0|0|0.0|100
0|2021-11-07|54049.0|0|54049.0|0|780.0|0|0.0|100
0|2021-11-08|54068.0|0|54068.0|0|780.0|0|0.0|100
0|2021-11-09|54130.0|0|54130.0|0|782.0|0|0.0|100
0|2021-11-10|54181.0|0|54181.0|0|782.0|0|0.0|100
0|2021-11-11|54249.0|0|54249.0|0|782.0|0|0.0|100
0|2021-11-12|54317.0|0|54317.0|0|782.0|0|0.0|100
0|2021-11-13|54375.0|0|54375.0|0|782.0|0|0.0|100
0|2021-11-14|54425.0|0|54425.0|0|782.0|0|0.0|100
0|2021-11-15|54467.0|0|54467.0|0|782.0|0|0.0|100
0|2021-11-16|54533.0|0|54533.0|0|782.0|0|0.0|100
0|2021-11-17|54607.0|0|54607.0|0|782.0|0|0.0|100
0|2021-11-18|54686.0|0|54686.0|0|782.0|0|0.0|100
0|2021-11-19|54756.0|0|54756.0|0|782.0|0|0.0|100
0|2021-11-20|54824.0|0|54824.0|0|782.0|0|0.0|100
0|2021-11-21|54877.0|0|54877.0|0|782.0|0|0.0|100
0|2021-11-22|54921.0|0|54921.0|0|782.0|0|0.0|100
0|2021-11-23|54984.0|0|54984.0|0|782.0|0|0.0|100
0|2021-11-24|55056.0|0|55056.0|0|782.0|0|0.0|100
0|2021-11-25|55139.0|0|55139.0|0|782.0|0|0.0|100
0|2021-11-26|55201.0|0|55201.0|0|782.0|0|0.0|100
0|2021-11-27|55201.0|0|55272.0|0|782.0|0|0.0|100
0|2021-11-28|55357.0|0|55357.0|0|783.0|0|0.0|100
0|2021-11-29|55405.0|0|55405.0|0|783.0|0|0.0|100
0|2021-11-30|55509.0|0|55509.0|0|783.0|0|0.0|100
0|2021-12-01|55617.0|0|55617.0|0|783.0|0|0.0|100
0|2021-12-02|55730.0|0|55730.0|0|783.0|0|0.0|100
0|2021-12-03|55844.0|0|55844.0|0|783.0|0|0.0|100
0|2021-12-04|55960.0|0|55960.0|0|783.0|0|0.0|100
0|2021-12-05|56085.0|0|56085.0|0|783.0|0|0.0|100
0|2021-12-06|56166.0|0|56166.0|0|783.0|0|0.0|100
0|2021-12-07|56262.0|0|56262.0|0|783.0|0|0.0|100
0|2021-12-08|56362.0|0|56362.0|0|783.0|0|0.0|100
0|2021-12-09|56511.0|0|56511.0|0|784.0|0|0.0|100
0|2021-12-10|56632.0|0|56632.0|0|785.0|0|0.0|100
0|2021-12-11|56757.0|0|56757.0|0|785.0|0|0.0|100
0|2021-12-12|56856.0|0|56856.0|0|785.0|0|0.0|100
0|2021-12-13|56975.0|0|56975.0|0|785.0|0|0.0|100
0|2021-12-14|56975.0|0|57095.0|0|785.0|0|0.0|100
0|2021-12-15|57289.0|0|57289.0|0|787.0|0|0.0|100
0|2021-12-16|57487.0|0|57487.0|0|787.0|0|0.0|100
0|2021-12-17|57706.0|0|57706.0|0|788.0|0|0.0|100
0|2021-12-18|58012.0|0|58012.0|0|788.0|0|0.0|100
0|2021-12-19|58283.0|0|58283.0|0|790.0|0|0.0|100
0|2021-12-20|58489.0|0|58489.0|0|792.0|0|0.0|100
0|2021-12-21|58781.0|0|58781.0|0|793.0|0|0.0|100
0|2021-12-22|59161.0|0|59161.0|0|795.0|0|0.0|100
0|2021-12-23|59723.0|0|59723.0|0|796.0|0|0.0|100
0|2021-12-24|60364.0|0|60364.0|0|796.0|0|0.0|100
0|2021-12-25|60364.0|0|60364.0|0|796.0|0|0.0|100
0|2021-12-26|61500.0|0|61500.0|0|798.0|0|0.0|100
0|2021-12-27|61717.0|0|61717.0|0|799.0|0|0.0|100
0|2021-12-28|62396.0|0|62396.0|0|799.0|0|0.0|100
0|2021-12-29|63822.0|0|63822.0|0|802.0|0|0.0|100
0|2021-12-30|65029.0|0|65029.0|0|803.0|0|0.0|100
0|2021-12-31|66565.0|0|66565.0|0|805.0|0|0.0|100
0|2022-01-01|66565.0|0|68241.0|0|806.0|0|0.0|100
0|2022-01-02|66565.0|0|69087.0|0|807.0|0|0.0|100
0|2022-01-03|69935.0|0|69935.0|0|808.0|0|0.0|100
0|2022-01-04|71182.0|0|71182.0|0|810.0|0|0.0|100
0|2022-01-05|72914.0|0|72914.0|0|811.0|0|0.0|100
0|2022-01-06|74264.0|0|74264.0|0|813.0|0|0.0|100
0|2022-01-07|75775.0|0|75775.0|0|814.0|0|0.0|100
0|2022-01-08|77349.0|0|77349.0|0|816.0|0|0.0|100
0|2022-01-09|78478.0|0|78478.0|0|818.0|0|0.0|100
0|2022-01-10|79119.0|0|79119.0|0|821.0|0|0.0|100
0|2022-01-11|79971.0|0|79971.0|0|825.0|0|0.0|100
0|2022-01-12|80991.0|0|80991.0|0|827.0|0|0.0|100
0|2022-01-13|80991.0|0|82015.0|0|827.0|0|0.0|100
0|2022-01-14|82995.0|0|82995.0|0|834.0|0|0.0|100
0|2022-01-15|83819.0|0|83819.0|0|837.0|0|0.0|100
0|2022-01-16|85172.0|0|85172.0|0|840.0|0|0.0|100
0|2022-01-17|85695.0|0|0.0|100|841.0|0|0.0|100
