|dates|Rusk_Texas_UnitedStates.AverageDailyTemperature.data|Rusk_Texas_UnitedStates.AverageDailyTemperature.missing|Rusk_Texas_UnitedStates.AverageDewPoint.data|Rusk_Texas_UnitedStates.AverageDewPoint.missing|Rusk_Texas_UnitedStates.AverageRelativeHumidity.data|Rusk_Texas_UnitedStates.AverageRelativeHumidity.missing|Rusk_Texas_UnitedStates.AverageSurfaceAirPressure.data|Rusk_Texas_UnitedStates.AverageSurfaceAirPressure.missing
0|2021-10-17|55.4375|0|40.25|0|64.66145833333333|0|29.803124999999948|0
0|2021-10-18|58.026041666666664|0|43.03125|0|65.375|0|29.67369791666668|0
0|2021-10-19|60.447916666666664|0|50.786458333333336|0|73.71354166666667|0|29.617500000000007|0
0|2021-10-20|68.38020833333333|0|59.515625|0|76.80208333333333|0|29.62796875000001|0
0|2021-10-21|71.46875|0|61.21875|0|73.34375|0|29.648749999999996|0
0|2021-10-22|70.16666666666667|0|52.234375|0|55.234375|0|29.597812500000007|0
0|2021-10-23|72.13541666666667|0|64.13020833333333|0|77.72916666666667|0|29.462031249999985|0
0|2021-10-24|75.14583333333333|0|64.94791666666667|0|72.68229166666667|0|29.401718749999986|0
0|2021-10-25|77.05208333333333|0|65.703125|0|70.77604166666667|0|29.467604166666664|0
0|2021-10-26|74.359375|0|63.578125|0|69.21875|0|29.422916666666698|0
0|2021-10-27|69.85416666666667|0|59.5625|0|71.375|0|29.162395833333306|0
0|2021-10-28|63.359375|0|36.963541666666664|0|39.671875|0|29.230520833333344|0
0|2021-10-29|59.708333333333336|0|36.796875|0|44.098958333333336|0|29.389166666666686|0
0|2021-10-30|54.010416666666664|0|37.947916666666664|0|62.34375|0|29.445833333333336|0
0|2021-10-31|56.979166666666664|0|41.145833333333336|0|64.71354166666667|0|29.590572916666645|0
0|2021-11-01|58.84375|0|46.052083333333336|0|67.61458333333333|0|29.72677083333331|0
0|2021-11-02|60.005208333333336|0|49.791666666666664|0|71.52083333333333|0|29.7656770833333|0
0|2021-11-03|49.197916666666664|0|45.84375|0|88.70833333333333|0|29.76677083333335|0
0|2021-11-04|47.708333333333336|0|37.947916666666664|0|72.61979166666667|0|29.801874999999995|0
0|2021-11-05|44.822916666666664|0|34.666666666666664|0|72.95833333333333|0|29.777499999999986|0
0|2021-11-06|47.494791666666664|0|38.645833333333336|0|76.27083333333333|0|29.786145833333308|0
0|2021-11-07|51.026041666666664|0|43.171875|0|78.96875|0|29.764374999999998|0
0|2021-11-08|54.244791666666664|0|43.911458333333336|0|74.4375|0|29.76729166666667|0
0|2021-11-09|57.958333333333336|0|52.59375|0|84.38541666666667|0|29.723333333333304|0
0|2021-11-10|64.53645833333333|0|58.921875|0|83.46875|0|29.50630208333334|0
0|2021-11-11|58.604166666666664|0|49.817708333333336|0|75.94791666666667|0|29.56557291666663|0
0|2021-11-12|53.052083333333336|0|38.041666666666664|0|62.583333333333336|0|29.691875000000007|0
0|2021-11-13|46.239583333333336|0|31.072916666666668|0|60.541666666666664|0|29.771874999999962|0
0|2021-11-14|54.833333333333336|0|43.34375|0|69.09375|0|29.656145833333312|0
0|2021-11-15|61.989583333333336|0|55.401041666666664|0|81.046875|0|29.655989583333337|0
0|2021-11-16|68.14583333333333|0|60.0|0|76.86458333333333|0|29.55843749999997|0
0|2021-11-17|68.67708333333333|0|60.645833333333336|0|76.86458333333333|0|29.541979166666664|0
0|2021-11-18|55.46875|0|34.921875|0|48.041666666666664|0|29.880989583333317|0
0|2021-11-19|45.786458333333336|0|27.994791666666668|0|55.651041666666664|0|29.912291666666693|0
0|2021-11-20|54.864583333333336|0|45.572916666666664|0|72.79166666666667|0|29.700833333333335|0
0|2021-11-21|65.38020833333333|0|59.5|0|81.71875|0|29.646458333333303|0
0|2021-11-22|52.713541666666664|0|36.796875|0|58.520833333333336|0|29.79421875000001|0
0|2021-11-23|50.322916666666664|0|35.635416666666664|0|63.145833333333336|0|29.727499999999978|0
0|2021-11-24|63.052083333333336|0|53.020833333333336|0|70.73958333333333|0|29.606875000000006|0
0|2021-11-25|56.260416666666664|0|48.09375|0|75.63020833333333|0|29.754062499999986|0
0|2021-11-26|41.541666666666664|0|31.75|0|70.16145833333333|0|29.842291666666668|0
0|2021-11-27|43.046875|0|39.8125|0|88.95833333333333|0|29.672656250000003|0
0|2021-11-28|51.135416666666664|0|45.776041666666664|0|84.24479166666667|0|29.69713541666665|0
0|2021-11-29|50.208333333333336|0|40.34375|0|74.08333333333333|0|29.708958333333317|0
0|2021-11-30|54.927083333333336|0|45.895833333333336|0|74.79166666666667|0|29.661250000000035|0
0|2021-12-01|60.260416666666664|0|53.822916666666664|0|81.66666666666667|0|29.637291666666652|0
0|2021-12-02|59.619791666666664|0|53.786458333333336|0|83.69791666666667|0|29.654947916666668|0
0|2021-12-03|65.33333333333333|0|62.895833333333336|0|92.10416666666667|0|29.580833333333334|0
0|2021-12-04|68.375|0|63.895833333333336|0|86.64583333333333|0|29.595208333333336|0
0|2021-12-05|69.609375|0|64.44791666666667|0|83.72395833333333|0|29.488906249999975|0
0|2021-12-06|60.010416666666664|0|46.953125|0|64.75|0|29.59416666666668|0
0|2021-12-07|47.979166666666664|0|35.890625|0|63.96875|0|29.597968749999996|0
0|2021-12-08|50.927083333333336|0|46.630208333333336|0|86.25|0|29.555104166666677|0
0|2021-12-09|65.60416666666667|0|61.921875|0|88.08854166666667|0|29.413072916666682|0
0|2021-12-10|74.75|0|67.5625|0|79.10416666666667|0|29.314635416666686|0
0|2021-12-11|48.020833333333336|0|35.229166666666664|0|63.708333333333336|0|29.671718750000007|0
0|2021-12-12|40.197916666666664|0|30.489583333333332|0|73.44791666666667|0|29.818229166666686|0
0|2021-12-13|49.791666666666664|0|42.572916666666664|0|78.35416666666667|0|29.790312499999988|0
