|dates|Sacramento_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sacramento_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sacramento_California_UnitedStates.Male_Total_Population.data|Sacramento_California_UnitedStates.Male_Total_Population.missing|Sacramento_California_UnitedStates.Female_Total_Population.data|Sacramento_California_UnitedStates.Female_Total_Population.missing|Sacramento_California_UnitedStates.MaleAndFemale_Under18_Population.data|Sacramento_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-10-18|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-10-19|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-10-20|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-10-21|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-10-22|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-10-23|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-10-24|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-10-25|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-10-26|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-10-27|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-10-28|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-10-29|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-10-30|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-10-31|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-01|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-02|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-03|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-04|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-05|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-06|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-07|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-08|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-09|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-10|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-11|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-12|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-13|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-14|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-15|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-16|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-17|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-18|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-19|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-20|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-21|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-22|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-23|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-24|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-25|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-26|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-27|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-28|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-29|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-11-30|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-01|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-02|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-03|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-04|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-05|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-06|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-07|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-08|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-09|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-10|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-11|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-12|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-13|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-14|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-15|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-16|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-17|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-18|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-19|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-20|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-21|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-22|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-23|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-24|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-25|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-26|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-27|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-28|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-29|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-30|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2021-12-31|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2022-01-01|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2022-01-02|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2022-01-03|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2022-01-04|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2022-01-05|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2022-01-06|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2022-01-07|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2022-01-08|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2022-01-09|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2022-01-10|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2022-01-11|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2022-01-12|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2022-01-13|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2022-01-14|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2022-01-15|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2022-01-16|217601.0|0|752972.0|0|788003.0|0|363909.0|0
0|2022-01-17|217601.0|0|752972.0|0|788003.0|0|363909.0|0
