|dates|Saluda_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Saluda_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Saluda_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Saluda_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Saluda_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Saluda_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Saluda_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Saluda_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2508.0|0|2508.0|0|54.0|0|0.0|100
0|2021-10-18|2520.0|0|2520.0|0|54.0|0|0.0|100
0|2021-10-19|2525.0|0|2525.0|0|54.0|0|0.0|100
0|2021-10-20|2530.0|0|2530.0|0|54.0|0|0.0|100
0|2021-10-21|2533.0|0|2533.0|0|55.0|0|0.0|100
0|2021-10-22|2539.0|0|2539.0|0|55.0|0|0.0|100
0|2021-10-23|2539.0|0|2539.0|0|55.0|0|0.0|100
0|2021-10-24|2539.0|0|2539.0|0|55.0|0|0.0|100
0|2021-10-25|2545.0|0|2545.0|0|55.0|0|0.0|100
0|2021-10-26|2546.0|0|2546.0|0|55.0|0|0.0|100
0|2021-10-27|2548.0|0|2548.0|0|55.0|0|0.0|100
0|2021-10-28|2549.0|0|2549.0|0|55.0|0|0.0|100
0|2021-10-29|2552.0|0|2552.0|0|55.0|0|0.0|100
0|2021-10-30|2552.0|0|2552.0|0|55.0|0|0.0|100
0|2021-10-31|2552.0|0|2552.0|0|55.0|0|0.0|100
0|2021-11-01|2564.0|0|2564.0|0|55.0|0|0.0|100
0|2021-11-02|2565.0|0|2565.0|0|55.0|0|0.0|100
0|2021-11-03|2564.0|0|2564.0|0|55.0|0|0.0|100
0|2021-11-04|2566.0|0|2566.0|0|55.0|0|0.0|100
0|2021-11-05|2569.0|0|2569.0|0|55.0|0|0.0|100
0|2021-11-06|2569.0|0|2569.0|0|55.0|0|0.0|100
0|2021-11-07|2569.0|0|2569.0|0|55.0|0|0.0|100
0|2021-11-08|2569.0|0|2569.0|0|55.0|0|0.0|100
0|2021-11-09|2569.0|0|2569.0|0|55.0|0|0.0|100
0|2021-11-10|2573.0|0|2573.0|0|55.0|0|0.0|100
0|2021-11-11|2573.0|0|2573.0|0|55.0|0|0.0|100
0|2021-11-12|2573.0|0|2573.0|0|55.0|0|0.0|100
0|2021-11-13|2573.0|0|2573.0|0|55.0|0|0.0|100
0|2021-11-14|2573.0|0|2573.0|0|55.0|0|0.0|100
0|2021-11-15|2575.0|0|2575.0|0|55.0|0|0.0|100
0|2021-11-16|2575.0|0|2575.0|0|55.0|0|0.0|100
0|2021-11-17|2577.0|0|2577.0|0|55.0|0|0.0|100
0|2021-11-18|2583.0|0|2583.0|0|55.0|0|0.0|100
0|2021-11-19|2585.0|0|2585.0|0|55.0|0|0.0|100
0|2021-11-20|2585.0|0|2585.0|0|55.0|0|0.0|100
0|2021-11-21|2585.0|0|2585.0|0|55.0|0|0.0|100
0|2021-11-22|2587.0|0|2587.0|0|55.0|0|0.0|100
0|2021-11-23|2588.0|0|2588.0|0|55.0|0|0.0|100
0|2021-11-24|2594.0|0|2594.0|0|56.0|0|0.0|100
0|2021-11-25|2594.0|0|2594.0|0|56.0|0|0.0|100
0|2021-11-26|2596.0|0|2595.0|0|56.0|0|0.0|100
0|2021-11-27|2596.0|0|2595.0|0|56.0|0|0.0|100
0|2021-11-28|2596.0|0|2595.0|0|56.0|0|0.0|100
0|2021-11-29|2599.0|0|2599.0|0|56.0|0|0.0|100
0|2021-11-30|2601.0|0|2601.0|0|56.0|0|0.0|100
0|2021-12-01|2602.0|0|2602.0|0|56.0|0|0.0|100
0|2021-12-02|2605.0|0|2605.0|0|56.0|0|0.0|100
0|2021-12-03|2609.0|0|2609.0|0|56.0|0|0.0|100
0|2021-12-04|2609.0|0|2609.0|0|56.0|0|0.0|100
0|2021-12-05|2609.0|0|2609.0|0|56.0|0|0.0|100
0|2021-12-06|2615.0|0|2615.0|0|56.0|0|0.0|100
0|2021-12-07|2615.0|0|2615.0|0|56.0|0|0.0|100
0|2021-12-08|2615.0|0|2615.0|0|57.0|0|0.0|100
0|2021-12-09|2617.0|0|2617.0|0|57.0|0|0.0|100
0|2021-12-10|2619.0|0|2619.0|0|57.0|0|0.0|100
0|2021-12-11|2619.0|0|2619.0|0|57.0|0|0.0|100
0|2021-12-12|2619.0|0|2619.0|0|57.0|0|0.0|100
0|2021-12-13|2626.0|0|2626.0|0|58.0|0|0.0|100
0|2021-12-14|2626.0|0|2626.0|0|58.0|0|0.0|100
0|2021-12-15|2626.0|0|2626.0|0|59.0|0|0.0|100
0|2021-12-16|2628.0|0|2628.0|0|59.0|0|0.0|100
0|2021-12-17|2629.0|0|2629.0|0|59.0|0|0.0|100
0|2021-12-18|2629.0|0|2629.0|0|59.0|0|0.0|100
0|2021-12-19|2629.0|0|2629.0|0|59.0|0|0.0|100
0|2021-12-20|2638.0|0|2638.0|0|61.0|0|0.0|100
0|2021-12-21|2640.0|0|2640.0|0|61.0|0|0.0|100
0|2021-12-22|2641.0|0|2641.0|0|61.0|0|0.0|100
0|2021-12-23|2645.0|0|2645.0|0|62.0|0|0.0|100
0|2021-12-24|2645.0|0|2645.0|0|62.0|0|0.0|100
0|2021-12-25|2645.0|0|2645.0|0|62.0|0|0.0|100
0|2021-12-26|2645.0|0|2645.0|0|62.0|0|0.0|100
0|2021-12-27|2645.0|0|2645.0|0|62.0|0|0.0|100
0|2021-12-28|2645.0|0|2645.0|0|62.0|0|0.0|100
0|2021-12-29|2663.0|0|2663.0|0|62.0|0|0.0|100
0|2021-12-30|2672.0|0|2672.0|0|62.0|0|0.0|100
0|2021-12-31|2688.0|0|2688.0|0|62.0|0|0.0|100
0|2022-01-01|2688.0|0|2688.0|0|62.0|0|0.0|100
0|2022-01-02|2688.0|0|2688.0|0|62.0|0|0.0|100
0|2022-01-03|2688.0|0|2688.0|0|62.0|0|0.0|100
0|2022-01-04|2755.0|0|2755.0|0|62.0|0|0.0|100
0|2022-01-05|2768.0|0|2768.0|0|62.0|0|0.0|100
0|2022-01-06|2823.0|0|2823.0|0|62.0|0|0.0|100
0|2022-01-07|2847.0|0|2847.0|0|62.0|0|0.0|100
0|2022-01-08|2847.0|0|2847.0|0|62.0|0|0.0|100
0|2022-01-09|2847.0|0|2847.0|0|62.0|0|0.0|100
0|2022-01-10|2969.0|0|2969.0|0|62.0|0|0.0|100
0|2022-01-11|2997.0|0|2997.0|0|62.0|0|0.0|100
0|2022-01-12|3021.0|0|3021.0|0|62.0|0|0.0|100
0|2022-01-13|3021.0|0|3076.0|0|62.0|0|0.0|100
0|2022-01-14|3152.0|0|3152.0|0|62.0|0|0.0|100
0|2022-01-15|3152.0|0|3152.0|0|62.0|0|0.0|100
0|2022-01-16|3152.0|0|3152.0|0|62.0|0|0.0|100
0|2022-01-17|3152.0|0|0.0|100|62.0|0|0.0|100
