|dates|Scott_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Scott_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Scott_Kansas_UnitedStates.Male_Total_Population.data|Scott_Kansas_UnitedStates.Male_Total_Population.missing|Scott_Kansas_UnitedStates.Female_Total_Population.data|Scott_Kansas_UnitedStates.Female_Total_Population.missing|Scott_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Scott_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-10-18|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-10-19|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-10-20|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-10-21|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-10-22|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-10-23|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-10-24|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-10-25|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-10-26|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-10-27|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-10-28|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-10-29|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-10-30|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-10-31|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-01|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-02|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-03|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-04|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-05|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-06|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-07|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-08|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-09|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-10|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-11|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-12|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-13|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-14|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-15|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-16|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-17|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-18|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-19|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-20|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-21|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-22|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-23|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-24|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-25|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-26|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-27|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-28|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-29|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-11-30|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-01|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-02|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-03|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-04|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-05|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-06|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-07|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-08|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-09|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-10|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-11|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-12|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-13|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-14|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-15|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-16|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-17|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-18|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-19|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-20|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-21|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-22|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-23|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-24|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-25|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-26|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-27|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-28|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-29|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-30|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2021-12-31|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2022-01-01|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2022-01-02|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2022-01-03|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2022-01-04|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2022-01-05|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2022-01-06|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2022-01-07|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2022-01-08|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2022-01-09|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2022-01-10|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2022-01-11|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2022-01-12|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2022-01-13|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2022-01-14|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2022-01-15|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2022-01-16|948.0|0|2467.0|0|2430.0|0|1319.0|0
0|2022-01-17|948.0|0|2467.0|0|2430.0|0|1319.0|0
