|dates|Scott_Mississippi_UnitedStates.BLS_EmployedPopulation.data|Scott_Mississippi_UnitedStates.BLS_EmployedPopulation.missing|Scott_Mississippi_UnitedStates.BLS_UnemployedPopulation.data|Scott_Mississippi_UnitedStates.BLS_UnemployedPopulation.missing|Scott_Mississippi_UnitedStates.BLS_UnemploymentRate.data|Scott_Mississippi_UnitedStates.BLS_UnemploymentRate.missing|Scott_Mississippi_UnitedStates.BLS_LaborForcePopulation.data|Scott_Mississippi_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-10-18|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-10-19|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-10-20|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-10-21|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-10-22|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-10-23|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-10-24|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-10-25|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-10-26|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-10-27|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-10-28|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-10-29|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-10-30|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-10-31|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-01|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-02|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-03|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-04|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-05|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-06|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-07|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-08|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-09|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-10|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-11|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-12|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-13|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-14|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-15|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-16|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-17|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-18|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-19|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-20|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-21|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
0|2021-11-22|12721.0|0|635.0|0|4.754417490266547|0|13356.0|0
