|dates|Scott_Virginia_UnitedStates.JHU_ConfirmedCases.data|Scott_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Scott_Virginia_UnitedStates.NYT_ConfirmedCases.data|Scott_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Scott_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Scott_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Scott_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Scott_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2991.0|0|2991.0|0|75.0|0|0.0|100
0|2021-10-18|3038.0|0|3038.0|0|75.0|0|0.0|100
0|2021-10-19|3050.0|0|3050.0|0|75.0|0|0.0|100
0|2021-10-20|3071.0|0|3071.0|0|76.0|0|0.0|100
0|2021-10-21|3084.0|0|3084.0|0|76.0|0|0.0|100
0|2021-10-22|3098.0|0|3098.0|0|76.0|0|0.0|100
0|2021-10-23|3098.0|0|3098.0|0|76.0|0|0.0|100
0|2021-10-24|3098.0|0|3098.0|0|76.0|0|0.0|100
0|2021-10-25|3123.0|0|3123.0|0|77.0|0|0.0|100
0|2021-10-26|3129.0|0|3129.0|0|77.0|0|0.0|100
0|2021-10-27|3139.0|0|3139.0|0|76.0|0|0.0|100
0|2021-10-28|3145.0|0|3145.0|0|76.0|0|0.0|100
0|2021-10-29|3151.0|0|3151.0|0|76.0|0|0.0|100
0|2021-10-30|3151.0|0|3151.0|0|76.0|0|0.0|100
0|2021-10-31|3151.0|0|3151.0|0|76.0|0|0.0|100
0|2021-11-01|3175.0|0|3175.0|0|77.0|0|0.0|100
0|2021-11-02|3188.0|0|3188.0|0|78.0|0|0.0|100
0|2021-11-03|3197.0|0|3197.0|0|78.0|0|0.0|100
0|2021-11-04|3203.0|0|3203.0|0|78.0|0|0.0|100
0|2021-11-05|3217.0|0|3217.0|0|78.0|0|0.0|100
0|2021-11-06|3217.0|0|3217.0|0|78.0|0|0.0|100
0|2021-11-07|3217.0|0|3217.0|0|78.0|0|0.0|100
0|2021-11-08|3230.0|0|3230.0|0|79.0|0|0.0|100
0|2021-11-09|3240.0|0|3240.0|0|79.0|0|0.0|100
0|2021-11-10|3243.0|0|3243.0|0|81.0|0|0.0|100
0|2021-11-11|3251.0|0|3251.0|0|81.0|0|0.0|100
0|2021-11-12|3254.0|0|3254.0|0|82.0|0|0.0|100
0|2021-11-13|3254.0|0|3254.0|0|82.0|0|0.0|100
0|2021-11-14|3254.0|0|3254.0|0|82.0|0|0.0|100
0|2021-11-15|3271.0|0|3271.0|0|83.0|0|0.0|100
0|2021-11-16|3290.0|0|3290.0|0|83.0|0|0.0|100
0|2021-11-17|3313.0|0|3313.0|0|83.0|0|0.0|100
0|2021-11-18|3362.0|0|3362.0|0|83.0|0|0.0|100
0|2021-11-19|3363.0|0|3363.0|0|83.0|0|0.0|100
0|2021-11-20|3363.0|0|3363.0|0|83.0|0|0.0|100
0|2021-11-21|3363.0|0|3363.0|0|83.0|0|0.0|100
0|2021-11-22|3384.0|0|3384.0|0|83.0|0|0.0|100
0|2021-11-23|3390.0|0|3390.0|0|84.0|0|0.0|100
0|2021-11-24|3385.0|0|3385.0|0|84.0|0|0.0|100
0|2021-11-25|3389.0|0|3389.0|0|84.0|0|0.0|100
0|2021-11-26|3393.0|0|3393.0|0|84.0|0|0.0|100
0|2021-11-27|3393.0|0|3393.0|0|84.0|0|0.0|100
0|2021-11-28|3393.0|0|3393.0|0|84.0|0|0.0|100
0|2021-11-29|3410.0|0|3410.0|0|84.0|0|0.0|100
0|2021-11-30|3425.0|0|3425.0|0|84.0|0|0.0|100
0|2021-12-01|3450.0|0|3450.0|0|84.0|0|0.0|100
0|2021-12-02|3472.0|0|3472.0|0|84.0|0|0.0|100
0|2021-12-03|3483.0|0|3483.0|0|84.0|0|0.0|100
0|2021-12-04|3483.0|0|3483.0|0|84.0|0|0.0|100
0|2021-12-05|3483.0|0|3483.0|0|84.0|0|0.0|100
0|2021-12-06|3522.0|0|3522.0|0|84.0|0|0.0|100
0|2021-12-07|3535.0|0|3535.0|0|84.0|0|0.0|100
0|2021-12-08|3543.0|0|3543.0|0|85.0|0|0.0|100
0|2021-12-09|3555.0|0|3555.0|0|86.0|0|0.0|100
0|2021-12-10|3568.0|0|3568.0|0|86.0|0|0.0|100
0|2021-12-11|3568.0|0|3568.0|0|86.0|0|0.0|100
0|2021-12-12|3568.0|0|3568.0|0|86.0|0|0.0|100
0|2021-12-13|3588.0|0|3588.0|0|87.0|0|0.0|100
0|2021-12-14|3588.0|0|3597.0|0|87.0|0|0.0|100
0|2021-12-15|3608.0|0|3608.0|0|87.0|0|0.0|100
0|2021-12-16|3617.0|0|3617.0|0|87.0|0|0.0|100
0|2021-12-17|3629.0|0|3629.0|0|87.0|0|0.0|100
0|2021-12-18|3629.0|0|3629.0|0|87.0|0|0.0|100
0|2021-12-19|3629.0|0|3629.0|0|87.0|0|0.0|100
0|2021-12-20|3642.0|0|3642.0|0|87.0|0|0.0|100
0|2021-12-21|3653.0|0|3653.0|0|87.0|0|0.0|100
0|2021-12-22|3663.0|0|3663.0|0|87.0|0|0.0|100
0|2021-12-23|3681.0|0|3681.0|0|87.0|0|0.0|100
0|2021-12-24|3690.0|0|3690.0|0|88.0|0|0.0|100
0|2021-12-25|3690.0|0|3690.0|0|88.0|0|0.0|100
0|2021-12-26|3690.0|0|3690.0|0|88.0|0|0.0|100
0|2021-12-27|3712.0|0|3712.0|0|89.0|0|0.0|100
0|2021-12-28|3720.0|0|3720.0|0|93.0|0|0.0|100
0|2021-12-29|3734.0|0|3734.0|0|92.0|0|0.0|100
0|2021-12-30|3749.0|0|3749.0|0|92.0|0|0.0|100
0|2021-12-31|3774.0|0|3774.0|0|92.0|0|0.0|100
0|2022-01-01|3774.0|0|3774.0|0|92.0|0|0.0|100
0|2022-01-02|3774.0|0|3774.0|0|92.0|0|0.0|100
0|2022-01-03|3831.0|0|3831.0|0|92.0|0|0.0|100
0|2022-01-04|3853.0|0|3853.0|0|92.0|0|0.0|100
0|2022-01-05|3882.0|0|3882.0|0|92.0|0|0.0|100
0|2022-01-06|3916.0|0|3916.0|0|92.0|0|0.0|100
0|2022-01-07|3945.0|0|3945.0|0|92.0|0|0.0|100
0|2022-01-08|3945.0|0|3945.0|0|92.0|0|0.0|100
0|2022-01-09|3945.0|0|3945.0|0|92.0|0|0.0|100
0|2022-01-10|4022.0|0|4022.0|0|92.0|0|0.0|100
0|2022-01-11|4047.0|0|4047.0|0|92.0|0|0.0|100
0|2022-01-12|4060.0|0|4060.0|0|92.0|0|0.0|100
0|2022-01-13|4060.0|0|4106.0|0|92.0|0|0.0|100
0|2022-01-14|4135.0|0|4135.0|0|92.0|0|0.0|100
0|2022-01-15|4135.0|0|4135.0|0|92.0|0|0.0|100
0|2022-01-16|4135.0|0|4135.0|0|92.0|0|0.0|100
0|2022-01-17|4260.0|0|0.0|100|92.0|0|0.0|100
