|dates|Simpson_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Simpson_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Simpson_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Simpson_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Simpson_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Simpson_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Simpson_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Simpson_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4421.0|0|4421.0|0|116.0|0|0.0|100
0|2021-10-18|4423.0|0|4423.0|0|116.0|0|0.0|100
0|2021-10-19|4436.0|0|4436.0|0|116.0|0|0.0|100
0|2021-10-20|4440.0|0|4440.0|0|116.0|0|0.0|100
0|2021-10-21|4445.0|0|4445.0|0|116.0|0|0.0|100
0|2021-10-22|4446.0|0|4446.0|0|116.0|0|0.0|100
0|2021-10-23|4446.0|0|4446.0|0|116.0|0|0.0|100
0|2021-10-24|4446.0|0|4446.0|0|116.0|0|0.0|100
0|2021-10-25|4448.0|0|4448.0|0|116.0|0|0.0|100
0|2021-10-26|4458.0|0|4458.0|0|116.0|0|0.0|100
0|2021-10-27|4467.0|0|4467.0|0|116.0|0|0.0|100
0|2021-10-28|4466.0|0|4466.0|0|116.0|0|0.0|100
0|2021-10-29|4470.0|0|4470.0|0|116.0|0|0.0|100
0|2021-10-30|4470.0|0|4470.0|0|116.0|0|0.0|100
0|2021-10-31|4470.0|0|4470.0|0|116.0|0|0.0|100
0|2021-11-01|4475.0|0|4475.0|0|116.0|0|0.0|100
0|2021-11-02|4486.0|0|4486.0|0|116.0|0|0.0|100
0|2021-11-03|4491.0|0|4491.0|0|116.0|0|0.0|100
0|2021-11-04|4495.0|0|4495.0|0|116.0|0|0.0|100
0|2021-11-05|4499.0|0|4499.0|0|116.0|0|0.0|100
0|2021-11-06|4499.0|0|4499.0|0|116.0|0|0.0|100
0|2021-11-07|4499.0|0|4499.0|0|116.0|0|0.0|100
0|2021-11-08|4502.0|0|4502.0|0|116.0|0|0.0|100
0|2021-11-09|4503.0|0|4503.0|0|117.0|0|0.0|100
0|2021-11-10|4506.0|0|4506.0|0|117.0|0|0.0|100
0|2021-11-11|4506.0|0|4506.0|0|117.0|0|0.0|100
0|2021-11-12|4511.0|0|4511.0|0|117.0|0|0.0|100
0|2021-11-13|4511.0|0|4511.0|0|117.0|0|0.0|100
0|2021-11-14|4511.0|0|4511.0|0|117.0|0|0.0|100
0|2021-11-15|4520.0|0|4520.0|0|117.0|0|0.0|100
0|2021-11-16|4524.0|0|4524.0|0|117.0|0|0.0|100
0|2021-11-17|4523.0|0|4523.0|0|117.0|0|0.0|100
0|2021-11-18|4525.0|0|4525.0|0|117.0|0|0.0|100
0|2021-11-19|4530.0|0|4530.0|0|117.0|0|0.0|100
0|2021-11-20|4530.0|0|4530.0|0|117.0|0|0.0|100
0|2021-11-21|4530.0|0|4530.0|0|117.0|0|0.0|100
0|2021-11-22|4540.0|0|4540.0|0|117.0|0|0.0|100
0|2021-11-23|4540.0|0|4540.0|0|117.0|0|0.0|100
0|2021-11-24|4543.0|0|4543.0|0|117.0|0|0.0|100
0|2021-11-25|4543.0|0|4543.0|0|117.0|0|0.0|100
0|2021-11-26|4543.0|0|4543.0|0|117.0|0|0.0|100
0|2021-11-27|4543.0|0|4543.0|0|117.0|0|0.0|100
0|2021-11-28|4543.0|0|4543.0|0|117.0|0|0.0|100
0|2021-11-29|4546.0|0|4546.0|0|117.0|0|0.0|100
0|2021-11-30|4554.0|0|4554.0|0|117.0|0|0.0|100
0|2021-12-01|4560.0|0|4560.0|0|117.0|0|0.0|100
0|2021-12-02|4565.0|0|4565.0|0|117.0|0|0.0|100
0|2021-12-03|4566.0|0|4566.0|0|117.0|0|0.0|100
0|2021-12-04|4566.0|0|4566.0|0|117.0|0|0.0|100
0|2021-12-05|4566.0|0|4566.0|0|117.0|0|0.0|100
0|2021-12-06|4577.0|0|4577.0|0|117.0|0|0.0|100
0|2021-12-07|4587.0|0|4587.0|0|117.0|0|0.0|100
0|2021-12-08|4597.0|0|4597.0|0|117.0|0|0.0|100
0|2021-12-09|4604.0|0|4604.0|0|117.0|0|0.0|100
0|2021-12-10|4606.0|0|4606.0|0|117.0|0|0.0|100
0|2021-12-11|4606.0|0|4606.0|0|117.0|0|0.0|100
0|2021-12-12|4606.0|0|4606.0|0|117.0|0|0.0|100
0|2021-12-13|4612.0|0|4612.0|0|117.0|0|0.0|100
0|2021-12-14|4612.0|0|4614.0|0|117.0|0|0.0|100
0|2021-12-15|4615.0|0|4615.0|0|117.0|0|0.0|100
0|2021-12-16|4622.0|0|4622.0|0|117.0|0|0.0|100
0|2021-12-17|4631.0|0|4631.0|0|117.0|0|0.0|100
0|2021-12-18|4631.0|0|4631.0|0|117.0|0|0.0|100
0|2021-12-19|4631.0|0|4631.0|0|117.0|0|0.0|100
0|2021-12-20|4640.0|0|4640.0|0|117.0|0|0.0|100
0|2021-12-21|4650.0|0|4650.0|0|117.0|0|0.0|100
0|2021-12-22|4657.0|0|4657.0|0|117.0|0|0.0|100
0|2021-12-23|4657.0|0|4657.0|0|117.0|0|0.0|100
0|2021-12-24|4657.0|0|4657.0|0|117.0|0|0.0|100
0|2021-12-25|4657.0|0|4657.0|0|117.0|0|0.0|100
0|2021-12-26|4657.0|0|4657.0|0|117.0|0|0.0|100
0|2021-12-27|4740.0|0|4740.0|0|117.0|0|0.0|100
0|2021-12-28|4789.0|0|4789.0|0|117.0|0|0.0|100
0|2021-12-29|4844.0|0|4844.0|0|117.0|0|0.0|100
0|2021-12-30|4896.0|0|4896.0|0|117.0|0|0.0|100
0|2021-12-31|4896.0|0|4896.0|0|117.0|0|0.0|100
0|2022-01-01|4896.0|0|4896.0|0|117.0|0|0.0|100
0|2022-01-02|4896.0|0|4896.0|0|117.0|0|0.0|100
0|2022-01-03|4997.0|0|4997.0|0|117.0|0|0.0|100
0|2022-01-04|5065.0|0|5065.0|0|117.0|0|0.0|100
0|2022-01-05|5124.0|0|5124.0|0|117.0|0|0.0|100
0|2022-01-06|5196.0|0|5196.0|0|117.0|0|0.0|100
0|2022-01-07|5247.0|0|5247.0|0|117.0|0|0.0|100
0|2022-01-08|5247.0|0|5247.0|0|117.0|0|0.0|100
0|2022-01-09|5247.0|0|5247.0|0|117.0|0|0.0|100
0|2022-01-10|5247.0|0|5286.0|0|117.0|0|0.0|100
0|2022-01-11|5396.0|0|5396.0|0|118.0|0|0.0|100
0|2022-01-12|5396.0|0|5430.0|0|118.0|0|0.0|100
0|2022-01-13|5396.0|0|5524.0|0|118.0|0|0.0|100
0|2022-01-14|5630.0|0|5630.0|0|120.0|0|0.0|100
0|2022-01-15|5630.0|0|5630.0|0|120.0|0|0.0|100
0|2022-01-16|5630.0|0|5630.0|0|120.0|0|0.0|100
0|2022-01-17|5630.0|0|0.0|100|120.0|0|0.0|100
