|dates|Smith_Texas_UnitedStates.AveragePrecipitationTotal.data|Smith_Texas_UnitedStates.AveragePrecipitationTotal.missing|Smith_Texas_UnitedStates.AveragePrecipitation.data|Smith_Texas_UnitedStates.AveragePrecipitation.missing|Smith_Texas_UnitedStates.AverageWindDirection.data|Smith_Texas_UnitedStates.AverageWindDirection.missing|Smith_Texas_UnitedStates.AverageWindSpeed.data|Smith_Texas_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|35.208333333333336|0|2.1458333333333335|0
0|2021-10-18|0.0|0|0.0|0|92.91666666666667|0|5.125|0
0|2021-10-19|0.0|0|0.0|0|146.04166666666666|0|7.020833333333333|0
0|2021-10-20|0.0|0|0.0|0|123.75|0|4.666666666666667|0
0|2021-10-21|0.0|0|0.0|0|137.08333333333334|0|4.104166666666667|0
0|2021-10-22|0.0|0|0.0|0|80.41666666666667|0|6.125|0
0|2021-10-23|0.0|0|0.0|0|170.79861111111111|0|10.17361111111111|0
0|2021-10-24|0.0|0|0.0|0|188.75|0|10.416666666666666|0
0|2021-10-25|0.0|0|0.0|0|111.04166666666667|0|4.520833333333333|0
0|2021-10-26|0.0|0|0.0|0|136.80555555555554|0|10.381944444444445|0
0|2021-10-27|0.0|0|0.017430555555555557|0|213.33333333333334|0|10.916666666666666|0
0|2021-10-28|0.023749999999999997|0|0.0|0|300.2083333333333|0|19.020833333333332|0
0|2021-10-29|0.0|0|0.0|0|308.3333333333333|0|14.875|0
0|2021-10-30|0.0|0|0.0|0|228.54166666666666|0|4.979166666666667|0
0|2021-10-31|0.0|0|0.0|0|32.291666666666664|0|1.7916666666666667|0
0|2021-11-01|0.0|0|0.0|0|82.08333333333333|0|4.875|0
0|2021-11-02|0.0|0|0.0010416666666666667|0|62.5|0|6.583333333333333|0
0|2021-11-03|0.00020833333333333335|0|0.01605555555555556|0|57.736111111111114|0|9.413194444444445|0
0|2021-11-04|0.023333333333333334|0|0.0|0|43.194444444444436|0|6.784722222222222|0
0|2021-11-05|0.0|0|0.0|0|33.958333333333336|0|2.8125|0
0|2021-11-06|0.0|0|0.0|0|44.583333333333336|0|2.4166666666666665|0
0|2021-11-07|0.0|0|0.0|0|143.54166666666666|0|6.145833333333333|0
0|2021-11-08|0.0|0|0.0|0|171.45833333333334|0|7.166666666666667|0
0|2021-11-09|0.0|0|0.0|0|167.5|0|7.083333333333333|0
0|2021-11-10|0.0|0|0.01245833333333333|0|166.60416666666666|0|10.80625|0
0|2021-11-11|0.017916666666666668|0|0.005833333333333334|0|278.8541666666667|0|6.833333333333333|0
0|2021-11-12|0.0|0|0.0|0|216.66666666666666|0|6.666666666666667|0
0|2021-11-13|0.0|0|0.0|0|163.33333333333334|0|5.083333333333333|0
0|2021-11-14|0.0|0|0.0|0|121.875|0|4.583333333333333|0
0|2021-11-15|0.0|0|0.0|0|158.4375|0|8.041666666666666|0
