|dates|Stanton_Kansas_UnitedStates.AveragePrecipitationTotal.data|Stanton_Kansas_UnitedStates.AveragePrecipitationTotal.missing|Stanton_Kansas_UnitedStates.AveragePrecipitation.data|Stanton_Kansas_UnitedStates.AveragePrecipitation.missing|Stanton_Kansas_UnitedStates.AverageWindDirection.data|Stanton_Kansas_UnitedStates.AverageWindDirection.missing|Stanton_Kansas_UnitedStates.AverageWindSpeed.data|Stanton_Kansas_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|218.95833333333334|0|14.416666666666666|0
0|2021-10-18|0.0|0|0.0|0|196.14583333333334|0|17.583333333333332|0
0|2021-10-19|0.0|0|0.0|0|228.95833333333334|0|18.572916666666668|0
0|2021-10-20|0.0|0|0.0|0|252.5|0|10.552083333333334|0
0|2021-10-21|0.0|0|0.0|0|155.10416666666666|0|5.739583333333333|0
0|2021-10-22|0.0|0|0.0|0|175.72916666666666|0|7.541666666666667|0
0|2021-10-23|0.0|0|0.0|0|228.54166666666666|0|11.135416666666666|0
0|2021-10-24|0.0|0|0.0|0|219.89583333333334|0|10.28125|0
0|2021-10-25|0.0|0|0.0|0|155.41666666666666|0|14.197916666666666|0
0|2021-10-26|0.0|0|0.0|0|216.97916666666666|0|19.802083333333332|0
0|2021-10-27|0.0|0|0.0|0|341.0416666666667|0|26.864583333333332|0
0|2021-10-28|0.0|0|0.0|0|336.7708333333333|0|21.385416666666668|0
0|2021-10-29|0.0|0|0.0|0|241.77083333333334|0|8.583333333333334|0
0|2021-10-30|0.0|0|0.0|0|168.64583333333334|0|12.8125|0
0|2021-10-31|0.0|0|0.0|0|111.25|0|11.260416666666666|0
0|2021-11-01|0.0|0|0.0|0|107.70833333333333|0|9.369791666666666|0
0|2021-11-02|0.0|0|0.0|0|122.8125|0|8.604166666666666|0
0|2021-11-03|0.0|0|0.0|0|139.375|0|6.239583333333333|0
0|2021-11-04|0.0|0|0.0|0|214.58333333333334|0|13.3125|0
0|2021-11-05|0.0|0|0.0|0|174.89583333333334|0|11.541666666666666|0
0|2021-11-06|0.0|0|0.0|0|215.3125|0|13.5|0
0|2021-11-07|0.0|0|0.0|0|217.65625|0|12.567708333333334|0
0|2021-11-08|0.0|0|0.0|0|230.83333333333334|0|13.09375|0
0|2021-11-09|0.0|0|0.0|0|214.375|0|8.6875|0
0|2021-11-10|0.0|0|0.0|0|257.1875|0|14.875|0
0|2021-11-11|0.0|0|0.0|0|264.8958333333333|0|10.53125|0
0|2021-11-12|0.0|0|0.0|0|212.29166666666666|0|11.416666666666666|0
