|dates|Stearns_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Stearns_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Stearns_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Stearns_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Stearns_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Stearns_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Stearns_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Stearns_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|27922.0|0|27922.0|0|252.0|0|0.0|100
0|2021-10-18|28036.0|0|28036.0|0|252.0|0|0.0|100
0|2021-10-19|28298.0|0|28298.0|0|252.0|0|0.0|100
0|2021-10-20|28364.0|0|28364.0|0|253.0|0|0.0|100
0|2021-10-21|28397.0|0|28397.0|0|253.0|0|0.0|100
0|2021-10-22|28419.0|0|28419.0|0|253.0|0|0.0|100
0|2021-10-23|28419.0|0|28419.0|0|253.0|0|0.0|100
0|2021-10-24|28419.0|0|28419.0|0|253.0|0|0.0|100
0|2021-10-25|28657.0|0|28657.0|0|254.0|0|0.0|100
0|2021-10-26|28901.0|0|28901.0|0|255.0|0|0.0|100
0|2021-10-27|28957.0|0|28957.0|0|257.0|0|0.0|100
0|2021-10-28|29087.0|0|29087.0|0|258.0|0|0.0|100
0|2021-10-29|29213.0|0|29213.0|0|259.0|0|0.0|100
0|2021-10-30|29213.0|0|29213.0|0|259.0|0|0.0|100
0|2021-10-31|29213.0|0|29213.0|0|259.0|0|0.0|100
0|2021-11-01|29547.0|0|29547.0|0|259.0|0|0.0|100
0|2021-11-02|29763.0|0|29763.0|0|259.0|0|0.0|100
0|2021-11-03|29849.0|0|29849.0|0|259.0|0|0.0|100
0|2021-11-04|29998.0|0|29998.0|0|259.0|0|0.0|100
0|2021-11-05|30110.0|0|30110.0|0|260.0|0|0.0|100
0|2021-11-06|30110.0|0|30110.0|0|260.0|0|0.0|100
0|2021-11-07|30110.0|0|30110.0|0|260.0|0|0.0|100
0|2021-11-08|30255.0|0|30255.0|0|260.0|0|0.0|100
0|2021-11-09|30475.0|0|30475.0|0|261.0|0|0.0|100
0|2021-11-10|30635.0|0|30635.0|0|261.0|0|0.0|100
0|2021-11-11|30823.0|0|30823.0|0|262.0|0|0.0|100
0|2021-11-12|30974.0|0|30974.0|0|263.0|0|0.0|100
0|2021-11-13|30974.0|0|30974.0|0|263.0|0|0.0|100
0|2021-11-14|30974.0|0|30974.0|0|263.0|0|0.0|100
0|2021-11-15|31142.0|0|31142.0|0|263.0|0|0.0|100
0|2021-11-16|31493.0|0|31493.0|0|268.0|0|0.0|100
0|2021-11-17|31591.0|0|31591.0|0|269.0|0|0.0|100
0|2021-11-18|31791.0|0|31791.0|0|270.0|0|0.0|100
0|2021-11-19|31982.0|0|31982.0|0|270.0|0|0.0|100
0|2021-11-20|31982.0|0|31982.0|0|270.0|0|0.0|100
0|2021-11-21|31982.0|0|31982.0|0|270.0|0|0.0|100
0|2021-11-22|32146.0|0|32146.0|0|271.0|0|0.0|100
0|2021-11-23|32543.0|0|32543.0|0|271.0|0|0.0|100
0|2021-11-24|32672.0|0|32672.0|0|274.0|0|0.0|100
0|2021-11-25|32672.0|0|32672.0|0|274.0|0|0.0|100
0|2021-11-26|32821.0|0|32821.0|0|275.0|0|0.0|100
0|2021-11-27|32821.0|0|32821.0|0|275.0|0|0.0|100
0|2021-11-28|32821.0|0|32821.0|0|275.0|0|0.0|100
0|2021-11-29|32978.0|0|32978.0|0|276.0|0|0.0|100
0|2021-11-30|33475.0|0|33475.0|0|276.0|0|0.0|100
0|2021-12-01|33631.0|0|33631.0|0|279.0|0|0.0|100
0|2021-12-02|33805.0|0|33805.0|0|283.0|0|0.0|100
0|2021-12-03|34021.0|0|34021.0|0|287.0|0|0.0|100
0|2021-12-04|34021.0|0|34021.0|0|287.0|0|0.0|100
0|2021-12-05|34021.0|0|34021.0|0|287.0|0|0.0|100
0|2021-12-06|34249.0|0|34249.0|0|288.0|0|0.0|100
0|2021-12-07|34679.0|0|34679.0|0|289.0|0|0.0|100
0|2021-12-08|34789.0|0|34789.0|0|293.0|0|0.0|100
0|2021-12-09|34958.0|0|34958.0|0|295.0|0|0.0|100
0|2021-12-10|35130.0|0|35130.0|0|296.0|0|0.0|100
0|2021-12-11|35130.0|0|35130.0|0|296.0|0|0.0|100
0|2021-12-12|35130.0|0|35130.0|0|296.0|0|0.0|100
0|2021-12-13|35262.0|0|35262.0|0|297.0|0|0.0|100
0|2021-12-14|35262.0|0|35618.0|0|297.0|0|0.0|100
0|2021-12-15|35708.0|0|35708.0|0|298.0|0|0.0|100
0|2021-12-16|35860.0|0|35860.0|0|298.0|0|0.0|100
0|2021-12-17|35975.0|0|35975.0|0|298.0|0|0.0|100
0|2021-12-18|35975.0|0|35975.0|0|298.0|0|0.0|100
0|2021-12-19|35975.0|0|35975.0|0|298.0|0|0.0|100
0|2021-12-20|36089.0|0|36089.0|0|300.0|0|0.0|100
0|2021-12-21|36313.0|0|36313.0|0|303.0|0|0.0|100
0|2021-12-22|36384.0|0|36384.0|0|303.0|0|0.0|100
0|2021-12-23|36480.0|0|36480.0|0|306.0|0|0.0|100
0|2021-12-24|36480.0|0|36480.0|0|306.0|0|0.0|100
0|2021-12-25|36480.0|0|36480.0|0|306.0|0|0.0|100
0|2021-12-26|36480.0|0|36480.0|0|306.0|0|0.0|100
0|2021-12-27|36613.0|0|36613.0|0|309.0|0|0.0|100
0|2021-12-28|36903.0|0|36903.0|0|310.0|0|0.0|100
0|2021-12-29|37020.0|0|37020.0|0|311.0|0|0.0|100
0|2021-12-30|37185.0|0|37185.0|0|311.0|0|0.0|100
0|2021-12-31|37185.0|0|37185.0|0|311.0|0|0.0|100
0|2022-01-01|37185.0|0|37185.0|0|311.0|0|0.0|100
0|2022-01-02|37185.0|0|37185.0|0|311.0|0|0.0|100
0|2022-01-03|37250.0|0|37250.0|0|314.0|0|0.0|100
0|2022-01-04|37455.0|0|37455.0|0|316.0|0|0.0|100
0|2022-01-05|37529.0|0|37529.0|0|320.0|0|0.0|100
0|2022-01-06|37643.0|0|37643.0|0|321.0|0|0.0|100
0|2022-01-07|38068.0|0|38068.0|0|321.0|0|0.0|100
0|2022-01-08|38068.0|0|38068.0|0|321.0|0|0.0|100
0|2022-01-09|38068.0|0|38068.0|0|321.0|0|0.0|100
0|2022-01-10|38403.0|0|38403.0|0|322.0|0|0.0|100
0|2022-01-11|39519.0|0|39519.0|0|322.0|0|0.0|100
0|2022-01-12|39749.0|0|39749.0|0|322.0|0|0.0|100
0|2022-01-13|39749.0|0|40179.0|0|322.0|0|0.0|100
