|dates|Stephenson_Illinois_UnitedStates.AveragePrecipitationTotal.data|Stephenson_Illinois_UnitedStates.AveragePrecipitationTotal.missing|Stephenson_Illinois_UnitedStates.AveragePrecipitation.data|Stephenson_Illinois_UnitedStates.AveragePrecipitation.missing|Stephenson_Illinois_UnitedStates.AverageWindDirection.data|Stephenson_Illinois_UnitedStates.AverageWindDirection.missing|Stephenson_Illinois_UnitedStates.AverageWindSpeed.data|Stephenson_Illinois_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|278.3333333333333|0|9.864583333333334|0
0|2021-10-18|0.0|0|0.0|0|214.27083333333334|0|6.947916666666667|0
0|2021-10-19|0.0|0|0.0|0|205.625|0|10.09375|0
0|2021-10-20|0.0|0|0.0|0|202.8125|0|10.21875|0
0|2021-10-21|0.0|0|0.0004166666666666667|0|274.7916666666667|0|12.208333333333334|0
0|2021-10-22|0.00020833333333333335|0|0.0|0|198.22916666666666|0|5.177083333333333|0
0|2021-10-23|0.0|0|0.0|0|91.04166666666667|0|4.078125|0
0|2021-10-24|0.0|0|0.01583333333333334|0|72.23958333333333|0|12.114583333333334|0
0|2021-10-25|0.0|0|0.0059895833333333355|0|30.989583333333332|0|18.90625|0
0|2021-10-26|0.0|0|0.0|0|114.32291666666667|0|6.083333333333333|0
0|2021-10-27|0.0|0|0.0|0|111.04166666666667|0|8.635416666666666|0
0|2021-10-28|0.0|0|0.009687500000000003|0|56.979166666666664|0|11.197916666666666|0
0|2021-10-29|0.006875|0|0.00010416666666666667|0|26.666666666666668|0|17.104166666666668|0
0|2021-10-30|0.0|0|0.0|0|120.9375|0|9.541666666666666|0
0|2021-10-31|0.0|0|0.0|0|310.0520833333333|0|12.5625|0
0|2021-11-01|0.0|0|0.0|0|282.2916666666667|0|12.427083333333334|0
0|2021-11-02|0.0|0|0.0|0|297.03125|0|11.328125|0
0|2021-11-03|0.0|0|0.0|0|219.89583333333334|0|4.989583333333333|0
0|2021-11-04|0.0|0|0.0|0|193.38541666666666|0|8.651041666666666|0
0|2021-11-05|0.0|0|0.0|0|204.375|0|13.625|0
0|2021-11-06|0.0|0|0.0|0|216.04166666666666|0|15.03125|0
0|2021-11-07|0.0|0|0.0|0|209.84375|0|13.416666666666666|0
0|2021-11-08|0.0|0|0.0|0|182.29166666666666|0|7.125|0
0|2021-11-09|0.0|0|0.0|0|41.197916666666664|0|9.348958333333334|0
0|2021-11-10|0.0|0|0.0|0|114.53125|0|10.765625|0
0|2021-11-11|0.0|0|0.006041666666666667|0|222.8125|0|19.385416666666668|0
0|2021-11-12|0.004583333333333333|0|0.0|0|253.64583333333334|0|16.625|0
0|2021-11-13|0.0|0|0.0|0|278.8541666666667|0|12.3125|0
0|2021-11-14|0.0|0|0.0|0|297.8125|0|14.979166666666666|0
0|2021-11-15|0.0|0|0.0|0|148.33333333333334|0|3.9166666666666665|0
