|dates|Stutsman_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Stutsman_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Stutsman_NorthDakota_UnitedStates.Male_Total_Population.data|Stutsman_NorthDakota_UnitedStates.Male_Total_Population.missing|Stutsman_NorthDakota_UnitedStates.Female_Total_Population.data|Stutsman_NorthDakota_UnitedStates.Female_Total_Population.missing|Stutsman_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Stutsman_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-10-18|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-10-19|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-10-20|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-10-21|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-10-22|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-10-23|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-10-24|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-10-25|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-10-26|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-10-27|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-10-28|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-10-29|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-10-30|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-10-31|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-01|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-02|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-03|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-04|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-05|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-06|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-07|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-08|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-09|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-10|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-11|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-12|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-13|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-14|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-15|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-16|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-17|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-18|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-19|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-20|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-21|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-22|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-23|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-24|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-25|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-26|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-27|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-28|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-29|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-11-30|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-01|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-02|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-03|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-04|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-05|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-06|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-07|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-08|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-09|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-10|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-11|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-12|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-13|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-14|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-15|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-16|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-17|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-18|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-19|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-20|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-21|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-22|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-23|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-24|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-25|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-26|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-27|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-28|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-29|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-30|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2021-12-31|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2022-01-01|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2022-01-02|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2022-01-03|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2022-01-04|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2022-01-05|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2022-01-06|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2022-01-07|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2022-01-08|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2022-01-09|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2022-01-10|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2022-01-11|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2022-01-12|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2022-01-13|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2022-01-14|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2022-01-15|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2022-01-16|3993.0|0|10758.0|0|10159.0|0|4190.0|0
0|2022-01-17|3993.0|0|10758.0|0|10159.0|0|4190.0|0
