|dates|Surry_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Surry_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Surry_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Surry_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Surry_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Surry_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Surry_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Surry_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-10-18|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-10-19|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-10-20|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-10-21|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-10-22|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-10-23|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-10-24|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-10-25|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-10-26|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-10-27|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-10-28|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-10-29|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-10-30|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-10-31|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-11-01|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-11-02|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-11-03|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
