|dates|Sussex_Virginia_UnitedStates.AverageDailyTemperature.data|Sussex_Virginia_UnitedStates.AverageDailyTemperature.missing|Sussex_Virginia_UnitedStates.AverageDewPoint.data|Sussex_Virginia_UnitedStates.AverageDewPoint.missing|Sussex_Virginia_UnitedStates.AverageRelativeHumidity.data|Sussex_Virginia_UnitedStates.AverageRelativeHumidity.missing|Sussex_Virginia_UnitedStates.AverageSurfaceAirPressure.data|Sussex_Virginia_UnitedStates.AverageSurfaceAirPressure.missing
0|2021-10-17|56.833333333333336|0|45.458333333333336|0|70.125|0|29.88333333333334|0
0|2021-10-18|56.416666666666664|0|42.354166666666664|0|63.4375|0|29.93875|0
0|2021-10-19|56.541666666666664|0|45.083333333333336|0|71.29166666666667|0|30.048749999999988|0
0|2021-10-20|60.083333333333336|0|49.333333333333336|0|73.29166666666667|0|30.05208333333333|0
0|2021-10-21|63.791666666666664|0|52.416666666666664|0|70.33333333333333|0|29.94125|0
0|2021-10-22|67.23333333333333|0|61.24166666666667|0|81.61666666666666|0|29.82779166666668|0
0|2021-10-23|59.666666666666664|0|53.291666666666664|0|82.08333333333333|0|29.884583333333335|0
0|2021-10-24|63.5|0|54.0|0|74.95833333333333|0|30.015833333333337|0
0|2021-10-25|66.79960317460318|0|64.16150793650795|0|91.34146825396824|0|29.78453373015873|0
0|2021-10-26|63.5375|0|52.081944444444446|0|69.12777777777778|0|29.503083333333336|0
0|2021-10-27|59.020833333333336|0|48.958333333333336|0|70.79166666666667|0|29.655625|0
0|2021-10-28|59.479166666666664|0|54.59583333333333|0|84.91666666666667|0|29.762541666666667|0
0|2021-10-29|65.39861111111111|0|63.16527777777778|0|92.69583333333333|0|29.44095833333333|0
0|2021-10-30|56.5625|0|50.708333333333336|0|81.83333333333333|0|29.478958333333328|0
0|2021-10-31|59.208333333333336|0|51.916666666666664|0|78.79166666666667|0|29.654999999999998|0
0|2021-11-01|55.333333333333336|0|48.5|0|80.95833333333333|0|30.025000000000006|0
0|2021-11-02|51.666666666666664|0|48.61111111111111|0|90.01041666666667|0|30.106215277777775|0
0|2021-11-03|48.125|0|38.5|0|73.3125|0|30.203125000000004|0
0|2021-11-04|47.416666666666664|0|39.458333333333336|0|74.66666666666667|0|30.171666666666667|0
0|2021-11-05|44.583333333333336|0|33.583333333333336|0|68.70833333333333|0|30.21541666666667|0
0|2021-11-06|47.586805555555564|0|41.795138888888886|0|80.9513888888889|0|30.151805555555566|0
0|2021-11-07|49.6875|0|42.208333333333336|0|76.33333333333333|0|29.99020833333334|0
