|dates|Swisher_Texas_UnitedStates.JHU_ConfirmedCases.data|Swisher_Texas_UnitedStates.JHU_ConfirmedCases.missing|Swisher_Texas_UnitedStates.NYT_ConfirmedCases.data|Swisher_Texas_UnitedStates.NYT_ConfirmedCases.missing|Swisher_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Swisher_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Swisher_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Swisher_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1470.0|0|1470.0|0|22.0|0|0.0|100
0|2021-10-18|1470.0|0|1470.0|0|22.0|0|0.0|100
0|2021-10-19|1474.0|0|1474.0|0|22.0|0|0.0|100
0|2021-10-20|1475.0|0|1475.0|0|22.0|0|0.0|100
0|2021-10-21|1475.0|0|1475.0|0|22.0|0|0.0|100
0|2021-10-22|1475.0|0|1475.0|0|22.0|0|0.0|100
0|2021-10-23|1477.0|0|1477.0|0|22.0|0|0.0|100
0|2021-10-24|1477.0|0|1477.0|0|22.0|0|0.0|100
0|2021-10-25|1477.0|0|1477.0|0|22.0|0|0.0|100
0|2021-10-26|1481.0|0|1481.0|0|22.0|0|0.0|100
0|2021-10-27|1481.0|0|1481.0|0|22.0|0|0.0|100
0|2021-10-28|1481.0|0|1481.0|0|22.0|0|0.0|100
0|2021-10-29|1481.0|0|1481.0|0|22.0|0|0.0|100
0|2021-10-30|1483.0|0|1483.0|0|22.0|0|0.0|100
0|2021-10-31|1483.0|0|1483.0|0|22.0|0|0.0|100
0|2021-11-01|1483.0|0|1483.0|0|22.0|0|0.0|100
0|2021-11-02|1483.0|0|1483.0|0|22.0|0|0.0|100
0|2021-11-03|1483.0|0|1483.0|0|22.0|0|0.0|100
0|2021-11-04|1483.0|0|1483.0|0|22.0|0|0.0|100
0|2021-11-05|1483.0|0|1483.0|0|22.0|0|0.0|100
0|2021-11-06|1483.0|0|1483.0|0|22.0|0|0.0|100
0|2021-11-07|1483.0|0|1483.0|0|22.0|0|0.0|100
0|2021-11-08|1483.0|0|1483.0|0|22.0|0|0.0|100
0|2021-11-09|1484.0|0|1484.0|0|22.0|0|0.0|100
0|2021-11-10|1484.0|0|1484.0|0|22.0|0|0.0|100
0|2021-11-11|1491.0|0|1491.0|0|22.0|0|0.0|100
0|2021-11-12|1491.0|0|1491.0|0|22.0|0|0.0|100
0|2021-11-13|1491.0|0|1491.0|0|22.0|0|0.0|100
0|2021-11-14|1491.0|0|1491.0|0|22.0|0|0.0|100
0|2021-11-15|1491.0|0|1491.0|0|22.0|0|0.0|100
0|2021-11-16|1491.0|0|1491.0|0|22.0|0|0.0|100
0|2021-11-17|1495.0|0|1495.0|0|22.0|0|0.0|100
0|2021-11-18|1495.0|0|1495.0|0|22.0|0|0.0|100
0|2021-11-19|1494.0|0|1494.0|0|22.0|0|0.0|100
0|2021-11-20|1495.0|0|1495.0|0|22.0|0|0.0|100
0|2021-11-21|1495.0|0|1495.0|0|22.0|0|0.0|100
0|2021-11-22|1495.0|0|1495.0|0|22.0|0|0.0|100
0|2021-11-23|1496.0|0|1496.0|0|22.0|0|0.0|100
0|2021-11-24|1496.0|0|1496.0|0|22.0|0|0.0|100
0|2021-11-25|1496.0|0|1496.0|0|22.0|0|0.0|100
0|2021-11-26|1496.0|0|1496.0|0|22.0|0|0.0|100
0|2021-11-27|1496.0|0|1496.0|0|22.0|0|0.0|100
0|2021-11-28|1496.0|0|1496.0|0|22.0|0|0.0|100
0|2021-11-29|1488.0|0|1488.0|0|22.0|0|0.0|100
0|2021-11-30|1490.0|0|1490.0|0|22.0|0|0.0|100
0|2021-12-01|1492.0|0|1492.0|0|22.0|0|0.0|100
0|2021-12-02|1494.0|0|1494.0|0|22.0|0|0.0|100
0|2021-12-03|1495.0|0|1495.0|0|22.0|0|0.0|100
0|2021-12-04|1499.0|0|1499.0|0|22.0|0|0.0|100
0|2021-12-05|1499.0|0|1501.0|0|22.0|0|0.0|100
0|2021-12-06|1505.0|0|1505.0|0|22.0|0|0.0|100
0|2021-12-07|1506.0|0|1506.0|0|22.0|0|0.0|100
0|2021-12-08|1506.0|0|1506.0|0|23.0|0|0.0|100
0|2021-12-09|1507.0|0|1507.0|0|23.0|0|0.0|100
