|dates|Tattnall_Georgia_UnitedStates.JHU_ConfirmedCases.data|Tattnall_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Tattnall_Georgia_UnitedStates.NYT_ConfirmedCases.data|Tattnall_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Tattnall_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Tattnall_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Tattnall_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Tattnall_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3773.0|0|3783.0|0|103.0|0|0.0|100
0|2021-10-18|3777.0|0|3786.0|0|103.0|0|0.0|100
0|2021-10-19|3778.0|0|3787.0|0|103.0|0|0.0|100
0|2021-10-20|3785.0|0|3794.0|0|105.0|0|0.0|100
0|2021-10-21|3790.0|0|3799.0|0|105.0|0|0.0|100
0|2021-10-22|3792.0|0|3801.0|0|106.0|0|0.0|100
0|2021-10-23|3792.0|0|3801.0|0|106.0|0|0.0|100
0|2021-10-24|3792.0|0|3801.0|0|106.0|0|0.0|100
0|2021-10-25|3794.0|0|3804.0|0|106.0|0|0.0|100
0|2021-10-26|3794.0|0|3804.0|0|106.0|0|0.0|100
0|2021-10-27|3797.0|0|3807.0|0|106.0|0|0.0|100
0|2021-10-28|3802.0|0|3812.0|0|106.0|0|0.0|100
0|2021-10-29|3803.0|0|3813.0|0|106.0|0|0.0|100
0|2021-10-30|3803.0|0|3813.0|0|106.0|0|0.0|100
0|2021-10-31|3803.0|0|3813.0|0|106.0|0|0.0|100
0|2021-11-01|3805.0|0|3815.0|0|106.0|0|0.0|100
0|2021-11-02|3805.0|0|3815.0|0|106.0|0|0.0|100
0|2021-11-03|3806.0|0|3816.0|0|107.0|0|0.0|100
0|2021-11-04|3807.0|0|3817.0|0|107.0|0|0.0|100
0|2021-11-05|3808.0|0|3818.0|0|109.0|0|0.0|100
0|2021-11-06|3808.0|0|3818.0|0|109.0|0|0.0|100
0|2021-11-07|3808.0|0|3818.0|0|109.0|0|0.0|100
0|2021-11-08|3808.0|0|3819.0|0|109.0|0|0.0|100
0|2021-11-09|3814.0|0|3825.0|0|109.0|0|0.0|100
0|2021-11-10|3814.0|0|3827.0|0|109.0|0|0.0|100
0|2021-11-11|3816.0|0|3827.0|0|109.0|0|0.0|100
0|2021-11-12|3821.0|0|3832.0|0|109.0|0|0.0|100
0|2021-11-13|3821.0|0|3832.0|0|109.0|0|0.0|100
0|2021-11-14|3821.0|0|3832.0|0|109.0|0|0.0|100
0|2021-11-15|3824.0|0|3835.0|0|109.0|0|0.0|100
0|2021-11-16|3825.0|0|3836.0|0|110.0|0|0.0|100
0|2021-11-17|3825.0|0|3836.0|0|111.0|0|0.0|100
0|2021-11-18|3830.0|0|3841.0|0|111.0|0|0.0|100
0|2021-11-19|3832.0|0|3843.0|0|111.0|0|0.0|100
0|2021-11-20|3832.0|0|3843.0|0|111.0|0|0.0|100
0|2021-11-21|3832.0|0|3843.0|0|111.0|0|0.0|100
0|2021-11-22|3832.0|0|3843.0|0|111.0|0|0.0|100
0|2021-11-23|3834.0|0|3845.0|0|112.0|0|0.0|100
0|2021-11-24|3836.0|0|3847.0|0|113.0|0|0.0|100
0|2021-11-25|3836.0|0|3847.0|0|113.0|0|0.0|100
0|2021-11-26|3836.0|0|3847.0|0|113.0|0|0.0|100
0|2021-11-27|3836.0|0|3847.0|0|113.0|0|0.0|100
0|2021-11-28|3836.0|0|3847.0|0|113.0|0|0.0|100
0|2021-11-29|3839.0|0|3850.0|0|113.0|0|0.0|100
0|2021-11-30|3842.0|0|3855.0|0|114.0|0|0.0|100
0|2021-12-01|3848.0|0|3861.0|0|114.0|0|0.0|100
0|2021-12-02|3848.0|0|3863.0|0|114.0|0|0.0|100
0|2021-12-03|3852.0|0|3865.0|0|115.0|0|0.0|100
0|2021-12-04|3852.0|0|3865.0|0|115.0|0|0.0|100
0|2021-12-05|3852.0|0|3865.0|0|115.0|0|0.0|100
0|2021-12-06|3857.0|0|3869.0|0|115.0|0|0.0|100
0|2021-12-07|3858.0|0|3870.0|0|115.0|0|0.0|100
0|2021-12-08|3860.0|0|3872.0|0|115.0|0|0.0|100
0|2021-12-09|3862.0|0|3874.0|0|115.0|0|0.0|100
0|2021-12-10|3865.0|0|3877.0|0|115.0|0|0.0|100
0|2021-12-11|3865.0|0|3877.0|0|115.0|0|0.0|100
0|2021-12-12|3865.0|0|3877.0|0|115.0|0|0.0|100
0|2021-12-13|3865.0|0|3877.0|0|115.0|0|0.0|100
0|2021-12-14|3865.0|0|3877.0|0|115.0|0|0.0|100
0|2021-12-15|3867.0|0|3879.0|0|115.0|0|0.0|100
0|2021-12-16|3868.0|0|3880.0|0|116.0|0|0.0|100
0|2021-12-17|3869.0|0|3881.0|0|116.0|0|0.0|100
0|2021-12-18|3869.0|0|3881.0|0|116.0|0|0.0|100
0|2021-12-19|3869.0|0|3881.0|0|116.0|0|0.0|100
0|2021-12-20|3872.0|0|3884.0|0|116.0|0|0.0|100
0|2021-12-21|3872.0|0|3884.0|0|116.0|0|0.0|100
0|2021-12-22|3876.0|0|3888.0|0|116.0|0|0.0|100
0|2021-12-23|3880.0|0|3892.0|0|116.0|0|0.0|100
0|2021-12-24|3882.0|0|3894.0|0|116.0|0|0.0|100
0|2021-12-25|3882.0|0|3894.0|0|116.0|0|0.0|100
0|2021-12-26|3882.0|0|3894.0|0|116.0|0|0.0|100
0|2021-12-27|3885.0|0|3897.0|0|116.0|0|0.0|100
0|2021-12-28|3893.0|0|3905.0|0|116.0|0|0.0|100
0|2021-12-29|3907.0|0|3919.0|0|117.0|0|0.0|100
0|2021-12-30|3914.0|0|3926.0|0|117.0|0|0.0|100
0|2021-12-31|3934.0|0|3946.0|0|117.0|0|0.0|100
0|2022-01-01|3934.0|0|3946.0|0|117.0|0|0.0|100
0|2022-01-02|3934.0|0|3946.0|0|117.0|0|0.0|100
