|dates|Throckmorton_Texas_UnitedStates.JHU_ConfirmedCases.data|Throckmorton_Texas_UnitedStates.JHU_ConfirmedCases.missing|Throckmorton_Texas_UnitedStates.NYT_ConfirmedCases.data|Throckmorton_Texas_UnitedStates.NYT_ConfirmedCases.missing|Throckmorton_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Throckmorton_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Throckmorton_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Throckmorton_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|118.0|0|118.0|0|6.0|0|0.0|100
0|2021-10-18|118.0|0|118.0|0|6.0|0|0.0|100
0|2021-10-19|121.0|0|121.0|0|6.0|0|0.0|100
0|2021-10-20|121.0|0|121.0|0|6.0|0|0.0|100
0|2021-10-21|122.0|0|122.0|0|6.0|0|0.0|100
0|2021-10-22|122.0|0|122.0|0|6.0|0|0.0|100
0|2021-10-23|124.0|0|124.0|0|6.0|0|0.0|100
0|2021-10-24|124.0|0|124.0|0|6.0|0|0.0|100
0|2021-10-25|124.0|0|124.0|0|6.0|0|0.0|100
0|2021-10-26|129.0|0|129.0|0|6.0|0|0.0|100
0|2021-10-27|130.0|0|130.0|0|6.0|0|0.0|100
0|2021-10-28|130.0|0|130.0|0|6.0|0|0.0|100
0|2021-10-29|130.0|0|130.0|0|6.0|0|0.0|100
0|2021-10-30|130.0|0|130.0|0|6.0|0|0.0|100
0|2021-10-31|130.0|0|130.0|0|6.0|0|0.0|100
0|2021-11-01|130.0|0|130.0|0|6.0|0|0.0|100
0|2021-11-02|130.0|0|130.0|0|6.0|0|0.0|100
0|2021-11-03|130.0|0|130.0|0|6.0|0|0.0|100
0|2021-11-04|131.0|0|131.0|0|6.0|0|0.0|100
0|2021-11-05|131.0|0|131.0|0|6.0|0|0.0|100
0|2021-11-06|133.0|0|133.0|0|6.0|0|0.0|100
0|2021-11-07|133.0|0|133.0|0|6.0|0|0.0|100
0|2021-11-08|133.0|0|133.0|0|6.0|0|0.0|100
0|2021-11-09|135.0|0|135.0|0|7.0|0|0.0|100
0|2021-11-10|135.0|0|135.0|0|7.0|0|0.0|100
0|2021-11-11|136.0|0|136.0|0|7.0|0|0.0|100
0|2021-11-12|136.0|0|136.0|0|7.0|0|0.0|100
0|2021-11-13|136.0|0|136.0|0|7.0|0|0.0|100
0|2021-11-14|136.0|0|136.0|0|7.0|0|0.0|100
0|2021-11-15|136.0|0|136.0|0|7.0|0|0.0|100
0|2021-11-16|138.0|0|138.0|0|7.0|0|0.0|100
0|2021-11-17|138.0|0|138.0|0|7.0|0|0.0|100
0|2021-11-18|139.0|0|139.0|0|7.0|0|0.0|100
0|2021-11-19|139.0|0|139.0|0|7.0|0|0.0|100
0|2021-11-20|139.0|0|139.0|0|7.0|0|0.0|100
0|2021-11-21|139.0|0|139.0|0|7.0|0|0.0|100
0|2021-11-22|139.0|0|139.0|0|7.0|0|0.0|100
0|2021-11-23|139.0|0|139.0|0|7.0|0|0.0|100
0|2021-11-24|140.0|0|140.0|0|7.0|0|0.0|100
0|2021-11-25|140.0|0|140.0|0|7.0|0|0.0|100
0|2021-11-26|140.0|0|140.0|0|7.0|0|0.0|100
0|2021-11-27|140.0|0|140.0|0|7.0|0|0.0|100
0|2021-11-28|140.0|0|140.0|0|7.0|0|0.0|100
0|2021-11-29|140.0|0|140.0|0|7.0|0|0.0|100
0|2021-11-30|140.0|0|140.0|0|7.0|0|0.0|100
0|2021-12-01|140.0|0|140.0|0|7.0|0|0.0|100
0|2021-12-02|140.0|0|140.0|0|7.0|0|0.0|100
0|2021-12-03|140.0|0|140.0|0|7.0|0|0.0|100
