|dates|Thurston_Washington_UnitedStates.JHU_ConfirmedCases.data|Thurston_Washington_UnitedStates.JHU_ConfirmedCases.missing|Thurston_Washington_UnitedStates.NYT_ConfirmedCases.data|Thurston_Washington_UnitedStates.NYT_ConfirmedCases.missing|Thurston_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Thurston_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Thurston_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Thurston_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|19516.0|0|19516.0|0|216.0|0|0.0|100
0|2021-10-18|19516.0|0|19516.0|0|216.0|0|0.0|100
0|2021-10-19|19813.0|0|19813.0|0|220.0|0|0.0|100
0|2021-10-20|19900.0|0|19900.0|0|223.0|0|0.0|100
0|2021-10-21|20007.0|0|20007.0|0|224.0|0|0.0|100
0|2021-10-22|20104.0|0|20104.0|0|225.0|0|0.0|100
0|2021-10-23|20104.0|0|20104.0|0|225.0|0|0.0|100
0|2021-10-24|20104.0|0|20104.0|0|225.0|0|0.0|100
0|2021-10-25|20347.0|0|20347.0|0|226.0|0|0.0|100
0|2021-10-26|20436.0|0|20436.0|0|228.0|0|0.0|100
0|2021-10-27|20531.0|0|20531.0|0|231.0|0|0.0|100
0|2021-10-28|20660.0|0|20660.0|0|233.0|0|0.0|100
0|2021-10-29|20742.0|0|20742.0|0|235.0|0|0.0|100
0|2021-10-30|20742.0|0|20742.0|0|235.0|0|0.0|100
0|2021-10-31|20742.0|0|20742.0|0|235.0|0|0.0|100
0|2021-11-01|20954.0|0|20954.0|0|235.0|0|0.0|100
0|2021-11-02|21014.0|0|21014.0|0|236.0|0|0.0|100
0|2021-11-03|21061.0|0|21061.0|0|238.0|0|0.0|100
0|2021-11-04|21159.0|0|21159.0|0|243.0|0|0.0|100
0|2021-11-05|21226.0|0|21226.0|0|245.0|0|0.0|100
0|2021-11-06|21226.0|0|21226.0|0|245.0|0|0.0|100
0|2021-11-07|21226.0|0|21226.0|0|245.0|0|0.0|100
0|2021-11-08|21441.0|0|21441.0|0|247.0|0|0.0|100
0|2021-11-09|21487.0|0|21487.0|0|248.0|0|0.0|100
0|2021-11-10|21487.0|0|21575.0|0|248.0|0|0.0|100
0|2021-11-11|21575.0|0|21575.0|0|248.0|0|0.0|100
0|2021-11-12|21761.0|0|21761.0|0|251.0|0|0.0|100
0|2021-11-13|21761.0|0|21761.0|0|251.0|0|0.0|100
0|2021-11-14|21761.0|0|21761.0|0|251.0|0|0.0|100
0|2021-11-15|21974.0|0|21974.0|0|252.0|0|0.0|100
0|2021-11-16|22044.0|0|22044.0|0|253.0|0|0.0|100
0|2021-11-17|22130.0|0|22130.0|0|253.0|0|0.0|100
0|2021-11-18|22214.0|0|22214.0|0|254.0|0|0.0|100
0|2021-11-19|22304.0|0|22304.0|0|250.0|0|0.0|100
0|2021-11-20|22304.0|0|22304.0|0|250.0|0|0.0|100
0|2021-11-21|22304.0|0|22304.0|0|250.0|0|0.0|100
0|2021-11-22|22496.0|0|22496.0|0|250.0|0|0.0|100
0|2021-11-23|22542.0|0|22542.0|0|252.0|0|0.0|100
0|2021-11-24|22568.0|0|22568.0|0|255.0|0|0.0|100
0|2021-11-25|22568.0|0|22568.0|0|255.0|0|0.0|100
0|2021-11-26|22568.0|0|22568.0|0|255.0|0|0.0|100
0|2021-11-27|22568.0|0|22568.0|0|255.0|0|0.0|100
0|2021-11-28|22568.0|0|22568.0|0|255.0|0|0.0|100
0|2021-11-29|22769.0|0|22769.0|0|255.0|0|0.0|100
0|2021-11-30|22828.0|0|22828.0|0|255.0|0|0.0|100
0|2021-12-01|22828.0|0|22828.0|0|255.0|0|0.0|100
0|2021-12-02|23043.0|0|23043.0|0|256.0|0|0.0|100
0|2021-12-03|23137.0|0|23137.0|0|256.0|0|0.0|100
0|2021-12-04|23137.0|0|23137.0|0|256.0|0|0.0|100
0|2021-12-05|23137.0|0|23137.0|0|256.0|0|0.0|100
0|2021-12-06|23288.0|0|23288.0|0|257.0|0|0.0|100
0|2021-12-07|23376.0|0|23376.0|0|257.0|0|0.0|100
0|2021-12-08|23418.0|0|23418.0|0|260.0|0|0.0|100
0|2021-12-09|23494.0|0|23494.0|0|262.0|0|0.0|100
0|2021-12-10|23556.0|0|23556.0|0|262.0|0|0.0|100
0|2021-12-11|23556.0|0|23556.0|0|262.0|0|0.0|100
0|2021-12-12|23556.0|0|23556.0|0|262.0|0|0.0|100
0|2021-12-13|23690.0|0|23690.0|0|263.0|0|0.0|100
0|2021-12-14|23690.0|0|23738.0|0|263.0|0|0.0|100
0|2021-12-15|23807.0|0|23807.0|0|264.0|0|0.0|100
0|2021-12-16|23900.0|0|23900.0|0|266.0|0|0.0|100
0|2021-12-17|23991.0|0|23991.0|0|267.0|0|0.0|100
0|2021-12-18|23991.0|0|23991.0|0|267.0|0|0.0|100
0|2021-12-19|23991.0|0|23991.0|0|267.0|0|0.0|100
0|2021-12-20|24256.0|0|24256.0|0|267.0|0|0.0|100
0|2021-12-21|24337.0|0|24337.0|0|268.0|0|0.0|100
0|2021-12-22|24445.0|0|24445.0|0|269.0|0|0.0|100
0|2021-12-23|24713.0|0|24713.0|0|270.0|0|0.0|100
0|2021-12-24|24713.0|0|24713.0|0|270.0|0|0.0|100
0|2021-12-25|24713.0|0|24713.0|0|270.0|0|0.0|100
0|2021-12-26|24713.0|0|24713.0|0|270.0|0|0.0|100
0|2021-12-27|25761.0|0|25761.0|0|270.0|0|0.0|100
0|2021-12-28|25864.0|0|25864.0|0|269.0|0|0.0|100
0|2021-12-29|26051.0|0|26051.0|0|269.0|0|0.0|100
0|2021-12-30|26379.0|0|26379.0|0|269.0|0|0.0|100
0|2021-12-31|26379.0|0|26379.0|0|269.0|0|0.0|100
0|2022-01-01|26379.0|0|26379.0|0|269.0|0|0.0|100
0|2022-01-02|26379.0|0|26379.0|0|269.0|0|0.0|100
0|2022-01-03|27904.0|0|27904.0|0|269.0|0|0.0|100
0|2022-01-04|27900.0|0|27900.0|0|270.0|0|0.0|100
0|2022-01-05|28278.0|0|28278.0|0|270.0|0|0.0|100
0|2022-01-06|28995.0|0|28995.0|0|272.0|0|0.0|100
0|2022-01-07|29601.0|0|29601.0|0|275.0|0|0.0|100
0|2022-01-08|29601.0|0|29601.0|0|275.0|0|0.0|100
0|2022-01-09|29601.0|0|29601.0|0|275.0|0|0.0|100
0|2022-01-10|31397.0|0|31397.0|0|276.0|0|0.0|100
0|2022-01-11|31799.0|0|31799.0|0|276.0|0|0.0|100
0|2022-01-12|32303.0|0|32303.0|0|279.0|0|0.0|100
0|2022-01-13|32303.0|0|32816.0|0|279.0|0|0.0|100
0|2022-01-14|33312.0|0|33312.0|0|286.0|0|0.0|100
0|2022-01-15|33312.0|0|33312.0|0|286.0|0|0.0|100
0|2022-01-16|33312.0|0|33312.0|0|286.0|0|0.0|100
0|2022-01-17|33312.0|0|0.0|100|286.0|0|0.0|100
