|dates|Tuscaloosa_Alabama_UnitedStates.JHU_ConfirmedCases.data|Tuscaloosa_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Tuscaloosa_Alabama_UnitedStates.NYT_ConfirmedCases.data|Tuscaloosa_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Tuscaloosa_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Tuscaloosa_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Tuscaloosa_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Tuscaloosa_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|34966.0|0|34966.0|0|599.0|0|0.0|100
0|2021-10-18|34973.0|0|34973.0|0|599.0|0|0.0|100
0|2021-10-19|34997.0|0|34997.0|0|605.0|0|0.0|100
0|2021-10-20|35013.0|0|35013.0|0|606.0|0|0.0|100
0|2021-10-21|35044.0|0|35044.0|0|606.0|0|0.0|100
0|2021-10-22|35073.0|0|35073.0|0|612.0|0|0.0|100
0|2021-10-23|35101.0|0|35101.0|0|612.0|0|0.0|100
0|2021-10-24|35117.0|0|35117.0|0|612.0|0|0.0|100
0|2021-10-25|35120.0|0|35120.0|0|612.0|0|0.0|100
0|2021-10-26|35147.0|0|35147.0|0|613.0|0|0.0|100
0|2021-10-27|35191.0|0|35191.0|0|613.0|0|0.0|100
0|2021-10-28|35235.0|0|35235.0|0|616.0|0|0.0|100
0|2021-10-29|35264.0|0|35264.0|0|617.0|0|0.0|100
0|2021-10-30|35295.0|0|35295.0|0|617.0|0|0.0|100
0|2021-10-31|35327.0|0|35327.0|0|617.0|0|0.0|100
0|2021-11-01|35337.0|0|35337.0|0|617.0|0|0.0|100
0|2021-11-02|35362.0|0|35362.0|0|617.0|0|0.0|100
0|2021-11-03|35420.0|0|35420.0|0|619.0|0|0.0|100
0|2021-11-04|35452.0|0|35452.0|0|624.0|0|0.0|100
0|2021-11-05|35488.0|0|35488.0|0|628.0|0|0.0|100
0|2021-11-06|35535.0|0|35535.0|0|627.0|0|0.0|100
0|2021-11-07|35544.0|0|35544.0|0|627.0|0|0.0|100
0|2021-11-08|35554.0|0|35554.0|0|627.0|0|0.0|100
0|2021-11-09|35573.0|0|35573.0|0|631.0|0|0.0|100
0|2021-11-10|35573.0|0|35585.0|0|631.0|0|0.0|100
0|2021-11-11|35611.0|0|35611.0|0|633.0|0|0.0|100
0|2021-11-12|35641.0|0|35641.0|0|633.0|0|0.0|100
0|2021-11-13|35709.0|0|35709.0|0|636.0|0|0.0|100
0|2021-11-14|35714.0|0|35714.0|0|636.0|0|0.0|100
0|2021-11-15|35716.0|0|35716.0|0|636.0|0|0.0|100
0|2021-11-16|35768.0|0|35768.0|0|636.0|0|0.0|100
0|2021-11-17|35785.0|0|35785.0|0|638.0|0|0.0|100
0|2021-11-18|35798.0|0|35798.0|0|638.0|0|0.0|100
0|2021-11-19|35839.0|0|35839.0|0|638.0|0|0.0|100
0|2021-11-20|35870.0|0|35870.0|0|638.0|0|0.0|100
0|2021-11-21|35875.0|0|35875.0|0|638.0|0|0.0|100
0|2021-11-22|35889.0|0|35889.0|0|638.0|0|0.0|100
0|2021-11-23|35915.0|0|35915.0|0|638.0|0|0.0|100
0|2021-11-24|35953.0|0|35953.0|0|639.0|0|0.0|100
0|2021-11-25|35996.0|0|35996.0|0|641.0|0|0.0|100
0|2021-11-26|35996.0|0|35996.0|0|641.0|0|0.0|100
0|2021-11-27|36009.0|0|36009.0|0|641.0|0|0.0|100
0|2021-11-28|36017.0|0|36017.0|0|641.0|0|0.0|100
0|2021-11-29|36022.0|0|36022.0|0|641.0|0|0.0|100
0|2021-11-30|36022.0|0|36052.0|0|641.0|0|0.0|100
0|2021-12-01|36077.0|0|36077.0|0|641.0|0|0.0|100
0|2021-12-02|36096.0|0|36096.0|0|642.0|0|0.0|100
0|2021-12-03|36131.0|0|36131.0|0|643.0|0|0.0|100
0|2021-12-04|36152.0|0|36152.0|0|644.0|0|0.0|100
0|2021-12-05|36168.0|0|36168.0|0|644.0|0|0.0|100
0|2021-12-06|36172.0|0|36172.0|0|644.0|0|0.0|100
0|2021-12-07|36225.0|0|36225.0|0|644.0|0|0.0|100
0|2021-12-08|36254.0|0|36254.0|0|644.0|0|0.0|100
0|2021-12-09|36279.0|0|36279.0|0|644.0|0|0.0|100
0|2021-12-10|36310.0|0|36310.0|0|645.0|0|0.0|100
0|2021-12-11|36351.0|0|36351.0|0|646.0|0|0.0|100
0|2021-12-12|36368.0|0|36368.0|0|646.0|0|0.0|100
0|2021-12-13|36371.0|0|36371.0|0|646.0|0|0.0|100
0|2021-12-14|36371.0|0|36442.0|0|646.0|0|0.0|100
0|2021-12-15|36465.0|0|36465.0|0|648.0|0|0.0|100
0|2021-12-16|36492.0|0|36492.0|0|649.0|0|0.0|100
0|2021-12-17|36515.0|0|36515.0|0|649.0|0|0.0|100
0|2021-12-18|36535.0|0|36535.0|0|649.0|0|0.0|100
0|2021-12-19|36542.0|0|36542.0|0|649.0|0|0.0|100
0|2021-12-20|36553.0|0|36553.0|0|649.0|0|0.0|100
0|2021-12-21|36591.0|0|36591.0|0|649.0|0|0.0|100
0|2021-12-22|36637.0|0|36637.0|0|649.0|0|0.0|100
0|2021-12-23|36686.0|0|36686.0|0|651.0|0|0.0|100
0|2021-12-24|36776.0|0|36776.0|0|652.0|0|0.0|100
0|2021-12-25|36840.0|0|36840.0|0|652.0|0|0.0|100
