|dates|TwinFalls_Idaho_UnitedStates.JHU_ConfirmedCases.data|TwinFalls_Idaho_UnitedStates.JHU_ConfirmedCases.missing|TwinFalls_Idaho_UnitedStates.NYT_ConfirmedCases.data|TwinFalls_Idaho_UnitedStates.NYT_ConfirmedCases.missing|TwinFalls_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|TwinFalls_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|TwinFalls_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|TwinFalls_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|15448.0|0|15448.0|0|199.0|0|0.0|100
0|2021-10-18|15484.0|0|15484.0|0|202.0|0|0.0|100
0|2021-10-19|15542.0|0|15542.0|0|203.0|0|0.0|100
0|2021-10-20|15590.0|0|15590.0|0|204.0|0|0.0|100
0|2021-10-21|15657.0|0|15657.0|0|206.0|0|0.0|100
0|2021-10-22|15695.0|0|15695.0|0|207.0|0|0.0|100
0|2021-10-23|15731.0|0|15731.0|0|207.0|0|0.0|100
0|2021-10-24|15737.0|0|15737.0|0|207.0|0|0.0|100
0|2021-10-25|15758.0|0|15758.0|0|207.0|0|0.0|100
0|2021-10-26|15799.0|0|15799.0|0|210.0|0|0.0|100
0|2021-10-27|15852.0|0|15852.0|0|211.0|0|0.0|100
0|2021-10-28|15878.0|0|15878.0|0|211.0|0|0.0|100
0|2021-10-29|15907.0|0|15907.0|0|213.0|0|0.0|100
0|2021-10-30|15921.0|0|15921.0|0|213.0|0|0.0|100
0|2021-10-31|15925.0|0|15925.0|0|213.0|0|0.0|100
0|2021-11-01|15948.0|0|15948.0|0|213.0|0|0.0|100
0|2021-11-02|15974.0|0|15974.0|0|213.0|0|0.0|100
0|2021-11-03|16009.0|0|16009.0|0|215.0|0|0.0|100
0|2021-11-04|16043.0|0|16043.0|0|218.0|0|0.0|100
0|2021-11-05|16070.0|0|16070.0|0|218.0|0|0.0|100
0|2021-11-06|16097.0|0|16097.0|0|218.0|0|0.0|100
0|2021-11-07|16097.0|0|16097.0|0|218.0|0|0.0|100
0|2021-11-08|16123.0|0|16123.0|0|218.0|0|0.0|100
0|2021-11-09|16151.0|0|16151.0|0|218.0|0|0.0|100
0|2021-11-10|16151.0|0|16177.0|0|218.0|0|0.0|100
0|2021-11-11|16177.0|0|16177.0|0|218.0|0|0.0|100
0|2021-11-12|16218.0|0|16177.0|0|221.0|0|0.0|100
0|2021-11-13|16236.0|0|16218.0|0|221.0|0|0.0|100
0|2021-11-14|16236.0|0|16236.0|0|221.0|0|0.0|100
0|2021-11-15|16267.0|0|16267.0|0|221.0|0|0.0|100
0|2021-11-16|16281.0|0|16281.0|0|222.0|0|0.0|100
0|2021-11-17|16309.0|0|16309.0|0|224.0|0|0.0|100
0|2021-11-18|16326.0|0|16326.0|0|227.0|0|0.0|100
0|2021-11-19|16340.0|0|16326.0|0|225.0|0|0.0|100
0|2021-11-20|16353.0|0|16353.0|0|225.0|0|0.0|100
0|2021-11-21|16353.0|0|16353.0|0|225.0|0|0.0|100
0|2021-11-22|16377.0|0|16377.0|0|225.0|0|0.0|100
0|2021-11-23|16398.0|0|16398.0|0|227.0|0|0.0|100
0|2021-11-24|16419.0|0|16419.0|0|227.0|0|0.0|100
0|2021-11-25|16419.0|0|16419.0|0|227.0|0|0.0|100
0|2021-11-26|16420.0|0|16420.0|0|227.0|0|0.0|100
0|2021-11-27|16443.0|0|16443.0|0|227.0|0|0.0|100
0|2021-11-28|16443.0|0|16443.0|0|227.0|0|0.0|100
0|2021-11-29|16491.0|0|16491.0|0|229.0|0|0.0|100
0|2021-11-30|16535.0|0|16535.0|0|229.0|0|0.0|100
0|2021-12-01|16560.0|0|16560.0|0|231.0|0|0.0|100
0|2021-12-02|16560.0|0|16583.0|0|231.0|0|0.0|100
0|2021-12-03|16601.0|0|16583.0|0|233.0|0|0.0|100
0|2021-12-04|16609.0|0|16609.0|0|233.0|0|0.0|100
0|2021-12-05|16609.0|0|16609.0|0|233.0|0|0.0|100
0|2021-12-06|16626.0|0|16626.0|0|233.0|0|0.0|100
0|2021-12-07|16665.0|0|16665.0|0|235.0|0|0.0|100
0|2021-12-08|16681.0|0|16681.0|0|235.0|0|0.0|100
0|2021-12-09|16696.0|0|16696.0|0|236.0|0|0.0|100
0|2021-12-10|16705.0|0|16705.0|0|236.0|0|0.0|100
0|2021-12-11|16721.0|0|16721.0|0|237.0|0|0.0|100
0|2021-12-12|16721.0|0|16721.0|0|237.0|0|0.0|100
0|2021-12-13|16732.0|0|16732.0|0|237.0|0|0.0|100
0|2021-12-14|16732.0|0|16759.0|0|237.0|0|0.0|100
0|2021-12-15|16765.0|0|16765.0|0|240.0|0|0.0|100
0|2021-12-16|16783.0|0|16783.0|0|240.0|0|0.0|100
0|2021-12-17|16795.0|0|16795.0|0|240.0|0|0.0|100
0|2021-12-18|16804.0|0|16804.0|0|240.0|0|0.0|100
0|2021-12-19|16804.0|0|16804.0|0|240.0|0|0.0|100
0|2021-12-20|16823.0|0|16823.0|0|240.0|0|0.0|100
0|2021-12-21|16844.0|0|16844.0|0|243.0|0|0.0|100
0|2021-12-22|16868.0|0|16868.0|0|244.0|0|0.0|100
0|2021-12-23|16884.0|0|16884.0|0|244.0|0|0.0|100
0|2021-12-24|16884.0|0|16884.0|0|244.0|0|0.0|100
0|2021-12-25|16884.0|0|16884.0|0|244.0|0|0.0|100
0|2021-12-26|16884.0|0|16884.0|0|244.0|0|0.0|100
0|2021-12-27|16915.0|0|16915.0|0|244.0|0|0.0|100
0|2021-12-28|16947.0|0|16947.0|0|245.0|0|0.0|100
0|2021-12-29|16986.0|0|16986.0|0|245.0|0|0.0|100
0|2021-12-30|17042.0|0|17042.0|0|245.0|0|0.0|100
0|2021-12-31|17042.0|0|17042.0|0|245.0|0|0.0|100
0|2022-01-01|17042.0|0|17042.0|0|245.0|0|0.0|100
0|2022-01-02|17042.0|0|17042.0|0|245.0|0|0.0|100
0|2022-01-03|17088.0|0|17088.0|0|245.0|0|0.0|100
0|2022-01-04|17119.0|0|17119.0|0|247.0|0|0.0|100
0|2022-01-05|17185.0|0|17185.0|0|247.0|0|0.0|100
0|2022-01-06|17294.0|0|17294.0|0|251.0|0|0.0|100
0|2022-01-07|17337.0|0|17337.0|0|251.0|0|0.0|100
0|2022-01-08|17362.0|0|17362.0|0|251.0|0|0.0|100
0|2022-01-09|17362.0|0|17362.0|0|251.0|0|0.0|100
0|2022-01-10|17391.0|0|17391.0|0|251.0|0|0.0|100
0|2022-01-11|17440.0|0|17440.0|0|251.0|0|0.0|100
0|2022-01-12|17476.0|0|17476.0|0|252.0|0|0.0|100
0|2022-01-13|17476.0|0|17526.0|0|252.0|0|0.0|100
0|2022-01-14|17576.0|0|17576.0|0|252.0|0|0.0|100
0|2022-01-15|17650.0|0|17650.0|0|252.0|0|0.0|100
0|2022-01-16|17650.0|0|17650.0|0|252.0|0|0.0|100
0|2022-01-17|17650.0|0|0.0|100|252.0|0|0.0|100
