|dates|Tyler_Texas_UnitedStates.JHU_ConfirmedCases.data|Tyler_Texas_UnitedStates.JHU_ConfirmedCases.missing|Tyler_Texas_UnitedStates.NYT_ConfirmedCases.data|Tyler_Texas_UnitedStates.NYT_ConfirmedCases.missing|Tyler_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Tyler_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Tyler_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Tyler_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2426.0|0|2429.0|0|68.0|0|0.0|100
0|2021-10-18|2426.0|0|2429.0|0|68.0|0|0.0|100
0|2021-10-19|2426.0|0|2429.0|0|69.0|0|0.0|100
0|2021-10-20|2426.0|0|2429.0|0|69.0|0|0.0|100
0|2021-10-21|2426.0|0|2429.0|0|70.0|0|0.0|100
0|2021-10-22|2440.0|0|2440.0|0|70.0|0|0.0|100
0|2021-10-23|2440.0|0|2440.0|0|70.0|0|0.0|100
0|2021-10-24|2440.0|0|2440.0|0|70.0|0|0.0|100
0|2021-10-25|2440.0|0|2440.0|0|70.0|0|0.0|100
0|2021-10-26|2445.0|0|2448.0|0|70.0|0|0.0|100
0|2021-10-27|2448.0|0|2448.0|0|70.0|0|0.0|100
0|2021-10-28|2448.0|0|2448.0|0|70.0|0|0.0|100
0|2021-10-29|2449.0|0|2449.0|0|70.0|0|0.0|100
0|2021-10-30|2449.0|0|2449.0|0|70.0|0|0.0|100
0|2021-10-31|2449.0|0|2449.0|0|70.0|0|0.0|100
0|2021-11-01|2449.0|0|2449.0|0|70.0|0|0.0|100
0|2021-11-02|2449.0|0|2449.0|0|70.0|0|0.0|100
0|2021-11-03|2449.0|0|2449.0|0|70.0|0|0.0|100
0|2021-11-04|2449.0|0|2449.0|0|70.0|0|0.0|100
0|2021-11-05|2458.0|0|2458.0|0|70.0|0|0.0|100
0|2021-11-06|2458.0|0|2458.0|0|70.0|0|0.0|100
0|2021-11-07|2458.0|0|2458.0|0|70.0|0|0.0|100
0|2021-11-08|2458.0|0|2458.0|0|70.0|0|0.0|100
0|2021-11-09|2458.0|0|2458.0|0|70.0|0|0.0|100
0|2021-11-10|2458.0|0|2458.0|0|70.0|0|0.0|100
0|2021-11-11|2458.0|0|2458.0|0|70.0|0|0.0|100
0|2021-11-12|2469.0|0|2469.0|0|70.0|0|0.0|100
0|2021-11-13|2469.0|0|2469.0|0|70.0|0|0.0|100
0|2021-11-14|2469.0|0|2469.0|0|70.0|0|0.0|100
0|2021-11-15|2469.0|0|2469.0|0|70.0|0|0.0|100
0|2021-11-16|2469.0|0|2469.0|0|70.0|0|0.0|100
0|2021-11-17|2469.0|0|2469.0|0|70.0|0|0.0|100
0|2021-11-18|2469.0|0|2469.0|0|70.0|0|0.0|100
0|2021-11-19|2469.0|0|2469.0|0|70.0|0|0.0|100
0|2021-11-20|2478.0|0|2478.0|0|70.0|0|0.0|100
0|2021-11-21|2478.0|0|2478.0|0|70.0|0|0.0|100
0|2021-11-22|2478.0|0|2478.0|0|70.0|0|0.0|100
0|2021-11-23|2478.0|0|2478.0|0|70.0|0|0.0|100
0|2021-11-24|2478.0|0|2478.0|0|70.0|0|0.0|100
0|2021-11-25|2478.0|0|2478.0|0|70.0|0|0.0|100
0|2021-11-26|2478.0|0|2478.0|0|70.0|0|0.0|100
0|2021-11-27|2478.0|0|2478.0|0|70.0|0|0.0|100
0|2021-11-28|2478.0|0|2478.0|0|70.0|0|0.0|100
0|2021-11-29|2481.0|0|2481.0|0|70.0|0|0.0|100
0|2021-11-30|2487.0|0|2487.0|0|71.0|0|0.0|100
